Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987345548, 419481, 551, 593, 482
1572987345560, 419494, 551, 593, 481
1572987345574, 419508, 551, 593, 481
1572987345587, 419520, 551, 593, 480
1572987345601, 419533, 550, 593, 481
1572987345613, 419547, 551, 592, 481
1572987345626, 419560, 551, 592, 481
1572987345639, 419572, 551, 593, 481
1572987345652, 419586, 552, 593, 481
1572987345666, 419599, 551, 593, 481
1572987345678, 419612, 552, 593, 481
1572987345691, 419624, 552, 592, 482
1572987345705, 419638, 552, 592, 483
1572987345718, 419651, 552, 592, 483
1572987345730, 419664, 552, 592, 483
1572987345744, 419677, 552, 592, 483
1572987345757, 419690, 551, 593, 482
1572987345770, 419703, 551, 593, 481
1572987345783, 419717, 551, 593, 482
1572987345796, 419729, 551, 593, 482
1572987345810, 419742, 551, 593, 483
1572987345821, 419756, 551, 593, 483
1572987345834, 419769, 550, 594, 481
1572987345848, 419782, 550, 594, 481
1572987345862, 419794, 550, 594, 482
1572987345874, 419808, 550, 594, 482
1572987345887, 419821, 551, 594, 482
1572987345901, 419834, 550, 594, 482
1572987345914, 419847, 550, 594, 482
1572987345926, 419860, 550, 594, 482
1572987345940, 419873, 550, 594, 482
1572987345954, 419887, 551, 595, 481
1572987345966, 419899, 550, 595, 481
1572987345979, 419912, 551, 594, 482
1572987345992, 419926, 551, 593, 483
1572987346006, 419939, 551, 593, 483
1572987346020, 419951, 551, 594, 482
1572987346030, 419964, 550, 594, 481
1572987346044, 419978, 550, 594, 482
1572987346057, 419991, 550, 594, 482
1572987346070, 420003, 551, 594, 482
1572987346083, 420017, 551, 594, 482
1572987346096, 420030, 551, 593, 483
1572987346109, 420043, 551, 593, 483
1572987346123, 420056, 551, 593, 483
1572987346136, 420069, 551, 593, 483
1572987346148, 420082, 551, 593, 481
1572987346161, 420096, 550, 593, 481
1572987346174, 420108, 550, 595, 482
1572987346188, 420121, 549, 598, 483
1572987346201, 420134, 549, 598, 483
1572987346214, 420148, 549, 595, 483
1572987346226, 420160, 549, 597, 483
1572987346240, 420173, 549, 597, 482
1572987346253, 420187, 548, 596, 482
1572987346266, 420200, 549, 595, 481
1572987346278, 420212, 549, 594, 481
1572987346292, 420226, 548, 595, 481
1572987346305, 420239, 549, 594, 482
1572987346319, 420252, 549, 594, 482
1572987346332, 420264, 549, 594, 481
1572987346344, 420278, 550, 594, 482
1572987346359, 420291, 550, 593, 483
1572987346370, 420304, 550, 593, 482
1572987346383, 420317, 549, 593, 481
1572987346397, 420330, 550, 592, 481
1572987346410, 420343, 550, 591, 481
1572987346423, 420357, 550, 592, 480
1572987346436, 420369, 550, 594, 481
1572987346449, 420382, 549, 595, 481
1572987346461, 420396, 550, 590, 481
1572987346475, 420409, 550, 591, 482
1572987346487, 420421, 550, 592, 486
1572987346502, 420434, 550, 592, 486
1572987346515, 420448, 549, 591, 484
1572987346527, 420461, 550, 590, 482
1572987346540, 420473, 551, 591, 480
1572987346555, 420487, 551, 589, 480
1572987346567, 420500, 554, 583, 480
1572987346579, 420513, 555, 577, 481
1572987346593, 420526, 558, 570, 481
1572987346609, 420539, 562, 565, 482
1572987346619, 420552, 562, 566, 482
1572987346632, 420566, 565, 563, 479
1572987346645, 420578, 566, 567, 481
1572987346658, 420591, 567, 575, 484
1572987346671, 420604, 563, 577, 482
1572987346685, 420618, 575, 580, 488
1572987346698, 420630, 557, 582, 478
1572987346710, 420643, 571, 584, 481
1572987346723, 420657, 570, 589, 478
1572987346736, 420670, 569, 595, 476
1572987346749, 420682, 567, 600, 473
1572987346763, 420696, 563, 604, 472
1572987346776, 420709, 559, 609, 475
1572987346789, 420722, 558, 605, 481
1572987346802, 420734, 559, 599, 487
