Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572986990936, 64875, 400, 530, 478
1572986990950, 64888, 400, 529, 477
1572986990963, 64902, 401, 529, 478
1572986990976, 64915, 401, 529, 478
1572986990989, 64927, 402, 529, 479
1572986991001, 64941, 401, 530, 478
1572986991014, 64954, 401, 530, 478
1572986991028, 64967, 401, 530, 478
1572986991041, 64979, 401, 530, 478
1572986991054, 64993, 401, 530, 478
1572986991066, 65006, 401, 530, 478
1572986991080, 65018, 401, 530, 478
1572986991093, 65032, 401, 530, 478
1572986991107, 65045, 401, 530, 478
1572986991120, 65058, 401, 530, 478
1572986991132, 65071, 400, 530, 477
1572986991145, 65084, 400, 530, 477
1572986991158, 65097, 400, 530, 477
1572986991171, 65110, 400, 530, 477
1572986991184, 65123, 400, 531, 477
1572986991197, 65136, 399, 532, 477
1572986991209, 65149, 399, 531, 478
1572986991223, 65162, 400, 531, 479
1572986991236, 65175, 399, 530, 479
1572986991250, 65188, 398, 530, 480
1572986991263, 65201, 398, 530, 481
1572986991275, 65214, 398, 530, 482
1572986991288, 65227, 397, 531, 483
1572986991302, 65241, 396, 532, 483
1572986991316, 65253, 395, 531, 484
1572986991328, 65266, 395, 531, 484
1572986991340, 65280, 395, 531, 485
1572986991353, 65292, 394, 531, 485
1572986991367, 65305, 394, 530, 485
1572986991380, 65318, 395, 530, 484
1572986991392, 65332, 396, 528, 481
1572986991405, 65344, 395, 528, 478
1572986991419, 65357, 392, 529, 476
1572986991432, 65371, 393, 532, 475
1572986991445, 65383, 394, 534, 477
1572986991457, 65396, 395, 535, 475
1572986991471, 65410, 397, 533, 473
1572986991483, 65423, 397, 530, 471
1572986991496, 65435, 397, 526, 470
1572986991509, 65448, 399, 522, 467
1572986991522, 65462, 400, 520, 464
1572986991536, 65474, 399, 520, 462
1572986991548, 65487, 397, 520, 462
1572986991561, 65501, 396, 521, 465
1572986991574, 65514, 396, 524, 468
1572986991587, 65526, 395, 528, 472
1572986991601, 65540, 395, 532, 473
1572986991613, 65553, 397, 534, 474
1572986991626, 65565, 398, 534, 474
1572986991640, 65579, 399, 531, 473
1572986991653, 65592, 401, 526, 472
1572986991665, 65605, 403, 523, 472
1572986991678, 65617, 406, 520, 472
1572986991692, 65631, 407, 515, 472
1572986991705, 65644, 409, 510, 472
1572986991718, 65656, 415, 509, 477
1572986991730, 65670, 414, 510, 475
1572986991744, 65683, 411, 512, 472
1572986991757, 65696, 408, 512, 469
1572986991769, 65709, 408, 515, 468
1572986991783, 65722, 411, 515, 468
1572986991796, 65735, 414, 513, 467
1572986991809, 65747, 418, 509, 466
1572986991821, 65761, 420, 509, 463
1572986991835, 65774, 418, 513, 458
1572986991849, 65787, 416, 521, 454
