Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987198620, 272557, 424, 471, 573
1572987198635, 272570, 422, 472, 574
1572987198646, 272582, 424, 470, 579
1572987198660, 272595, 427, 469, 584
1572987198673, 272609, 427, 469, 583
1572987198687, 272622, 427, 469, 581
1572987198699, 272634, 427, 468, 579
1572987198712, 272648, 426, 468, 577
1572987198725, 272661, 425, 469, 577
1572987198738, 272674, 426, 470, 579
1572987198751, 272687, 425, 470, 579
1572987198764, 272700, 425, 469, 579
1572987198778, 272713, 426, 468, 580
1572987198790, 272727, 426, 468, 579
1572987198804, 272739, 425, 470, 578
1572987198816, 272752, 425, 471, 579
1572987198830, 272765, 426, 472, 582
1572987198842, 272779, 426, 471, 582
1572987198857, 272791, 426, 471, 579
1572987198869, 272804, 426, 470, 578
1572987198882, 272818, 426, 471, 578
1572987198895, 272831, 425, 472, 578
1572987198909, 272843, 426, 471, 579
1572987198921, 272857, 427, 470, 580
1572987198934, 272870, 428, 469, 579
1572987198947, 272883, 427, 470, 578
1572987198960, 272896, 426, 472, 577
1572987198973, 272909, 425, 473, 577
1572987198987, 272922, 425, 473, 576
1572987199000, 272935, 425, 471, 575
1572987199012, 272949, 425, 471, 575
1572987199026, 272961, 424, 471, 572
1572987199038, 272974, 423, 472, 571
1572987199052, 272988, 422, 473, 570
1572987199064, 273000, 422, 472, 571
1572987199077, 273013, 423, 472, 572
1572987199090, 273027, 423, 472, 573
1572987199104, 273040, 424, 473, 573
1572987199117, 273053, 425, 472, 572
1572987199129, 273065, 426, 473, 572
1572987199143, 273079, 427, 473, 571
1572987199156, 273092, 428, 474, 570
1572987199169, 273105, 429, 475, 569
1572987199182, 273118, 430, 475, 568
1572987199195, 273131, 433, 476, 568
1572987199209, 273144, 436, 478, 569
1572987199222, 273158, 439, 480, 571
1572987199234, 273170, 444, 480, 575
1572987199248, 273183, 449, 479, 577
1572987199260, 273197, 452, 476, 576
1572987199278, 273210, 456, 476, 579
1572987199286, 273222, 458, 476, 583
1572987199300, 273235, 456, 475, 585
1572987199314, 273249, 456, 473, 587
1572987199327, 273262, 458, 469, 586
1572987199339, 273274, 459, 464, 584
1572987199353, 273288, 459, 464, 580
1572987199364, 273301, 459, 468, 579
1572987199378, 273314, 460, 470, 581
1572987199392, 273327, 460, 469, 586
1572987199404, 273340, 464, 464, 594
1572987199418, 273353, 467, 459, 602
1572987199431, 273367, 470, 460, 605
1572987199443, 273379, 472, 465, 601
1572987199457, 273392, 472, 471, 594
1572987199469, 273405, 474, 477, 591
1572987199482, 273419, 475, 483, 592
1572987199495, 273431, 477, 485, 594
1572987199509, 273444, 480, 485, 597
1572987199522, 273458, 487, 487, 599
1572987199535, 273471, 490, 488, 600
1572987199548, 273483, 494, 493, 600
1572987199562, 273497, 499, 499, 601
1572987199574, 273510, 506, 505, 601
1572987199587, 273523, 509, 512, 602
1572987199600, 273536, 511, 518, 610
1572987199613, 273549, 515, 520, 623
1572987199627, 273562, 526, 514, 644
1572987199640, 273575, 541, 497, 662
1572987199653, 273588, 553, 480, 677
1572987199665, 273601, 560, 471, 690
1572987199679, 273614, 569, 476, 699
1572987199693, 273628, 569, 496, 705
1572987199705, 273640, 600, 513, 727
1572987199718, 273653, 607, 506, 744
1572987199731, 273667, 626, 504, 775
1572987199745, 273680, 667, 514, 811
1572987199757, 273692, 749, 480, 891
1572987199770, 273705, 821, 424, 954
1572987199783, 273719, 803, 376, 956
1572987199797, 273732, 781, 489, 852
1572987199810, 273744, 828, 463, 865
1572987199822, 273758, 772, 501, 797
1572987199835, 273771, 766, 578, 797
1572987199850, 273784, 746, 604, 786
1572987199862, 273797, 755, 623, 753
1572987199874, 273810, 765, 651, 691
1572987199888, 273823, 777, 695, 623
1572987199901, 273837, 798, 741, 548
1572987199913, 273849, 761, 776, 452
1572987199927, 273862, 700, 783, 401
1572987199940, 273875, 667, 751, 362
1572987199952, 273889, 646, 672, 348
1572987199966, 273902, 701, 606, 400
1572987199980, 273914, 768, 586, 439
1572987199992, 273928, 812, 594, 461
1572987200005, 273941, 844, 612, 464
1572987200018, 273954, 863, 589, 418
1572987200031, 273967, 800, 561, 303
1572987200044, 273980, 751, 496, 260
1572987200057, 273993, 726, 420, 253
1572987200071, 274007, 653, 387, 256
1572987200083, 274019, 561, 406, 277
1572987200097, 274032, 462, 484, 319
1572987200110, 274045, 380, 559, 374
1572987200122, 274059, 323, 562, 445
