Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987077726, 151663, 437, 512, 590
1572987077738, 151675, 436, 511, 590
1572987077752, 151689, 437, 510, 591
1572987077765, 151702, 437, 509, 591
1572987077777, 151715, 437, 509, 590
1572987077791, 151728, 437, 509, 590
1572987077803, 151741, 436, 509, 589
1572987077817, 151754, 436, 509, 589
1572987077829, 151768, 435, 509, 588
1572987077842, 151780, 434, 510, 587
1572987077857, 151793, 434, 511, 587
1572987077868, 151806, 435, 510, 588
1572987077881, 151820, 435, 509, 589
1572987077894, 151832, 435, 510, 591
1572987077908, 151845, 435, 510, 591
1572987077921, 151859, 435, 510, 590
1572987077934, 151872, 434, 510, 589
1572987077947, 151884, 434, 509, 589
1572987077960, 151898, 434, 510, 588
1572987077974, 151911, 435, 510, 589
1572987077986, 151924, 436, 510, 590
1572987077999, 151938, 436, 510, 590
1572987078012, 151950, 435, 510, 589
1572987078025, 151963, 435, 511, 589
1572987078039, 151976, 435, 511, 589
1572987078052, 151990, 435, 510, 589
1572987078065, 152002, 435, 510, 589
1572987078077, 152015, 435, 509, 589
1572987078091, 152029, 435, 509, 589
1572987078104, 152042, 435, 510, 589
1572987078117, 152054, 434, 510, 589
1572987078130, 152068, 434, 510, 588
1572987078143, 152081, 433, 510, 588
1572987078156, 152094, 434, 509, 590
1572987078169, 152107, 433, 509, 590
1572987078182, 152120, 433, 509, 590
1572987078195, 152133, 433, 508, 590
1572987078208, 152146, 434, 507, 590
1572987078222, 152159, 433, 508, 589
1572987078235, 152172, 433, 508, 588
1572987078248, 152185, 433, 509, 590
1572987078261, 152199, 434, 510, 590
1572987078274, 152211, 436, 507, 593
1572987078287, 152224, 437, 506, 594
1572987078300, 152238, 437, 505, 592
1572987078312, 152251, 436, 505, 590
1572987078326, 152263, 435, 504, 587
1572987078339, 152276, 436, 502, 586
1572987078351, 152290, 439, 499, 587
1572987078365, 152303, 443, 497, 588
1572987078378, 152315, 443, 499, 588
1572987078391, 152329, 443, 496, 584
1572987078405, 152342, 446, 491, 578
1572987078417, 152355, 453, 484, 572
1572987078430, 152368, 462, 471, 569
1572987078444, 152381, 474, 459, 574
1572987078457, 152394, 479, 451, 577
1572987078469, 152408, 481, 447, 574
1572987078483, 152420, 483, 446, 567
1572987078495, 152433, 494, 441, 568
1572987078509, 152446, 506, 436, 570
1572987078523, 152460, 524, 437, 572
1572987078535, 152472, 541, 434, 577
