Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987554309, 628236, 516, 543, 597
1572987554321, 628249, 517, 543, 598
1572987554335, 628261, 517, 543, 598
1572987554348, 628275, 517, 543, 598
1572987554361, 628288, 516, 544, 598
1572987554374, 628301, 516, 544, 597
1572987554387, 628314, 516, 543, 598
1572987554400, 628327, 516, 543, 598
1572987554414, 628340, 516, 544, 597
1572987554426, 628354, 516, 544, 597
1572987554439, 628366, 516, 544, 597
1572987554452, 628379, 516, 545, 597
1572987554465, 628392, 516, 544, 597
1572987554479, 628406, 516, 544, 598
1572987554491, 628418, 516, 544, 599
1572987554505, 628431, 516, 544, 598
1572987554518, 628445, 516, 544, 598
1572987554531, 628458, 516, 544, 597
1572987554543, 628470, 516, 544, 597
1572987554557, 628484, 516, 543, 596
1572987554569, 628497, 516, 541, 595
1572987554582, 628510, 517, 538, 596
1572987554596, 628523, 519, 533, 592
1572987554610, 628536, 520, 529, 592
1572987554622, 628549, 521, 528, 594
1572987554635, 628562, 520, 528, 592
1572987554648, 628575, 519, 529, 591
1572987554662, 628588, 517, 531, 590
1572987554675, 628601, 515, 529, 590
1572987554688, 628615, 511, 525, 591
1572987554699, 628627, 511, 520, 589
1572987554713, 628640, 513, 535, 586
1572987554726, 628654, 500, 584, 594
1572987554740, 628667, 489, 631, 596
1572987554752, 628679, 480, 653, 610
1572987554766, 628692, 489, 642, 634
1572987554778, 628706, 497, 625, 670
1572987554791, 628719, 487, 647, 699
1572987554805, 628731, 467, 723, 691
1572987554818, 628745, 428, 834, 661
1572987554831, 628758, 402, 899, 620
1572987554843, 628771, 407, 902, 611
1572987554857, 628784, 440, 892, 633
1572987554870, 628797, 481, 889, 656
1572987554883, 628810, 530, 845, 649
1572987554896, 628824, 568, 763, 621
1572987554910, 628836, 577, 714, 590
1572987554923, 628849, 581, 692, 569
1572987554935, 628862, 609, 651, 557
1572987554949, 628876, 625, 602, 549
1572987554961, 628888, 629, 636, 564
1572987554975, 628901, 638, 686, 619
1572987554987, 628915, 639, 693, 645
1572987555000, 628928, 635, 648, 653
1572987555013, 628941, 630, 629, 625
1572987555026, 628954, 636, 622, 572
1572987555040, 628967, 655, 682, 533
1572987555053, 628980, 664, 797, 568
1572987555065, 628994, 675, 867, 658
1572987555078, 629006, 725, 828, 712
1572987555093, 629019, 815, 667, 620
1572987555105, 629032, 877, 482, 502
1572987555119, 629046, 880, 395, 486
1572987555131, 629058, 847, 273, 464
1572987555145, 629071, 765, 156, 447
1572987555157, 629085, 720, 18, 483
1572987555170, 629098, 687, 73, 554
1572987555183, 629110, 601, 352, 626
1572987555197, 629124, 531, 541, 660
1572987555210, 629137, 518, 512, 591
1572987555223, 629149, 538, 342, 516
1572987555235, 629163, 561, 217, 459
1572987555249, 629176, 525, 297, 455
1572987555261, 629189, 494, 391, 489
1572987555274, 629202, 462, 461, 530
1572987555288, 629215, 442, 467, 533
1572987555301, 629228, 448, 409, 520
1572987555314, 629241, 441, 413, 512
1572987555327, 629255, 418, 462, 524
1572987555340, 629267, 404, 494, 541
1572987555354, 629280, 399, 487, 538
1572987555366, 629294, 397, 472, 526
1572987555380, 629307, 400, 455, 514
1572987555393, 629319, 398, 463, 522
1572987555405, 629332, 394, 484, 535
1572987555419, 629346, 392, 491, 549
1572987555430, 629359, 396, 483, 551
1572987555445, 629371, 405, 472, 553
1572987555458, 629385, 411, 470, 555
1572987555471, 629398, 418, 467, 554
1572987555484, 629411, 429, 455, 551
1572987555497, 629424, 436, 453, 557
1572987555510, 629437, 436, 467, 571
1572987555522, 629450, 435, 479, 577
1572987555536, 629464, 439, 482, 573
