Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987286816, 360750, 416, 563, 533
1572987286829, 360763, 416, 563, 533
1572987286842, 360776, 417, 564, 533
1572987286855, 360790, 416, 565, 533
1572987286867, 360802, 417, 564, 533
1572987286881, 360815, 419, 562, 533
1572987286893, 360828, 419, 563, 533
1572987286907, 360842, 418, 564, 533
1572987286921, 360854, 418, 565, 533
1572987286933, 360867, 418, 567, 532
1572987286945, 360881, 417, 569, 532
1572987286958, 360894, 417, 569, 532
1572987286973, 360906, 418, 566, 532
1572987286984, 360920, 418, 565, 531
1572987286998, 360933, 418, 563, 530
1572987287012, 360946, 418, 561, 530
1572987287024, 360958, 419, 560, 530
1572987287038, 360972, 419, 557, 531
1572987287051, 360985, 420, 555, 532
1572987287063, 360998, 420, 553, 532
1572987287077, 361011, 420, 548, 532
1572987287089, 361024, 415, 541, 532
1572987287103, 361037, 413, 532, 536
1572987287116, 361051, 412, 523, 541
1572987287131, 361063, 414, 516, 550
1572987287141, 361076, 414, 508, 556
1572987287156, 361090, 409, 500, 561
1572987287167, 361103, 404, 498, 569
1572987287182, 361115, 406, 508, 583
1572987287193, 361128, 406, 531, 597
1572987287208, 361142, 399, 568, 604
1572987287220, 361155, 387, 607, 612
1572987287234, 361167, 383, 633, 613
1572987287247, 361181, 390, 659, 617
1572987287260, 361194, 394, 678, 614
1572987287273, 361207, 396, 689, 607
1572987287286, 361220, 397, 702, 592
1572987287298, 361233, 397, 724, 563
1572987287312, 361246, 388, 743, 516
1572987287324, 361260, 370, 747, 468
1572987287338, 361272, 366, 723, 440
1572987287350, 361285, 382, 692, 442
1572987287364, 361298, 403, 662, 452
1572987287378, 361312, 421, 629, 466
1572987287391, 361324, 433, 596, 469
1572987287403, 361337, 438, 568, 463
1572987287416, 361351, 443, 536, 451
1572987287431, 361364, 449, 518, 447
1572987287442, 361376, 456, 503, 455
1572987287455, 361390, 470, 494, 466
1572987287469, 361403, 480, 488, 473
1572987287482, 361416, 474, 499, 466
1572987287495, 361428, 457, 511, 442
1572987287508, 361442, 454, 507, 418
1572987287521, 361455, 455, 498, 396
1572987287533, 361468, 458, 502, 390
1572987287547, 361481, 459, 511, 391
1572987287559, 361494, 461, 521, 399
1572987287575, 361507, 466, 525, 411
1572987287586, 361521, 471, 525, 420
1572987287600, 361533, 478, 522, 425
1572987287612, 361546, 481, 518, 425
1572987287625, 361560, 483, 519, 423
1572987287638, 361573, 481, 525, 417
1572987287651, 361585, 474, 520, 406
1572987287664, 361598, 478, 517, 404
1572987287678, 361612, 478, 524, 403
1572987287691, 361625, 482, 528, 405
1572987287704, 361637, 487, 528, 414
1572987287717, 361651, 492, 525, 430
1572987287730, 361664, 493, 518, 445
1572987287743, 361677, 497, 509, 460
1572987287756, 361691, 498, 497, 470
1572987287768, 361703, 489, 494, 478
1572987287781, 361716, 484, 495, 485
1572987287795, 361730, 479, 496, 491
1572987287809, 361743, 483, 494, 499
1572987287821, 361755, 489, 490, 503
1572987287834, 361768, 487, 488, 503
1572987287847, 361782, 484, 491, 506
1572987287861, 361795, 480, 496, 506
1572987287873, 361807, 473, 500, 502
1572987287885, 361821, 478, 496, 506
1572987287899, 361834, 485, 491, 514
1572987287912, 361847, 484, 490, 523
1572987287926, 361860, 486, 489, 528
1572987287938, 361873, 492, 493, 530
1572987287952, 361886, 502, 505, 533
1572987287965, 361900, 514, 519, 535
1572987287977, 361912, 519, 530, 534
1572987287990, 361925, 522, 541, 534
1572987288004, 361938, 526, 557, 535
1572987288017, 361952, 537, 573, 535
1572987288031, 361964, 548, 597, 528
1572987288043, 361977, 553, 627, 511
1572987288057, 361991, 543, 662, 494
1572987288069, 362004, 530, 678, 485
1572987288082, 362016, 524, 688, 490
1572987288096, 362030, 532, 695, 504
1572987288109, 362043, 552, 688, 511
1572987288121, 362056, 562, 673, 509
1572987288134, 362068, 566, 669, 509
1572987288148, 362082, 557, 673, 507
1572987288161, 362095, 548, 681, 502
1572987288174, 362108, 545, 687, 495
1572987288186, 362121, 552, 693, 477
1572987288199, 362134, 571, 695, 464
1572987288213, 362147, 571, 689, 444
1572987288226, 362161, 570, 685, 430
1572987288238, 362173, 572, 684, 426
1572987288252, 362186, 573, 691, 414
1572987288265, 362200, 584, 698, 391
1572987288279, 362213, 581, 708, 367
1572987288292, 362225, 575, 715, 358
1572987288304, 362238, 554, 707, 348
1572987288318, 362252, 574, 692, 392
1572987288331, 362265, 593, 684, 407
1572987288343, 362277, 610, 677, 399
1572987288357, 362291, 597, 669, 369
1572987288370, 362304, 599, 661, 359
1572987288382, 362317, 591, 661, 359
1572987288395, 362330, 609, 656, 387
1572987288408, 362343, 623, 660, 410
1572987288422, 362356, 625, 666, 422
1572987288435, 362370, 632, 674, 427
1572987288448, 362382, 640, 669, 416
1572987288462, 362395, 640, 659, 401
1572987288474, 362408, 640, 646, 399
1572987288487, 362422, 641, 629, 412
1572987288500, 362434, 645, 619, 436
1572987288514, 362447, 643, 613, 453
1572987288527, 362461, 631, 615, 457
1572987288539, 362474, 617, 623, 452
1572987288553, 362486, 608, 626, 436
1572987288565, 362500, 597, 619, 415
1572987288579, 362513, 584, 610, 401
1572987288592, 362526, 574, 607, 403
1572987288605, 362539, 566, 606, 420
1572987288619, 362552, 558, 617, 439
1572987288631, 362565, 553, 626, 449
1572987288643, 362578, 547, 622, 450
1572987288657, 362591, 540, 611, 448
1572987288669, 362604, 527, 597, 444
1572987288683, 362617, 518, 588, 446
1572987288696, 362631, 522, 593, 454
1572987288708, 362643, 518, 595, 455
1572987288723, 362656, 509, 600, 455
1572987288734, 362670, 500, 602, 449
1572987288748, 362683, 489, 603, 443
1572987288760, 362695, 492, 599, 443
1572987288774, 362708, 483, 583, 431
1572987288787, 362722, 484, 574, 430
1572987288801, 362735, 488, 576, 439
1572987288814, 362747, 490, 585, 446
1572987288826, 362761, 488, 603, 447
1572987288840, 362774, 491, 609, 453
1572987288852, 362787, 499, 598, 459
1572987288865, 362801, 507, 583, 466
1572987288878, 362813, 508, 566, 470
1572987288892, 362826, 520, 559, 490
1572987288905, 362840, 500, 575, 489
1572987288918, 362853, 501, 571, 485
1572987288930, 362865, 496, 563, 478
1572987288945, 362878, 497, 556, 480
1572987288957, 362892, 497, 548, 485
1572987288970, 362905, 498, 528, 487
1572987288982, 362917, 498, 511, 495
1572987288997, 362931, 494, 509, 502
1572987289008, 362944, 491, 506, 507
1572987289023, 362957, 486, 505, 513
1572987289036, 362970, 475, 511, 521
1572987289048, 362983, 464, 521, 529
1572987289062, 362996, 461, 521, 535
1572987289075, 363010, 458, 524, 537
1572987289088, 363022, 455, 533, 541
1572987289101, 363035, 449, 538, 551
1572987289114, 363048, 448, 535, 560
1572987289128, 363062, 444, 525, 565
1572987289139, 363074, 435, 517, 563
1572987289153, 363087, 429, 515, 562
1572987289166, 363101, 428, 522, 563
1572987289179, 363114, 430, 532, 571
1572987289192, 363126, 428, 535, 576
1572987289206, 363140, 428, 530, 577
1572987289218, 363153, 426, 523, 571
1572987289231, 363166, 422, 523, 560
1572987289245, 363179, 420, 521, 552
1572987289257, 363192, 423, 521, 547
1572987289270, 363205, 418, 523, 543
1572987289288, 363218, 420, 522, 543
1572987289301, 363231, 421, 522, 547
1572987289312, 363244, 420, 523, 547
1572987289323, 363257, 419, 522, 539
1572987289337, 363271, 412, 524, 533
1572987289349, 363283, 405, 525, 531
1572987289362, 363296, 408, 516, 528
1572987289375, 363310, 405, 504, 522
1572987289389, 363323, 405, 499, 520
1572987289401, 363335, 404, 502, 518
1572987289413, 363348, 396, 510, 514
1572987289427, 363362, 393, 522, 513
1572987289440, 363375, 388, 528, 510
1572987289454, 363387, 384, 532, 509
1572987289466, 363401, 375, 532, 503
1572987289480, 363414, 371, 530, 501
1572987289493, 363427, 374, 525, 508
1572987289505, 363440, 382, 524, 517
1572987289518, 363453, 390, 527, 526
1572987289532, 363466, 398, 531, 530
1572987289545, 363480, 402, 535, 532
1572987289558, 363492, 401, 537, 530
1572987289572, 363505, 398, 548, 527
1572987289584, 363518, 396, 561, 526
1572987289597, 363532, 397, 570, 530
1572987289611, 363545, 400, 575, 538
1572987289623, 363557, 406, 575, 545
1572987289636, 363571, 408, 576, 550
1572987289649, 363584, 411, 579, 553
1572987289663, 363597, 412, 585, 553
1572987289676, 363610, 411, 586, 556
1572987289689, 363623, 414, 587, 552
1572987289701, 363636, 412, 590, 543
1572987289714, 363650, 411, 590, 539
1572987289727, 363662, 413, 588, 537
1572987289741, 363675, 416, 588, 541
1572987289754, 363688, 419, 590, 547
1572987289766, 363702, 420, 595, 553
1572987289780, 363714, 421, 600, 559
1572987289793, 363727, 420, 601, 559
1572987289807, 363741, 421, 603, 558
1572987289819, 363754, 421, 600, 554
1572987289832, 363766, 422, 595, 553
1572987289845, 363780, 424, 592, 555
1572987289859, 363793, 426, 590, 556
1572987289871, 363806, 429, 588, 557
1572987289884, 363819, 430, 588, 557
1572987289897, 363832, 432, 587, 557
1572987289911, 363845, 432, 587, 556
1572987289923, 363858, 431, 588, 555
1572987289936, 363871, 433, 587, 556
1572987289950, 363884, 436, 586, 558
1572987289963, 363897, 437, 587, 560
1572987289976, 363911, 440, 586, 561
1572987289989, 363923, 440, 586, 560
