Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987438450, 512378, 472, 552, 594
1572987438463, 512392, 473, 551, 594
1572987438476, 512405, 473, 550, 594
1572987438489, 512418, 474, 550, 594
1572987438502, 512431, 473, 550, 593
1572987438515, 512444, 474, 550, 594
1572987438528, 512457, 474, 550, 594
1572987438541, 512471, 474, 551, 595
1572987438554, 512483, 474, 552, 595
1572987438568, 512496, 473, 551, 594
1572987438580, 512509, 473, 551, 594
1572987438594, 512523, 473, 551, 594
1572987438607, 512535, 473, 551, 594
1572987438620, 512548, 473, 551, 594
1572987438633, 512562, 473, 551, 594
1572987438647, 512575, 473, 551, 594
1572987438658, 512587, 473, 550, 594
1572987438672, 512601, 472, 551, 595
1572987438685, 512614, 471, 550, 596
1572987438698, 512627, 471, 549, 597
1572987438711, 512640, 470, 547, 600
1572987438724, 512653, 466, 545, 602
1572987438737, 512666, 463, 542, 610
1572987438751, 512679, 460, 538, 620
1572987438763, 512692, 460, 541, 635
1572987438777, 512705, 461, 542, 641
1572987438790, 512718, 463, 545, 651
1572987438803, 512732, 453, 548, 655
1572987438815, 512744, 444, 553, 655
1572987438828, 512757, 433, 563, 652
1572987438841, 512771, 429, 579, 655
1572987438854, 512784, 433, 588, 660
1572987438868, 512796, 439, 591, 658
1572987438881, 512809, 441, 593, 653
1572987438895, 512823, 428, 597, 641
1572987438908, 512836, 409, 600, 632
1572987438919, 512848, 394, 606, 630
1572987438932, 512862, 377, 627, 633
1572987438946, 512875, 371, 638, 641
1572987438959, 512888, 388, 637, 658
1572987438972, 512901, 408, 629, 668
1572987438987, 512914, 420, 615, 671
1572987438998, 512927, 439, 594, 657
1572987439011, 512941, 460, 573, 624
1572987439024, 512953, 480, 559, 590
1572987439038, 512966, 494, 552, 560
1572987439050, 512979, 505, 550, 545
1572987439063, 512993, 521, 541, 537
1572987439077, 513005, 533, 528, 529
1572987439090, 513018, 540, 522, 521
1572987439103, 513032, 543, 516, 510
1572987439115, 513045, 539, 517, 492
1572987439130, 513057, 531, 525, 468
1572987439143, 513071, 521, 532, 464
1572987439154, 513084, 510, 544, 457
1572987439168, 513097, 506, 538, 455
1572987439181, 513110, 500, 531, 463
1572987439194, 513123, 497, 528, 473
1572987439207, 513136, 489, 537, 485
1572987439220, 513149, 488, 538, 488
1572987439234, 513162, 467, 536, 471
1572987439246, 513175, 481, 538, 492
1572987439260, 513188, 468, 563, 475
1572987439273, 513202, 458, 580, 460
1572987439285, 513215, 459, 609, 465
1572987439300, 513227, 460, 626, 476
1572987439312, 513241, 468, 632, 486
1572987439325, 513254, 470, 635, 489
1572987439338, 513267, 466, 645, 478
1572987439351, 513280, 449, 674, 461
1572987439364, 513293, 432, 701, 452
1572987439377, 513306, 429, 708, 454
1572987439390, 513319, 442, 706, 472
1572987439403, 513332, 450, 712, 495
1572987439416, 513345, 450, 710, 518
1572987439430, 513358, 457, 702, 536
1572987439442, 513372, 462, 698, 547
1572987439456, 513384, 473, 693, 560
1572987439469, 513397, 495, 674, 577
1572987439481, 513411, 520, 642, 599
1572987439495, 513424, 551, 590, 630
1572987439509, 513436, 575, 533, 659
1572987439521, 513449, 582, 494, 685
1572987439534, 513463, 581, 471, 695
1572987439546, 513476, 570, 460, 689
1572987439560, 513488, 568, 439, 683
1572987439573, 513502, 566, 410, 678
1572987439585, 513515, 555, 395, 677
1572987439599, 513528, 545, 393, 681
1572987439612, 513541, 538, 387, 678
1572987439625, 513554, 531, 379, 668
1572987439638, 513567, 527, 377, 660
1572987439651, 513581, 519, 382, 649
1572987439664, 513593, 512, 381, 634
1572987439678, 513606, 508, 372, 618
1572987439690, 513619, 501, 364, 606
1572987439703, 513633, 491, 363, 597
1572987439717, 513645, 483, 367, 592
1572987439730, 513658, 480, 369, 587
1572987439744, 513672, 481, 374, 583
1572987439756, 513685, 478, 384, 579
1572987439769, 513697, 475, 393, 576
1572987439782, 513711, 473, 397, 572
1572987439795, 513724, 473, 400, 565
1572987439808, 513737, 475, 402, 562
1572987439821, 513750, 481, 403, 560
1572987439834, 513763, 487, 403, 557
1572987439847, 513776, 492, 400, 555
1572987439860, 513789, 493, 401, 557
1572987439874, 513802, 508, 385, 566
1572987439887, 513815, 527, 368, 571
1572987439900, 513828, 548, 353, 571
1572987439913, 513842, 568, 355, 570
1572987439925, 513854, 586, 371, 572
1572987439938, 513867, 609, 388, 581
1572987439952, 513881, 633, 411, 593
1572987439965, 513894, 649, 439, 607
1572987439977, 513906, 656, 469, 614
1572987439991, 513920, 665, 500, 616
1572987440003, 513933, 669, 527, 608
1572987440017, 513946, 671, 541, 596
1572987440030, 513958, 670, 544, 585
1572987440043, 513972, 689, 547, 598
1572987440056, 513985, 712, 559, 620
1572987440069, 513998, 739, 578, 624
1572987440082, 514011, 774, 598, 618
1572987440095, 514024, 796, 715, 654
1572987440108, 514037, 745, 875, 692
1572987440121, 514051, 684, 975, 725
1572987440134, 514063, 625, 971, 680
1572987440148, 514076, 595, 869, 609
1572987440161, 514089, 601, 775, 584
1572987440174, 514103, 604, 735, 584
1572987440187, 514115, 593, 739, 605
1572987440201, 514128, 588, 741, 619
1572987440213, 514142, 591, 724, 616
1572987440226, 514155, 581, 722, 601
1572987440238, 514167, 569, 714, 579
1572987440251, 514181, 548, 709, 555
1572987440264, 514194, 526, 698, 539
1572987440277, 514207, 518, 673, 531
1572987440291, 514220, 516, 648, 526
1572987440304, 514233, 511, 630, 522
1572987440317, 514246, 508, 617, 523
1572987440331, 514259, 507, 618, 529
1572987440344, 514273, 513, 617, 537
1572987440357, 514285, 512, 623, 542
1572987440369, 514298, 519, 616, 545
1572987440383, 514312, 534, 619, 551
1572987440395, 514325, 546, 615, 554
1572987440409, 514337, 551, 616, 550
1572987440421, 514351, 557, 616, 543
1572987440435, 514364, 557, 616, 532
1572987440448, 514377, 561, 611, 523
1572987440461, 514390, 572, 598, 519
1572987440474, 514403, 581, 588, 515
1572987440487, 514416, 584, 587, 516
1572987440500, 514429, 591, 614, 538
1572987440513, 514442, 598, 629, 550
1572987440527, 514455, 603, 639, 556
1572987440540, 514468, 608, 644, 547
1572987440552, 514482, 605, 643, 525
1572987440566, 514494, 617, 630, 503
1572987440578, 514507, 633, 609, 493
1572987440591, 514521, 650, 591, 497
1572987440604, 514534, 677, 558, 512
1572987440617, 514546, 705, 506, 535
1572987440631, 514560, 715, 462, 558
1572987440643, 514573, 706, 442, 561
1572987440658, 514586, 687, 453, 558
1572987440669, 514598, 684, 493, 562
1572987440683, 514612, 709, 515, 601
1572987440695, 514625, 757, 486, 669
1572987440708, 514638, 818, 400, 756
1572987440722, 514651, 828, 357, 821
1572987440735, 514664, 772, 378, 810
1572987440748, 514677, 693, 434, 743
1572987440762, 514691, 641, 489, 703
1572987440774, 514703, 607, 529, 670
1572987440788, 514716, 583, 533, 643
1572987440801, 514729, 574, 532, 637
1572987440814, 514743, 577, 530, 630
1572987440827, 514755, 578, 529, 624
1572987440840, 514768, 572, 533, 617
1572987440853, 514782, 565, 532, 605
1572987440865, 514795, 564, 523, 594
1572987440879, 514807, 569, 515, 585
1572987440892, 514821, 569, 517, 578
1572987440904, 514834, 566, 524, 573
1572987440917, 514847, 563, 534, 575
1572987440930, 514860, 562, 543, 580
1572987440944, 514873, 566, 548, 588
1572987440957, 514886, 570, 549, 591
1572987440971, 514899, 569, 549, 588
1572987440984, 514912, 565, 551, 584
1572987440996, 514925, 560, 557, 582
1572987441009, 514938, 556, 561, 581
1572987441022, 514952, 556, 558, 579
1572987441035, 514964, 559, 556, 579
1572987441049, 514977, 559, 559, 580
1572987441062, 514991, 556, 564, 581
1572987441075, 515004, 552, 569, 580
1572987441088, 515016, 547, 574, 578
1572987441101, 515030, 541, 574, 573
1572987441114, 515043, 535, 574, 568
1572987441129, 515056, 533, 573, 569
1572987441140, 515068, 533, 569, 571
1572987441153, 515082, 535, 566, 576
1572987441166, 515095, 533, 566, 578
1572987441180, 515108, 530, 569, 579
1572987441192, 515121, 528, 568, 578
1572987441205, 515134, 529, 568, 579
1572987441218, 515147, 528, 571, 579
1572987441232, 515161, 527, 579, 580
1572987441244, 515174, 525, 583, 579
1572987441257, 515186, 523, 586, 578
1572987441270, 515200, 521, 587, 578
1572987441283, 515213, 524, 584, 580
1572987441296, 515226, 529, 583, 585
1572987441309, 515238, 531, 584, 589
1572987441322, 515252, 532, 584, 590
1572987441335, 515265, 533, 582, 589
1572987441349, 515278, 534, 580, 588
1572987441362, 515291, 534, 578, 589
1572987441375, 515304, 535, 578, 591
1572987441388, 515317, 535, 578, 593
1572987441401, 515331, 535, 575, 593
