Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987523735, 597662, 519, 509, 611
1572987523748, 597676, 518, 511, 610
1572987523761, 597689, 516, 512, 607
1572987523775, 597702, 515, 512, 606
1572987523787, 597714, 514, 513, 605
1572987523800, 597728, 514, 513, 605
1572987523814, 597741, 516, 513, 607
1572987523826, 597754, 514, 513, 606
1572987523839, 597767, 515, 511, 606
1572987523852, 597780, 516, 511, 606
1572987523866, 597793, 516, 512, 608
1572987523879, 597807, 517, 511, 609
1572987523891, 597819, 518, 511, 611
1572987523904, 597832, 519, 510, 611
1572987523917, 597846, 519, 510, 612
1572987523931, 597859, 518, 510, 611
1572987523945, 597871, 517, 511, 609
1572987523956, 597884, 516, 511, 607
1572987523970, 597898, 515, 510, 606
1572987523983, 597911, 515, 510, 605
1572987523997, 597923, 515, 511, 605
1572987524010, 597937, 514, 511, 605
1572987524022, 597950, 515, 511, 605
1572987524034, 597963, 514, 513, 606
1572987524048, 597976, 514, 517, 609
1572987524061, 597989, 514, 514, 608
1572987524075, 598002, 514, 507, 606
1572987524088, 598016, 511, 501, 606
1572987524101, 598029, 508, 499, 611
1572987524114, 598041, 503, 521, 624
1572987524127, 598054, 489, 554, 635
1572987524139, 598068, 481, 614, 661
1572987524152, 598081, 475, 681, 709
1572987524166, 598093, 511, 725, 788
1572987524179, 598107, 566, 740, 902
1572987524192, 598120, 648, 722, 998
1572987524206, 598133, 708, 677, 1011
1572987524218, 598146, 735, 640, 932
1572987524231, 598159, 741, 618, 821
1572987524244, 598172, 738, 604, 696
1572987524258, 598185, 721, 596, 607
1572987524269, 598198, 723, 570, 574
1572987524284, 598211, 740, 541, 562
1572987524297, 598224, 752, 518, 553
1572987524309, 598238, 754, 497, 533
1572987524322, 598250, 738, 496, 527
1572987524336, 598263, 737, 453, 505
1572987524348, 598277, 749, 366, 487
1572987524361, 598290, 750, 243, 441
1572987524375, 598302, 741, 34, 296
1572987524388, 598316, 753, 4, 197
1572987524402, 598329, 776, 3, 173
1572987524415, 598341, 811, 3, 281
1572987524426, 598354, 848, 127, 330
1572987524440, 598368, 835, 341, 353
1572987524453, 598381, 785, 521, 384
1572987524465, 598393, 751, 650, 488
1572987524479, 598407, 744, 834, 635
1572987524493, 598420, 717, 998, 823
1572987524505, 598433, 571, 1005, 883
1572987524518, 598446, 538, 1007, 999
1572987524531, 598459, 539, 947, 1012
1572987524546, 598472, 456, 880, 950
1572987524557, 598486, 408, 805, 695
1572987524570, 598499, 445, 682, 593
1572987524584, 598511, 513, 557, 538
1572987524596, 598524, 567, 452, 468
1572987524610, 598538, 528, 382, 382
1572987524623, 598551, 522, 406, 405
1572987524636, 598563, 529, 368, 392
1572987524649, 598577, 573, 264, 319
1572987524662, 598590, 638, 33, 174
1572987524675, 598603, 651, 4, 137
1572987524688, 598616, 697, 25, 273
1572987524702, 598629, 750, 181, 378
1572987524714, 598642, 758, 294, 428
1572987524727, 598654, 774, 402, 450
1572987524740, 598668, 769, 670, 479
1572987524754, 598681, 677, 980, 617
1572987524766, 598694, 556, 1004, 918
1572987524781, 598708, 611, 1004, 998
1572987524792, 598720, 555, 989, 1006
1572987524807, 598733, 480, 881, 887
1572987524820, 598747, 423, 806, 648
1572987524833, 598760, 470, 682, 554
1572987524846, 598772, 511, 583, 463
1572987524859, 598786, 520, 511, 382
1572987524872, 598799, 524, 406, 325
1572987524885, 598812, 548, 245, 223
1572987524897, 598824, 549, 58, 86
1572987524910, 598838, 542, 7, 68
1572987524924, 598851, 608, 86, 210
1572987524936, 598863, 662, 182, 337
1572987524950, 598877, 692, 252, 425
