Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987318331, 392264, 547, 588, 471
1572987318342, 392278, 547, 589, 471
1572987318356, 392290, 546, 589, 471
1572987318369, 392303, 546, 590, 472
1572987318382, 392316, 545, 591, 472
1572987318396, 392330, 545, 591, 472
1572987318408, 392342, 544, 591, 472
1572987318421, 392355, 545, 591, 473
1572987318435, 392369, 545, 591, 473
1572987318447, 392382, 544, 591, 472
1572987318460, 392394, 544, 591, 470
1572987318473, 392408, 544, 591, 470
1572987318488, 392421, 544, 591, 470
1572987318500, 392434, 544, 592, 470
1572987318513, 392446, 544, 592, 471
1572987318526, 392460, 544, 592, 472
1572987318538, 392473, 544, 593, 472
1572987318553, 392486, 544, 594, 472
1572987318565, 392499, 543, 593, 471
1572987318581, 392512, 543, 593, 470
1572987318593, 392525, 544, 592, 470
1572987318608, 392539, 544, 592, 471
1572987318618, 392552, 544, 592, 472
1572987318630, 392564, 544, 592, 473
1572987318644, 392578, 544, 592, 473
1572987318657, 392591, 544, 592, 474
1572987318669, 392604, 544, 592, 473
1572987318682, 392616, 544, 592, 473
1572987318696, 392630, 544, 592, 472
1572987318709, 392643, 544, 591, 471
1572987318722, 392656, 544, 591, 472
1572987318735, 392669, 544, 591, 472
1572987318749, 392682, 544, 590, 471
1572987318762, 392695, 544, 590, 471
1572987318774, 392709, 544, 591, 472
1572987318787, 392721, 544, 592, 472
1572987318801, 392734, 544, 593, 473
1572987318813, 392748, 545, 593, 473
1572987318826, 392761, 544, 593, 472
1572987318839, 392773, 544, 592, 472
1572987318853, 392786, 544, 591, 472
1572987318866, 392800, 545, 591, 472
1572987318879, 392813, 545, 591, 472
1572987318891, 392825, 545, 591, 472
1572987318905, 392839, 545, 591, 472
1572987318918, 392852, 545, 592, 472
1572987318931, 392865, 544, 592, 472
1572987318944, 392878, 544, 592, 472
1572987318957, 392891, 544, 592, 473
1572987318970, 392904, 544, 592, 473
1572987318983, 392918, 544, 592, 473
1572987318995, 392930, 544, 592, 472
1572987319010, 392943, 543, 592, 471
1572987319022, 392956, 543, 592, 470
1572987319035, 392970, 543, 592, 469
1572987319049, 392982, 544, 592, 470
1572987319062, 392995, 544, 592, 472
1572987319075, 393009, 544, 593, 473
1572987319088, 393022, 544, 593, 473
1572987319101, 393034, 543, 593, 472
1572987319114, 393048, 543, 593, 470
1572987319127, 393061, 542, 593, 470
1572987319140, 393074, 543, 592, 470
1572987319153, 393086, 544, 592, 470
1572987319167, 393100, 544, 591, 471
1572987319179, 393113, 544, 592, 472
1572987319192, 393126, 544, 592, 472
1572987319205, 393139, 544, 592, 471
1572987319217, 393152, 544, 592, 471
1572987319232, 393165, 543, 592, 471
1572987319244, 393179, 543, 592, 471
1572987319257, 393191, 544, 592, 471
1572987319271, 393204, 543, 593, 470
1572987319284, 393218, 544, 593, 471
1572987319296, 393231, 544, 593, 471
1572987319309, 393244, 544, 592, 471
1572987319323, 393256, 545, 591, 471
1572987319337, 393270, 546, 591, 470
1572987319349, 393283, 545, 591, 470
1572987319362, 393296, 546, 590, 469
1572987319375, 393309, 546, 589, 469
1572987319389, 393322, 547, 588, 469
1572987319401, 393335, 547, 588, 469
1572987319414, 393349, 547, 587, 470
1572987319428, 393361, 548, 587, 469
1572987319440, 393374, 547, 587, 469
1572987319453, 393388, 548, 586, 470
1572987319466, 393401, 548, 586, 469
1572987319480, 393413, 548, 586, 469
1572987319492, 393426, 548, 587, 468
1572987319506, 393440, 548, 587, 468
1572987319519, 393453, 548, 588, 468
1572987319532, 393465, 548, 588, 469
1572987319546, 393479, 548, 588, 470
1572987319557, 393492, 549, 588, 470
1572987319571, 393505, 549, 589, 469
1572987319585, 393518, 548, 590, 468
1572987319597, 393531, 547, 590, 467
1572987319610, 393544, 548, 589, 467
1572987319623, 393558, 548, 589, 467
1572987319638, 393570, 548, 589, 468
1572987319648, 393583, 547, 589, 467
1572987319662, 393596, 547, 588, 465
1572987319675, 393610, 547, 587, 464
1572987319690, 393622, 547, 587, 462
1572987319701, 393635, 546, 587, 462
1572987319715, 393649, 547, 587, 463
1572987319728, 393662, 546, 587, 465
1572987319740, 393674, 546, 587, 465
1572987319755, 393688, 546, 588, 465
1572987319767, 393701, 546, 588, 465
1572987319780, 393714, 547, 588, 464
1572987319794, 393726, 547, 587, 465
1572987319806, 393740, 547, 587, 466
1572987319819, 393753, 547, 586, 467
1572987319832, 393766, 547, 586, 467
1572987319845, 393779, 548, 585, 468
1572987319858, 393792, 549, 585, 467
1572987319871, 393805, 549, 586, 466
1572987319885, 393819, 550, 586, 466
1572987319898, 393831, 551, 586, 466
1572987319910, 393844, 552, 584, 465
1572987319923, 393858, 553, 582, 464
1572987319937, 393871, 553, 581, 464
1572987319949, 393883, 554, 580, 463
1572987319962, 393896, 554, 579, 464
1572987319976, 393910, 554, 578, 463
1572987319990, 393923, 554, 577, 463
1572987320002, 393936, 554, 576, 463
1572987320015, 393949, 554, 576, 464
1572987320029, 393962, 554, 578, 463
1572987320042, 393975, 554, 578, 463
1572987320054, 393989, 554, 579, 462
1572987320067, 394001, 553, 580, 462
1572987320080, 394014, 553, 581, 462
1572987320093, 394028, 553, 582, 462
1572987320106, 394041, 553, 582, 462
1572987320120, 394053, 553, 583, 463
1572987320133, 394066, 553, 583, 463
1572987320147, 394080, 554, 584, 465
1572987320158, 394093, 554, 586, 467
1572987320172, 394105, 553, 589, 468
1572987320185, 394119, 551, 591, 464
1572987320198, 394132, 549, 588, 455
1572987320211, 394145, 549, 583, 452
1572987320224, 394158, 551, 581, 455
1572987320237, 394171, 552, 579, 458
1572987320251, 394184, 553, 579, 459
1572987320262, 394198, 554, 579, 459
1572987320276, 394210, 554, 579, 459
1572987320289, 394223, 554, 579, 457
1572987320303, 394236, 552, 580, 457
1572987320316, 394250, 553, 581, 459
