Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572986964571, 38511, 399, 543, 495
1572986964584, 38523, 399, 544, 497
1572986964597, 38537, 401, 545, 497
1572986964611, 38550, 402, 545, 499
1572986964624, 38562, 401, 545, 500
1572986964637, 38576, 400, 544, 500
1572986964650, 38589, 399, 545, 498
1572986964662, 38602, 399, 546, 499
1572986964676, 38615, 400, 546, 500
1572986964688, 38628, 401, 547, 500
1572986964701, 38641, 401, 545, 500
1572986964714, 38653, 401, 543, 500
1572986964727, 38667, 401, 542, 500
1572986964740, 38680, 401, 544, 500
1572986964753, 38693, 403, 544, 501
1572986964767, 38706, 403, 544, 501
1572986964779, 38719, 403, 544, 500
1572986964792, 38732, 403, 544, 500
1572986964806, 38745, 402, 543, 500
1572986964819, 38758, 402, 542, 501
1572986964831, 38771, 402, 540, 502
1572986964844, 38785, 402, 540, 504
1572986964858, 38797, 402, 539, 505
1572986964871, 38810, 402, 538, 508
1572986964884, 38823, 401, 538, 515
1572986964897, 38836, 399, 539, 523
1572986964909, 38849, 398, 542, 529
1572986964922, 38862, 393, 547, 532
1572986964935, 38876, 389, 555, 538
1572986964950, 38888, 384, 560, 535
1572986964962, 38901, 380, 565, 530
1572986964975, 38915, 378, 570, 520
1572986964988, 38927, 379, 573, 508
1572986965001, 38940, 381, 571, 498
1572986965014, 38953, 384, 568, 488
1572986965027, 38967, 386, 563, 480
1572986965039, 38979, 389, 557, 474
1572986965053, 38992, 389, 551, 473
1572986965066, 39006, 390, 544, 474
1572986965078, 39018, 394, 544, 477
1572986965092, 39031, 402, 548, 479
1572986965105, 39045, 405, 551, 474
1572986965118, 39058, 406, 551, 471
1572986965131, 39070, 408, 550, 468
1572986965144, 39084, 412, 548, 466
1572986965156, 39097, 415, 546, 461
1572986965170, 39109, 419, 546, 457
1572986965184, 39122, 422, 546, 451
1572986965195, 39136, 424, 543, 450
1572986965209, 39149, 422, 534, 438
1572986965223, 39161, 425, 525, 433
1572986965235, 39175, 432, 519, 433
1572986965248, 39188, 438, 513, 434
1572986965261, 39200, 446, 508, 438
1572986965275, 39214, 451, 507, 442
1572986965288, 39227, 457, 505, 443
1572986965300, 39240, 459, 507, 439
1572986965314, 39252, 460, 509, 429
1572986965327, 39266, 465, 508, 424
1572986965340, 39279, 471, 503, 421
1572986965353, 39291, 470, 500, 407
1572986965366, 39305, 467, 503, 397
1572986965378, 39318, 466, 505, 390
1572986965391, 39331, 472, 512, 391
1572986965404, 39344, 481, 518, 395
1572986965418, 39357, 491, 521, 405
1572986965430, 39370, 507, 526, 422
1572986965444, 39383, 510, 538, 428
1572986965456, 39396, 518, 551, 429
1572986965470, 39409, 514, 565, 422
1572986965482, 39422, 517, 574, 422
1572986965495, 39435, 519, 592, 426
1572986965509, 39448, 525, 604, 431
1572986965521, 39461, 545, 607, 432
1572986965534, 39474, 559, 597, 426
1572986965548, 39487, 576, 592, 405
1572986965560, 39500, 593, 584, 383
1572986965574, 39514, 619, 607, 361
1572986965586, 39526, 652, 644, 344
1572986965599, 39539, 686, 696, 330
1572986965614, 39553, 726, 747, 327
1572986965628, 39565, 745, 820, 347
1572986965639, 39578, 725, 897, 358
1572986965652, 39591, 693, 967, 413
1572986965665, 39604, 626, 991, 463
1572986965678, 39617, 589, 933, 473
1572986965691, 39630, 587, 850, 455
