Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987209566, 283501, 438, 441, 574
1572987209577, 283513, 438, 442, 574
1572987209591, 283527, 438, 443, 575
1572987209604, 283540, 438, 443, 576
1572987209617, 283553, 439, 443, 578
1572987209630, 283566, 438, 443, 577
1572987209643, 283579, 439, 443, 576
1572987209657, 283592, 438, 443, 575
1572987209669, 283606, 439, 442, 575
1572987209683, 283618, 439, 441, 574
1572987209696, 283631, 440, 440, 574
1572987209708, 283644, 440, 441, 574
1572987209721, 283658, 440, 441, 574
1572987209736, 283670, 439, 441, 575
1572987209748, 283683, 440, 440, 575
1572987209760, 283697, 439, 440, 574
1572987209773, 283710, 439, 440, 575
1572987209788, 283722, 439, 441, 575
1572987209801, 283736, 439, 441, 575
1572987209814, 283749, 439, 441, 575
1572987209826, 283762, 439, 441, 575
1572987209840, 283774, 439, 442, 575
1572987209852, 283788, 438, 442, 574
1572987209865, 283801, 438, 442, 575
1572987209879, 283814, 438, 443, 576
1572987209891, 283827, 437, 443, 576
1572987209905, 283840, 437, 442, 576
1572987209917, 283853, 437, 442, 575
1572987209931, 283867, 437, 443, 574
1572987209944, 283879, 436, 443, 574
1572987209957, 283892, 437, 443, 575
1572987209970, 283906, 437, 443, 575
1572987209983, 283919, 436, 442, 575
1572987209995, 283931, 435, 441, 575
1572987210009, 283944, 435, 442, 575
1572987210022, 283958, 434, 443, 575
1572987210036, 283971, 433, 444, 574
1572987210048, 283983, 434, 445, 575
1572987210062, 283997, 433, 445, 574
1572987210074, 284010, 434, 443, 574
1572987210088, 284023, 434, 442, 573
1572987210100, 284036, 433, 441, 572
1572987210113, 284049, 434, 440, 573
1572987210126, 284062, 433, 440, 572
1572987210140, 284076, 432, 440, 571
1572987210152, 284088, 432, 440, 570
1572987210165, 284101, 432, 439, 569
1572987210179, 284114, 432, 439, 569
1572987210192, 284128, 431, 439, 569
1572987210205, 284140, 431, 439, 570
1572987210218, 284153, 431, 439, 570
1572987210231, 284167, 430, 440, 570
1572987210245, 284180, 429, 441, 568
1572987210257, 284192, 429, 442, 567
1572987210271, 284206, 428, 443, 566
1572987210283, 284219, 427, 446, 568
1572987210296, 284232, 428, 447, 569
1572987210309, 284244, 429, 447, 569
1572987210322, 284258, 428, 449, 567
1572987210336, 284271, 428, 451, 565
1572987210349, 284284, 427, 454, 565
1572987210361, 284298, 427, 456, 566
1572987210376, 284310, 428, 458, 566
1572987210388, 284323, 429, 458, 565
1572987210400, 284337, 429, 458, 565
1572987210413, 284350, 431, 460, 567
1572987210427, 284362, 430, 462, 568
1572987210440, 284376, 432, 464, 571
1572987210453, 284389, 434, 465, 571
1572987210467, 284402, 437, 465, 573
1572987210480, 284414, 440, 465, 574
1572987210493, 284428, 441, 464, 578
1572987210505, 284441, 443, 461, 580
1572987210518, 284454, 445, 459, 582
1572987210531, 284467, 446, 457, 580
1572987210544, 284480, 446, 457, 577
1572987210557, 284493, 448, 457, 574
1572987210571, 284507, 449, 456, 572
1572987210584, 284519, 454, 456, 573
1572987210597, 284532, 458, 457, 574
1572987210609, 284546, 461, 458, 575
1572987210623, 284559, 465, 460, 576
1572987210636, 284571, 468, 464, 575
1572987210650, 284584, 469, 468, 575
1572987210662, 284598, 477, 473, 580
1572987210675, 284611, 481, 478, 582
1572987210688, 284623, 483, 481, 584
1572987210701, 284637, 485, 484, 583
1572987210714, 284650, 489, 489, 582
1572987210727, 284663, 491, 494, 583
1572987210740, 284676, 494, 498, 587
1572987210753, 284689, 497, 505, 591
1572987210766, 284702, 501, 516, 595
1572987210780, 284716, 507, 524, 599
1572987210792, 284728, 516, 524, 602
1572987210805, 284741, 526, 519, 606
1572987210818, 284754, 533, 519, 608
1572987210832, 284768, 536, 520, 609
1572987210845, 284780, 542, 518, 612
1572987210858, 284793, 553, 514, 616
1572987210871, 284807, 565, 506, 618
1572987210883, 284820, 589, 495, 627
1572987210896, 284832, 625, 470, 663
1572987210911, 284846, 668, 445, 721
1572987210923, 284859, 706, 436, 792
1572987210936, 284872, 727, 439, 843
1572987210949, 284884, 727, 459, 859
1572987210963, 284898, 731, 488, 841
1572987210975, 284911, 750, 499, 835
1572987210989, 284924, 729, 503, 837
1572987211002, 284937, 739, 522, 858
1572987211016, 284950, 729, 537, 857
1572987211028, 284963, 740, 541, 870
1572987211041, 284977, 774, 521, 894
1572987211053, 284989, 805, 495, 886
1572987211067, 285002, 834, 350, 918
1572987211080, 285016, 688, 605, 711
1572987211092, 285029, 733, 611, 710
1572987211107, 285041, 716, 623, 697
1572987211118, 285054, 804, 671, 773
1572987211132, 285068, 839, 734, 748
1572987211145, 285081, 841, 856, 648
1572987211159, 285093, 798, 903, 538
1572987211171, 285107, 741, 974, 407
1572987211184, 285120, 719, 931, 357
1572987211197, 285133, 848, 825, 451
1572987211211, 285146, 956, 790, 503
1572987211224, 285159, 1004, 831, 455
1572987211237, 285172, 1011, 831, 329
1572987211249, 285186, 1015, 802, 89
1572987211263, 285199, 935, 446, 44
