Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987085589, 159525, 442, 486, 590
1572987085602, 159539, 441, 488, 591
1572987085614, 159551, 441, 488, 593
1572987085627, 159564, 442, 487, 595
1572987085640, 159578, 442, 487, 595
1572987085654, 159591, 441, 489, 596
1572987085666, 159603, 441, 491, 599
1572987085679, 159617, 441, 492, 600
1572987085692, 159630, 441, 493, 599
1572987085705, 159643, 441, 492, 599
1572987085719, 159655, 442, 491, 598
1572987085732, 159669, 443, 489, 598
1572987085744, 159682, 442, 489, 596
1572987085758, 159695, 440, 490, 593
1572987085770, 159708, 439, 490, 592
1572987085783, 159721, 440, 490, 592
1572987085797, 159734, 442, 488, 593
1572987085810, 159748, 444, 485, 593
1572987085823, 159760, 447, 481, 592
1572987085836, 159773, 448, 479, 590
1572987085850, 159787, 449, 474, 586
1572987085862, 159800, 448, 474, 585
1572987085875, 159812, 447, 474, 584
1572987085888, 159825, 446, 473, 584
1572987085903, 159839, 442, 482, 584
1572987085915, 159852, 436, 491, 582
1572987085927, 159864, 433, 494, 581
1572987085940, 159878, 436, 494, 587
1572987085954, 159891, 437, 495, 589
1572987085967, 159904, 440, 495, 590
1572987085980, 159918, 441, 496, 594
1572987085993, 159930, 449, 493, 595
1572987086007, 159943, 453, 487, 594
1572987086019, 159956, 465, 480, 596
1572987086031, 159970, 478, 468, 593
1572987086045, 159982, 490, 455, 591
1572987086058, 159995, 508, 447, 588
1572987086071, 160009, 532, 426, 585
1572987086084, 160022, 578, 394, 588
1572987086097, 160034, 637, 330, 595
1572987086111, 160048, 726, 263, 608
1572987086123, 160061, 825, 224, 642
1572987086137, 160074, 918, 242, 675
1572987086149, 160087, 1000, 307, 703
1572987086162, 160100, 1015, 423, 706
1572987086175, 160113, 1018, 548, 679
1572987086190, 160126, 1018, 707, 658
1572987086202, 160139, 1018, 923, 650
1572987086215, 160152, 1016, 1004, 670
1572987086228, 160165, 1014, 1012, 653
1572987086241, 160179, 897, 1012, 592
1572987086254, 160192, 914, 1017, 504
1572987086267, 160204, 1000, 929, 441
1572987086281, 160218, 897, 1010, 457
1572987086294, 160231, 689, 1018, 393
1572987086306, 160244, 590, 975, 348
1572987086319, 160258, 522, 836, 307
1572987086333, 160270, 497, 731, 310
1572987086346, 160283, 503, 658, 339
1572987086359, 160296, 517, 604, 369
1572987086372, 160310, 542, 579, 407
1572987086385, 160322, 554, 577, 437
1572987086398, 160335, 561, 600, 469
1572987086411, 160349, 561, 624, 497
1572987086425, 160362, 547, 636, 514
1572987086437, 160374, 523, 636, 518
1572987086449, 160388, 501, 630, 517
1572987086462, 160401, 491, 620, 517
1572987086477, 160414, 488, 613, 522
1572987086489, 160427, 487, 609, 528
1572987086503, 160440, 493, 612, 538
1572987086515, 160453, 499, 620, 551
1572987086529, 160466, 501, 627, 557
1572987086541, 160479, 495, 634, 557
1572987086555, 160492, 486, 640, 555
1572987086568, 160505, 480, 640, 553
1572987086581, 160519, 479, 633, 552
1572987086593, 160531, 483, 620, 550
1572987086607, 160544, 491, 606, 552
1572987086620, 160558, 499, 595, 554
1572987086633, 160571, 503, 589, 557
1572987086646, 160583, 502, 589, 559
1572987086659, 160596, 499, 590, 561
1572987086672, 160610, 498, 592, 563
1572987086686, 160623, 499, 592, 565
1572987086698, 160635, 499, 587, 561
1572987086711, 160649, 504, 588, 562
1572987086725, 160662, 501, 585, 557
1572987086737, 160675, 496, 588, 557
1572987086750, 160688, 491, 591, 557
1572987086764, 160701, 488, 598, 559
1572987086777, 160714, 485, 603, 562
1572987086791, 160728, 483, 607, 564
1572987086802, 160740, 484, 606, 564
1572987086816, 160753, 488, 603, 567
1572987086829, 160766, 489, 599, 570
1572987086843, 160780, 485, 595, 568
1572987086855, 160792, 482, 592, 567
1572987086868, 160805, 481, 589, 566
1572987086881, 160819, 480, 585, 565
1572987086894, 160832, 482, 582, 564
1572987086907, 160844, 483, 583, 566
1572987086920, 160858, 483, 587, 569
1572987086933, 160871, 484, 592, 572
1572987086946, 160884, 481, 595, 570
1572987086959, 160897, 478, 595, 565
1572987086973, 160910, 478, 592, 560
1572987086987, 160923, 479, 588, 556
1572987086998, 160936, 481, 587, 556
1572987087012, 160949, 481, 587, 557
1572987087025, 160962, 483, 589, 562
1572987087038, 160975, 484, 592, 566
1572987087051, 160989, 484, 593, 566
1572987087065, 161001, 482, 592, 563
1572987087079, 161014, 482, 590, 560
1572987087091, 161028, 482, 587, 557
1572987087103, 161041, 482, 584, 554
1572987087116, 161053, 484, 583, 553
1572987087129, 161067, 483, 582, 553
1572987087141, 161080, 485, 582, 555
1572987087156, 161093, 488, 584, 558
1572987087169, 161105, 489, 588, 561
1572987087182, 161119, 486, 592, 562
1572987087195, 161132, 485, 595, 561
1572987087208, 161145, 484, 595, 560
1572987087221, 161158, 484, 594, 558
1572987087234, 161171, 485, 592, 559
1572987087247, 161184, 486, 592, 560
1572987087260, 161198, 487, 593, 561
1572987087273, 161211, 487, 595, 562
1572987087286, 161223, 488, 596, 564
1572987087299, 161236, 490, 598, 566
1572987087312, 161250, 491, 599, 566
1572987087325, 161263, 489, 603, 562
1572987087338, 161275, 489, 602, 560
1572987087351, 161289, 487, 603, 557
1572987087364, 161302, 488, 601, 558
1572987087378, 161315, 491, 600, 558
1572987087391, 161328, 492, 598, 559
1572987087403, 161341, 493, 600, 561
1572987087416, 161354, 492, 601, 560
1572987087430, 161368, 491, 602, 560
1572987087443, 161380, 491, 601, 559
1572987087456, 161393, 490, 600, 556
1572987087469, 161406, 491, 597, 555
1572987087482, 161420, 493, 594, 554
1572987087496, 161432, 495, 595, 556
1572987087508, 161445, 497, 595, 560
1572987087522, 161459, 498, 597, 561
1572987087534, 161472, 498, 598, 561
