Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987567290, 641217, 542, 475, 586
1572987567304, 641230, 543, 476, 586
1572987567317, 641244, 543, 477, 587
1572987567330, 641257, 544, 477, 587
1572987567343, 641269, 545, 477, 587
1572987567356, 641283, 545, 477, 588
1572987567369, 641296, 545, 477, 588
1572987567383, 641309, 546, 477, 587
1572987567395, 641323, 545, 477, 586
1572987567408, 641335, 544, 477, 585
1572987567421, 641348, 543, 478, 584
1572987567434, 641361, 542, 478, 583
1572987567447, 641375, 541, 478, 582
1572987567460, 641387, 541, 478, 582
1572987567473, 641400, 540, 478, 581
1572987567486, 641414, 540, 479, 581
1572987567500, 641427, 540, 479, 581
1572987567512, 641439, 540, 478, 581
1572987567526, 641453, 541, 478, 581
1572987567539, 641466, 541, 476, 580
1572987567551, 641479, 541, 475, 578
1572987567564, 641491, 540, 474, 577
1572987567578, 641505, 540, 474, 575
1572987567591, 641518, 539, 474, 574
1572987567605, 641531, 538, 473, 574
1572987567618, 641544, 538, 471, 574
1572987567630, 641557, 537, 470, 573
1572987567644, 641570, 535, 470, 572
1572987567657, 641584, 531, 471, 568
1572987567670, 641596, 525, 476, 562
1572987567683, 641609, 518, 483, 555
1572987567695, 641623, 512, 486, 547
1572987567709, 641636, 509, 480, 543
1572987567722, 641648, 505, 471, 539
1572987567735, 641661, 496, 467, 535
1572987567748, 641675, 485, 479, 527
1572987567762, 641688, 468, 511, 517
1572987567774, 641700, 450, 559, 507
1572987567786, 641714, 435, 617, 501
1572987567799, 641727, 432, 698, 489
1572987567814, 641740, 438, 821, 489
1572987567826, 641753, 484, 940, 552
1572987567840, 641766, 613, 982, 720
1572987567852, 641779, 761, 952, 920
1572987567866, 641793, 891, 929, 990
1572987567878, 641805, 958, 930, 998
1572987567891, 641818, 971, 933, 845
1572987567904, 641831, 913, 936, 694
1572987567917, 641845, 933, 891, 644
1572987567930, 641857, 947, 791, 639
1572987567944, 641870, 971, 676, 648
1572987567957, 641884, 899, 678, 613
1572987567970, 641897, 860, 680, 581
1572987567983, 641909, 810, 695, 584
1572987567996, 641923, 801, 692, 599
1572987568008, 641936, 796, 643, 562
1572987568023, 641949, 810, 562, 516
1572987568035, 641961, 821, 460, 472
1572987568048, 641975, 774, 419, 458
1572987568061, 641988, 733, 456, 479
1572987568075, 642001, 711, 532, 508
1572987568087, 642014, 711, 634, 552
1572987568101, 642027, 714, 680, 561
1572987568113, 642040, 753, 646, 490
1572987568126, 642054, 778, 534, 405
1572987568140, 642066, 780, 537, 407
1572987568153, 642079, 876, 341, 373
1572987568167, 642093, 876, 40, 331
1572987568179, 642106, 734, 5, 246
1572987568192, 642118, 644, 4, 263
1572987568205, 642131, 624, 210, 397
1572987568218, 642145, 582, 422, 498
1572987568231, 642158, 524, 569, 566
1572987568243, 642170, 492, 596, 570
1572987568258, 642184, 480, 498, 510
1572987568270, 642197, 477, 381, 458
1572987568282, 642210, 484, 331, 456
1572987568296, 642223, 510, 318, 488
1572987568310, 642236, 518, 321, 515
1572987568322, 642249, 512, 350, 531
1572987568336, 642263, 506, 360, 539
1572987568349, 642275, 505, 368, 551
1572987568362, 642288, 500, 397, 552
1572987568374, 642301, 493, 433, 546
1572987568387, 642315, 492, 451, 547
1572987568401, 642327, 493, 460, 545
1572987568414, 642340, 494, 478, 542
1572987568427, 642354, 508, 482, 537
1572987568439, 642367, 514, 469, 538
1572987568452, 642379, 508, 459, 544
1572987568466, 642393, 500, 455, 541
1572987568479, 642406, 498, 474, 534
1572987568492, 642419, 515, 499, 538
1572987568505, 642432, 540, 523, 549
1572987568518, 642445, 551, 547, 564
1572987568531, 642458, 538, 544, 571
1572987568544, 642471, 503, 508, 549
1572987568558, 642484, 493, 487, 538
1572987568570, 642497, 516, 500, 548
1572987568583, 642510, 536, 544, 567
1572987568596, 642524, 540, 585, 601
1572987568610, 642536, 501, 590, 607
1572987568622, 642549, 465, 560, 588
1572987568635, 642563, 464, 525, 582
1572987568649, 642576, 485, 515, 594
1572987568662, 642588, 506, 526, 604
1572987568675, 642601, 505, 547, 614
1572987568688, 642615, 479, 569, 621
1572987568700, 642628, 450, 580, 617
1572987568713, 642640, 439, 581, 616
1572987568727, 642654, 449, 559, 603
1572987568740, 642667, 470, 532, 579
1572987568754, 642680, 471, 532, 579
1572987568767, 642693, 465, 558, 608
1572987568779, 642706, 466, 582, 641
1572987568792, 642719, 478, 596, 658
1572987568806, 642733, 491, 584, 645
1572987568819, 642745, 495, 544, 604
1572987568831, 642758, 499, 518, 594
1572987568845, 642771, 507, 536, 632
1572987568859, 642785, 520, 562, 662
1572987568871, 642798, 532, 584, 671
1572987568884, 642810, 547, 569, 659
1572987568896, 642824, 559, 531, 639
1572987568910, 642837, 582, 480, 621
1572987568924, 642850, 593, 454, 622
1572987568935, 642863, 589, 478, 647
1572987568950, 642876, 577, 520, 662
1572987568962, 642889, 562, 552, 659
1572987568976, 642903, 551, 551, 636
1572987568988, 642915, 550, 533, 610
1572987569001, 642928, 552, 510, 587
1572987569015, 642941, 561, 501, 570
1572987569028, 642955, 557, 528, 571
1572987569041, 642967, 551, 566, 587
1572987569053, 642980, 549, 595, 615
1572987569066, 642994, 561, 595, 633
1572987569079, 643007, 576, 566, 631
1572987569092, 643019, 591, 528, 625
1572987569105, 643033, 597, 500, 612
1572987569119, 643046, 594, 488, 595
1572987569131, 643059, 589, 497, 590
1572987569146, 643072, 583, 516, 595
1572987569158, 643085, 577, 533, 599
1572987569172, 643098, 572, 540, 597
1572987569185, 643111, 568, 538, 590
1572987569197, 643124, 565, 532, 581
1572987569211, 643137, 564, 528, 574
1572987569224, 643150, 561, 525, 566
1572987569237, 643164, 559, 523, 563
1572987569249, 643176, 558, 521, 560
1572987569263, 643189, 559, 519, 558
1572987569276, 643203, 561, 515, 559
1572987569289, 643216, 565, 513, 561
1572987569301, 643228, 567, 513, 564
1572987569316, 643241, 567, 520, 569
1572987569328, 643255, 566, 525, 570
1572987569341, 643268, 566, 523, 567
1572987569353, 643280, 569, 521, 564
1572987569367, 643294, 569, 523, 564
1572987569381, 643307, 569, 528, 565
1572987569393, 643320, 568, 533, 569
1572987569407, 643333, 567, 537, 572
1572987569420, 643346, 568, 537, 570
1572987569432, 643359, 568, 537, 569
1572987569445, 643373, 568, 535, 565
1572987569458, 643385, 567, 535, 565
1572987569472, 643398, 568, 533, 564
1572987569485, 643411, 565, 534, 564
1572987569497, 643425, 576, 536, 576
1572987569510, 643437, 574, 531, 568
1572987569525, 643450, 566, 541, 572
1572987569536, 643464, 561, 537, 566
1572987569550, 643477, 572, 514, 553
1572987569563, 643489, 561, 534, 569
1572987569576, 643503, 573, 526, 572
1572987569590, 643516, 566, 526, 568
1572987569602, 643529, 567, 527, 569
1572987569618, 643542, 568, 523, 565
1572987569628, 643555, 565, 524, 564
1572987569642, 643568, 564, 523, 563
1572987569655, 643581, 563, 523, 566
1572987569668, 643595, 563, 521, 566
1572987569681, 643607, 564, 517, 565
1572987569694, 643620, 564, 515, 567
1572987569707, 643634, 566, 513, 567
1572987569719, 643647, 566, 512, 568
1572987569732, 643659, 566, 512, 569
1572987569746, 643673, 566, 515, 572
1572987569760, 643686, 566, 516, 574
1572987569771, 643699, 568, 515, 576
1572987569784, 643712, 569, 512, 575
1572987569798, 643725, 570, 510, 573
1572987569811, 643738, 570, 509, 571
1572987569824, 643751, 569, 510, 569
1572987569837, 643764, 568, 512, 570
1572987569850, 643777, 567, 513, 570
1572987569864, 643790, 567, 513, 569
1572987569876, 643804, 566, 513, 567
1572987569890, 643816, 567, 512, 566
1572987569902, 643829, 566, 511, 565
1572987569917, 643843, 565, 512, 563
1572987569929, 643856, 564, 513, 561
1572987569942, 643868, 564, 514, 562
1572987569955, 643881, 564, 517, 564
1572987569967, 643895, 565, 516, 566
1572987569981, 643908, 567, 515, 567
1572987569994, 643920, 568, 514, 569
1572987570007, 643934, 569, 514, 569
1572987570020, 643947, 569, 515, 569
1572987570034, 643960, 569, 514, 568
