Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987482255, 556183, 535, 496, 610
1572987482267, 556195, 535, 496, 609
1572987482280, 556209, 534, 497, 608
1572987482293, 556222, 533, 498, 608
1572987482306, 556235, 533, 498, 608
1572987482319, 556248, 533, 498, 609
1572987482333, 556261, 533, 497, 609
1572987482346, 556274, 533, 496, 609
1572987482359, 556288, 532, 496, 607
1572987482372, 556300, 531, 496, 604
1572987482385, 556313, 531, 497, 603
1572987482397, 556326, 531, 497, 602
1572987482413, 556340, 531, 497, 602
1572987482425, 556352, 532, 496, 603
1572987482436, 556365, 533, 496, 604
1572987482450, 556379, 534, 495, 607
1572987482467, 556392, 534, 494, 609
1572987482477, 556404, 534, 495, 609
1572987482489, 556418, 533, 496, 610
1572987482503, 556431, 531, 498, 612
1572987482515, 556444, 530, 502, 617
1572987482528, 556456, 529, 505, 622
1572987482543, 556470, 530, 508, 627
1572987482554, 556483, 530, 509, 629
1572987482568, 556496, 528, 507, 633
1572987482581, 556509, 527, 505, 638
1572987482594, 556522, 527, 505, 648
1572987482607, 556535, 527, 506, 657
1572987482620, 556549, 528, 508, 664
1572987482633, 556561, 529, 510, 669
1572987482648, 556574, 528, 510, 671
1572987482659, 556588, 527, 510, 676
1572987482672, 556601, 527, 511, 682
1572987482686, 556614, 533, 511, 685
1572987482700, 556626, 543, 506, 679
1572987482711, 556640, 546, 502, 671
1572987482725, 556653, 538, 497, 660
1572987482737, 556666, 542, 490, 653
1572987482750, 556679, 538, 492, 643
1572987482764, 556692, 535, 498, 633
1572987482777, 556705, 534, 501, 622
1572987482789, 556719, 531, 510, 608
1572987482803, 556731, 523, 530, 600
1572987482816, 556744, 513, 548, 594
1572987482829, 556758, 518, 542, 589
1572987482843, 556771, 533, 514, 583
1572987482855, 556783, 541, 486, 580
1572987482867, 556796, 537, 470, 575
1572987482881, 556810, 529, 464, 558
1572987482894, 556823, 518, 465, 535
1572987482908, 556835, 512, 463, 518
1572987482921, 556849, 514, 448, 508
1572987482934, 556862, 522, 434, 506
1572987482947, 556875, 536, 405, 519
1572987482960, 556888, 543, 376, 541
1572987482973, 556901, 567, 388, 537
1572987482985, 556914, 572, 376, 555
1572987482999, 556928, 593, 365, 576
1572987483012, 556940, 599, 369, 580
1572987483026, 556953, 605, 365, 580
1572987483038, 556966, 610, 362, 573
1572987483051, 556980, 610, 371, 555
1572987483064, 556992, 603, 368, 553
1572987483077, 557005, 602, 360, 541
1572987483090, 557019, 591, 371, 532
1572987483103, 557032, 577, 392, 540
1572987483117, 557044, 565, 413, 548
1572987483130, 557058, 553, 432, 551
1572987483142, 557071, 546, 447, 558
1572987483156, 557084, 549, 455, 566
1572987483168, 557096, 562, 443, 573
1572987483182, 557110, 579, 423, 585
1572987483195, 557123, 595, 407, 592
1572987483208, 557136, 605, 402, 593
1572987483220, 557149, 605, 405, 585
1572987483233, 557162, 595, 406, 582
1572987483248, 557175, 594, 410, 586
1572987483261, 557189, 589, 416, 579
1572987483273, 557201, 582, 416, 586
1572987483286, 557214, 573, 417, 602
1572987483299, 557228, 571, 421, 608
1572987483312, 557241, 565, 426, 600
1572987483325, 557254, 557, 437, 586
1572987483339, 557266, 551, 449, 578
1572987483352, 557280, 552, 457, 578
1572987483365, 557293, 556, 455, 592
1572987483378, 557306, 563, 453, 609
1572987483390, 557319, 573, 451, 629
1572987483404, 557332, 576, 454, 632
1572987483416, 557345, 576, 466, 620
1572987483431, 557359, 581, 493, 598
1572987483443, 557371, 573, 532, 571
1572987483456, 557384, 561, 552, 542
1572987483470, 557398, 563, 548, 527
1572987483482, 557411, 571, 540, 526
1572987483505, 557423, 586, 531, 536
1572987483508, 557436, 600, 535, 548
1572987483522, 557450, 618, 548, 524
1572987483534, 557463, 641, 575, 482
1572987483548, 557475, 653, 602, 430
1572987483561, 557489, 650, 607, 376
1572987483574, 557502, 644, 575, 335
1572987483586, 557515, 644, 512, 315
1572987483600, 557528, 641, 474, 322
1572987483613, 557541, 629, 476, 334
1572987483627, 557554, 626, 505, 356
1572987483638, 557568, 630, 528, 367
1572987483652, 557580, 636, 540, 347
1572987483665, 557593, 634, 518, 326
1572987483678, 557606, 645, 490, 321
1572987483691, 557620, 645, 473, 312
1572987483704, 557632, 639, 463, 305
1572987483717, 557645, 627, 453, 302
1572987483730, 557659, 614, 455, 308
1572987483743, 557672, 603, 455, 320
1572987483756, 557684, 601, 442, 337
1572987483770, 557698, 606, 422, 361
1572987483783, 557711, 608, 419, 384
1572987483796, 557724, 611, 435, 408
1572987483811, 557736, 611, 447, 410
1572987483822, 557750, 606, 449, 396
1572987483835, 557763, 598, 445, 390
1572987483848, 557776, 596, 445, 386
1572987483861, 557789, 596, 450, 384
1572987483874, 557802, 590, 464, 398
1572987483888, 557815, 588, 477, 406
1572987483900, 557829, 590, 472, 406
1572987483914, 557841, 590, 462, 401
1572987483926, 557854, 588, 458, 388
1572987483938, 557868, 582, 459, 369
1572987483951, 557881, 579, 459, 360
1572987483965, 557893, 583, 454, 365
1572987483979, 557906, 589, 446, 373
1572987483991, 557920, 591, 444, 383
1572987484004, 557933, 585, 453, 383
1572987484018, 557946, 575, 479, 396
1572987484032, 557959, 567, 495, 401
1572987484044, 557972, 562, 501, 408
1572987484057, 557985, 558, 506, 418
1572987484071, 557999, 549, 501, 419
1572987484082, 558011, 542, 499, 420
1572987484095, 558024, 541, 493, 412
1572987484108, 558038, 537, 483, 390
1572987484123, 558051, 539, 480, 380
1572987484135, 558063, 545, 497, 394
1572987484148, 558076, 551, 531, 425
1572987484161, 558090, 545, 556, 456
1572987484175, 558103, 536, 570, 459
1572987484188, 558115, 521, 568, 438
1572987484201, 558129, 520, 563, 437
1572987484214, 558142, 527, 572, 463
1572987484227, 558155, 531, 574, 479
1572987484239, 558168, 544, 572, 479
1572987484253, 558181, 553, 588, 483
1572987484266, 558194, 565, 600, 496
1572987484278, 558208, 584, 597, 517
1572987484292, 558220, 608, 583, 548
1572987484305, 558233, 629, 573, 569
1572987484318, 558246, 647, 573, 564
1572987484332, 558260, 656, 607, 595
1572987484344, 558272, 659, 615, 634
1572987484357, 558285, 656, 606, 654
1572987484370, 558299, 657, 603, 656
1572987484383, 558312, 659, 600, 650
1572987484396, 558324, 668, 578, 642
1572987484409, 558338, 686, 553, 645
1572987484422, 558351, 695, 543, 654
1572987484435, 558364, 700, 552, 675
1572987484449, 558376, 689, 560, 667
1572987484461, 558390, 681, 570, 646
1572987484476, 558403, 678, 585, 624
1572987484488, 558416, 689, 588, 622
1572987484501, 558429, 703, 584, 625
1572987484514, 558442, 715, 567, 623
1572987484528, 558455, 717, 553, 631
1572987484541, 558469, 728, 541, 634
1572987484553, 558481, 735, 545, 639
1572987484566, 558494, 734, 550, 634
1572987484580, 558508, 727, 546, 617
1572987484592, 558521, 707, 544, 606
1572987484606, 558533, 692, 547, 590
1572987484619, 558546, 687, 562, 593
1572987484632, 558560, 684, 560, 595
1572987484645, 558573, 686, 542, 598
1572987484658, 558585, 695, 512, 595
1572987484671, 558599, 700, 502, 591
1572987484685, 558612, 699, 524, 604
1572987484697, 558625, 692, 550, 614
1572987484709, 558639, 693, 551, 621
1572987484723, 558651, 708, 513, 620
1572987484737, 558664, 727, 479, 617
1572987484749, 558678, 740, 482, 623
1572987484762, 558691, 731, 544, 638
1572987484776, 558703, 702, 591, 647
1572987484789, 558716, 682, 583, 620
1572987484801, 558730, 666, 554, 582
1572987484815, 558743, 647, 541, 549
1572987484827, 558755, 625, 537, 519
1572987484841, 558769, 599, 540, 502
1572987484855, 558782, 577, 551, 504
1572987484867, 558795, 551, 568, 503
1572987484880, 558808, 534, 573, 502
1572987484892, 558821, 531, 563, 506
1572987484906, 558834, 529, 563, 514
1572987484918, 558848, 522, 567, 516
1572987484931, 558860, 516, 569, 514
1572987484945, 558873, 511, 573, 518
1572987484958, 558886, 514, 567, 528
1572987484972, 558900, 523, 552, 543
1572987484985, 558912, 533, 535, 556
1572987484997, 558925, 543, 517, 565
1572987485010, 558939, 546, 507, 567
1572987485023, 558952, 542, 508, 566
1572987485036, 558964, 539, 509, 570
1572987485049, 558978, 538, 519, 587
1572987485063, 558991, 539, 531, 601
1572987485075, 559004, 541, 534, 605
1572987485089, 559016, 547, 528, 607
1572987485101, 559030, 556, 513, 606
1572987485114, 559043, 566, 487, 602
1572987485128, 559056, 568, 473, 605
1572987485141, 559069, 572, 466, 613
1572987485155, 559082, 564, 479, 619
1572987485167, 559095, 559, 486, 622
1572987485180, 559109, 556, 488, 624
1572987485194, 559121, 559, 485, 621
1572987485206, 559134, 560, 473, 618
1572987485220, 559148, 560, 466, 613
1572987485232, 559161, 558, 467, 611
1572987485246, 559173, 557, 470, 614
1572987485258, 559186, 559, 471, 621
1572987485271, 559200, 561, 470, 628
1572987485285, 559213, 561, 468, 627
1572987485303, 559225, 560, 466, 622
1572987485311, 559239, 559, 466, 616
1572987485323, 559252, 558, 467, 611
1572987485336, 559265, 557, 469, 609
1572987485351, 559278, 557, 475, 610
1572987485363, 559291, 559, 478, 609
1572987485377, 559304, 560, 481, 608
1572987485390, 559318, 563, 482, 606
1572987485403, 559331, 564, 483, 604
1572987485415, 559343, 563, 485, 603
1572987485428, 559356, 563, 488, 604
1572987485442, 559370, 565, 492, 605
1572987485455, 559383, 566, 495, 604
1572987485467, 559395, 565, 498, 603
1572987485480, 559409, 563, 503, 602
1572987485494, 559422, 561, 505, 599
1572987485508, 559435, 559, 505, 595
1572987485520, 559448, 558, 505, 592
1572987485533, 559461, 557, 506, 588
1572987485546, 559474, 556, 510, 589
1572987485558, 559488, 555, 516, 591
1572987485572, 559500, 553, 523, 592
