Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987256125, 330059, 393, 520, 505
1572987256137, 330073, 394, 516, 504
1572987256151, 330086, 395, 516, 502
1572987256164, 330099, 394, 517, 501
1572987256176, 330112, 393, 522, 500
1572987256190, 330125, 391, 526, 499
1572987256203, 330138, 390, 529, 498
1572987256216, 330151, 389, 532, 496
1572987256229, 330164, 388, 535, 496
1572987256243, 330177, 387, 538, 496
1572987256255, 330190, 387, 540, 498
1572987256268, 330204, 388, 542, 500
1572987256283, 330216, 390, 542, 504
1572987256294, 330229, 392, 541, 508
1572987256307, 330243, 394, 541, 511
1572987256321, 330256, 396, 539, 512
1572987256334, 330268, 399, 536, 513
1572987256347, 330281, 403, 530, 511
1572987256360, 330295, 404, 523, 507
1572987256373, 330308, 404, 516, 502
1572987256386, 330320, 403, 510, 497
1572987256398, 330334, 401, 507, 492
1572987256412, 330347, 399, 509, 491
1572987256425, 330360, 396, 514, 491
1572987256438, 330373, 393, 521, 494
1572987256452, 330386, 392, 527, 497
1572987256465, 330399, 390, 530, 499
1572987256477, 330413, 389, 534, 499
1572987256491, 330425, 388, 536, 498
1572987256503, 330438, 387, 537, 500
1572987256517, 330451, 387, 537, 503
1572987256528, 330465, 387, 536, 504
1572987256543, 330477, 389, 532, 506
1572987256556, 330490, 392, 524, 507
1572987256568, 330504, 395, 516, 506
1572987256581, 330517, 398, 511, 507
1572987256594, 330529, 400, 509, 509
1572987256608, 330543, 402, 509, 511
1572987256621, 330556, 403, 509, 511
1572987256634, 330569, 403, 509, 511
1572987256647, 330582, 404, 508, 508
1572987256661, 330595, 403, 508, 506
1572987256673, 330608, 405, 505, 505
1572987256686, 330621, 407, 500, 503
1572987256698, 330634, 411, 491, 501
1572987256712, 330647, 416, 482, 501
1572987256726, 330660, 419, 473, 502
1572987256738, 330674, 421, 476, 510
1572987256752, 330686, 421, 485, 524
1572987256764, 330699, 419, 494, 534
1572987256777, 330713, 419, 502, 544
1572987256792, 330726, 420, 506, 554
1572987256804, 330738, 415, 512, 558
1572987256817, 330752, 409, 520, 562
1572987256829, 330765, 401, 533, 568
1572987256844, 330778, 389, 550, 574
1572987256856, 330790, 387, 565, 584
1572987256869, 330804, 385, 580, 590
1572987256882, 330817, 374, 591, 591
1572987256896, 330830, 364, 601, 590
1572987256909, 330843, 344, 624, 571
1572987256921, 330856, 331, 667, 544
1572987256935, 330869, 328, 715, 520
1572987256948, 330883, 322, 769, 502
1572987256960, 330895, 329, 800, 488
1572987256973, 330908, 354, 784, 474
1572987256986, 330921, 382, 738, 447
1572987257000, 330935, 402, 682, 410
1572987257014, 330947, 404, 640, 381
1572987257026, 330960, 398, 630, 367
1572987257039, 330974, 399, 630, 371
1572987257053, 330987, 407, 627, 381
1572987257065, 330999, 421, 618, 393
1572987257078, 331013, 439, 599, 402
1572987257092, 331026, 463, 575, 405
1572987257104, 331039, 475, 565, 403
1572987257117, 331052, 476, 565, 398
1572987257130, 331065, 482, 563, 401
1572987257143, 331078, 492, 552, 409
1572987257156, 331091, 503, 532, 419
1572987257170, 331104, 514, 516, 426
1572987257182, 331117, 521, 506, 436
1572987257196, 331130, 523, 492, 444
1572987257209, 331144, 526, 473, 445
1572987257222, 331157, 515, 481, 431
1572987257235, 331169, 498, 503, 408
1572987257249, 331183, 489, 509, 402
1572987257261, 331196, 485, 506, 410
1572987257274, 331209, 481, 504, 423
1572987257287, 331222, 478, 500, 432
1572987257301, 331235, 485, 488, 429
1572987257313, 331248, 487, 484, 423
1572987257327, 331261, 482, 492, 412
1572987257340, 331274, 481, 503, 410
1572987257352, 331287, 478, 511, 417
1572987257365, 331300, 469, 513, 432
1572987257378, 331314, 475, 500, 446
1572987257391, 331326, 487, 489, 456
1572987257404, 331339, 490, 486, 462
1572987257418, 331353, 491, 496, 471
1572987257430, 331366, 487, 505, 484
1572987257443, 331378, 482, 503, 495
1572987257458, 331392, 480, 499, 497
1572987257470, 331405, 474, 496, 495
1572987257484, 331418, 478, 497, 499
1572987257497, 331430, 475, 505, 506
1572987257508, 331444, 465, 510, 511
1572987257522, 331457, 458, 513, 515
1572987257535, 331470, 459, 516, 520
1572987257549, 331483, 458, 516, 515
1572987257561, 331496, 460, 518, 511
1572987257574, 331509, 455, 522, 498
1572987257587, 331523, 452, 523, 487
1572987257601, 331535, 455, 513, 487
1572987257613, 331548, 463, 507, 498
1572987257626, 331561, 468, 513, 516
1572987257640, 331575, 471, 520, 526
1572987257653, 331587, 474, 524, 527
1572987257666, 331600, 473, 533, 524
1572987257679, 331614, 479, 538, 525
1572987257691, 331627, 480, 541, 527
1572987257704, 331639, 478, 541, 528
1572987257718, 331653, 480, 546, 527
1572987257731, 331666, 483, 551, 518
1572987257744, 331679, 477, 553, 510
1572987257757, 331692, 480, 556, 511
1572987257771, 331705, 486, 560, 513
1572987257784, 331718, 488, 570, 513
1572987257796, 331731, 493, 580, 522
1572987257809, 331744, 498, 587, 533
1572987257822, 331757, 504, 584, 541
1572987257835, 331770, 511, 588, 544
1572987257848, 331784, 511, 599, 536
1572987257862, 331796, 509, 611, 534
1572987257874, 331809, 509, 613, 536
1572987257888, 331823, 515, 617, 538
1572987257900, 331836, 519, 627, 544
1572987257914, 331848, 527, 647, 548
1572987257927, 331862, 524, 671, 545
1572987257940, 331875, 515, 680, 539
1572987257953, 331888, 519, 680, 534
1572987257966, 331900, 526, 688, 519
1572987257979, 331914, 530, 703, 508
1572987257992, 331927, 530, 723, 513
1572987258006, 331940, 513, 727, 526
1572987258018, 331953, 514, 705, 530
1572987258031, 331966, 533, 692, 528
1572987258044, 331979, 534, 701, 511
1572987258057, 331993, 529, 729, 499
1572987258070, 332005, 527, 746, 494
1572987258083, 332018, 527, 733, 494
1572987258097, 332032, 530, 706, 507
1572987258110, 332045, 544, 691, 530
1572987258123, 332057, 554, 697, 555
1572987258136, 332070, 554, 722, 549
1572987258149, 332084, 551, 742, 531
1572987258162, 332097, 549, 741, 485
1572987258175, 332110, 532, 734, 449
1572987258189, 332123, 528, 720, 445
1572987258201, 332136, 537, 695, 468
1572987258213, 332149, 553, 674, 501
1572987258226, 332163, 561, 662, 530
1572987258242, 332175, 567, 668, 555
1572987258253, 332188, 584, 691, 536
1572987258266, 332201, 569, 702, 472
1572987258280, 332215, 553, 707, 428
1572987258292, 332227, 543, 702, 415
1572987258306, 332240, 540, 682, 420
1572987258318, 332254, 535, 668, 444
1572987258332, 332267, 534, 657, 469
1572987258345, 332279, 528, 651, 490
1572987258358, 332293, 537, 644, 504
1572987258371, 332306, 527, 648, 478
1572987258385, 332319, 505, 644, 457
1572987258397, 332332, 501, 636, 456
1572987258410, 332345, 497, 633, 471
1572987258423, 332358, 501, 632, 492
1572987258436, 332371, 506, 635, 507
1572987258449, 332384, 504, 636, 503
1572987258462, 332397, 497, 638, 485
1572987258476, 332410, 496, 632, 482
1572987258488, 332424, 501, 623, 492
1572987258502, 332436, 503, 611, 504
1572987258515, 332449, 508, 596, 514
1572987258529, 332463, 509, 583, 520
1572987258541, 332476, 512, 569, 520
1572987258554, 332488, 509, 555, 517
1572987258566, 332502, 505, 549, 513
1572987258580, 332515, 502, 547, 516
1572987258592, 332528, 496, 545, 518
1572987258610, 332540, 494, 544, 520
1572987258619, 332554, 492, 541, 521
1572987258632, 332567, 489, 539, 525
1572987258644, 332580, 486, 539, 529
1572987258658, 332593, 486, 540, 535
1572987258672, 332606, 484, 537, 540
1572987258684, 332619, 482, 533, 544
1572987258698, 332633, 477, 528, 543
1572987258710, 332645, 475, 526, 543
1572987258724, 332658, 470, 529, 547
1572987258737, 332672, 468, 531, 554
1572987258750, 332685, 464, 538, 561
1572987258763, 332697, 459, 549, 564
1572987258776, 332710, 452, 559, 562
1572987258789, 332724, 444, 562, 554
1572987258802, 332737, 441, 563, 551
1572987258815, 332749, 442, 564, 555
1572987258827, 332763, 442, 568, 564
1572987258842, 332776, 441, 578, 572
1572987258854, 332789, 440, 586, 577
1572987258868, 332802, 441, 592, 579
1572987258880, 332815, 440, 597, 575
1572987258893, 332828, 438, 597, 567
1572987258906, 332841, 440, 592, 560
1572987258919, 332854, 440, 587, 555
1572987258932, 332867, 437, 584, 552
1572987258945, 332880, 437, 584, 549
1572987258958, 332894, 438, 586, 550
1572987258971, 332906, 439, 593, 553
1572987258985, 332919, 439, 595, 559
1572987258997, 332933, 439, 593, 560
1572987259012, 332946, 438, 594, 559
1572987259024, 332958, 438, 592, 556
1572987259037, 332972, 439, 587, 554
1572987259049, 332985, 441, 581, 555
1572987259063, 332998, 444, 576, 558
1572987259076, 333010, 446, 574, 563
1572987259089, 333024, 445, 572, 566
1572987259103, 333037, 443, 573, 567
1572987259116, 333050, 441, 575, 566
1572987259129, 333063, 441, 578, 566
