Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987364524, 438458, 480, 546, 598
1572987364537, 438470, 481, 546, 599
1572987364551, 438483, 481, 546, 599
1572987364564, 438497, 480, 547, 599
1572987364577, 438510, 480, 547, 598
1572987364589, 438522, 480, 546, 599
1572987364603, 438536, 481, 545, 599
1572987364616, 438549, 481, 546, 600
1572987364628, 438562, 481, 547, 601
1572987364641, 438575, 482, 546, 601
1572987364655, 438588, 483, 545, 602
1572987364668, 438601, 481, 546, 601
1572987364681, 438615, 481, 545, 600
1572987364694, 438627, 480, 545, 598
1572987364707, 438640, 480, 544, 597
1572987364721, 438653, 480, 544, 596
1572987364733, 438667, 480, 544, 596
1572987364746, 438679, 480, 544, 596
1572987364759, 438692, 480, 545, 596
1572987364774, 438706, 479, 546, 596
1572987364785, 438719, 479, 547, 596
1572987364798, 438731, 479, 547, 597
1572987364812, 438745, 479, 547, 599
1572987364825, 438758, 479, 547, 599
1572987364838, 438771, 479, 547, 599
1572987364850, 438784, 478, 546, 598
1572987364864, 438797, 476, 546, 599
1572987364877, 438810, 473, 547, 602
1572987364889, 438823, 473, 549, 605
1572987364902, 438836, 472, 551, 608
1572987364917, 438849, 472, 552, 611
1572987364929, 438862, 472, 553, 610
1572987364943, 438876, 471, 553, 610
1572987364954, 438888, 472, 553, 609
1572987364969, 438901, 472, 551, 607
1572987364981, 438915, 472, 550, 605
1572987364994, 438928, 472, 548, 604
1572987365007, 438940, 474, 546, 602
1572987365021, 438953, 472, 544, 600
1572987365034, 438967, 471, 543, 600
1572987365046, 438980, 469, 542, 601
1572987365060, 438992, 469, 541, 603
1572987365072, 439006, 469, 541, 606
1572987365086, 439019, 470, 542, 609
1572987365098, 439032, 470, 543, 612
1572987365111, 439045, 467, 543, 614
1572987365125, 439058, 465, 543, 614
1572987365139, 439071, 464, 543, 613
1572987365151, 439085, 460, 546, 613
1572987365164, 439097, 458, 548, 617
1572987365177, 439110, 457, 548, 623
1572987365190, 439123, 458, 547, 629
1572987365204, 439137, 460, 546, 634
1572987365217, 439149, 459, 548, 634
1572987365234, 439162, 454, 546, 633
1572987365242, 439176, 452, 545, 633
1572987365255, 439189, 453, 541, 634
1572987365269, 439201, 458, 540, 637
1572987365281, 439215, 464, 537, 639
1572987365298, 439228, 468, 530, 639
1572987365308, 439241, 466, 524, 636
1572987365320, 439255, 464, 518, 632
1572987365333, 439267, 464, 515, 629
1572987365348, 439280, 468, 511, 627
1572987365360, 439293, 471, 505, 625
1572987365373, 439307, 476, 499, 615
1572987365386, 439319, 473, 498, 609
1572987365399, 439332, 476, 494, 606
1572987365413, 439346, 471, 498, 603
1572987365427, 439359, 465, 505, 604
1572987365439, 439371, 467, 504, 603
1572987365451, 439385, 472, 498, 600
1572987365465, 439398, 477, 498, 600
1572987365477, 439411, 474, 498, 602
1572987365491, 439424, 475, 493, 596
1572987365504, 439437, 471, 493, 585
1572987365516, 439450, 469, 494, 579
1572987365530, 439463, 468, 490, 571
1572987365543, 439476, 468, 489, 566
1572987365556, 439489, 470, 489, 564
1572987365569, 439502, 470, 490, 563
1572987365582, 439516, 472, 490, 563
1572987365595, 439528, 473, 493, 567
1572987365608, 439541, 475, 499, 567
1572987365622, 439555, 473, 509, 562
1572987365634, 439568, 469, 522, 554
1572987365648, 439580, 464, 530, 544
1572987365661, 439593, 461, 535, 535
1572987365675, 439607, 456, 535, 528
1572987365687, 439620, 456, 531, 527
1572987365699, 439632, 458, 520, 527
1572987365713, 439646, 456, 515, 529
1572987365726, 439659, 452, 517, 530
1572987365738, 439672, 455, 517, 533
1572987365752, 439685, 464, 511, 533
1572987365766, 439698, 464, 514, 532
1572987365778, 439711, 463, 519, 532
1572987365791, 439725, 458, 524, 533
1572987365804, 439737, 456, 527, 531
1572987365818, 439750, 458, 531, 527
1572987365830, 439763, 461, 537, 522
1572987365843, 439777, 462, 552, 520
1572987365856, 439789, 459, 565, 522
1572987365871, 439802, 458, 572, 525
1572987365883, 439816, 461, 572, 530
1572987365896, 439829, 467, 570, 534
1572987365908, 439841, 469, 568, 537
1572987365921, 439855, 472, 567, 539
1572987365935, 439868, 477, 569, 541
1572987365947, 439881, 482, 577, 543
1572987365962, 439894, 486, 592, 539
1572987365974, 439907, 485, 607, 532
1572987365987, 439920, 484, 619, 525
1572987366000, 439933, 479, 621, 518
1572987366013, 439947, 476, 611, 517
1572987366026, 439959, 477, 603, 519
1572987366040, 439972, 479, 598, 522
1572987366052, 439986, 485, 599, 526
1572987366066, 439999, 493, 601, 531
1572987366079, 440011, 503, 602, 539
1572987366092, 440025, 505, 597, 548
