Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987430077, 504007, 472, 569, 583
1572987430092, 504019, 471, 570, 583
1572987430104, 504033, 472, 570, 583
1572987430117, 504046, 472, 569, 582
1572987430131, 504059, 471, 569, 582
1572987430143, 504072, 471, 569, 583
1572987430156, 504085, 472, 569, 583
1572987430169, 504098, 472, 569, 583
1572987430182, 504112, 472, 568, 583
1572987430195, 504124, 472, 568, 582
1572987430208, 504137, 472, 568, 582
1572987430222, 504151, 471, 569, 582
1572987430234, 504164, 472, 570, 583
1572987430247, 504176, 471, 571, 584
1572987430261, 504189, 471, 571, 584
1572987430273, 504203, 471, 570, 584
1572987430286, 504216, 472, 569, 583
1572987430299, 504228, 471, 569, 583
1572987430314, 504242, 471, 569, 583
1572987430326, 504255, 471, 568, 583
1572987430338, 504268, 471, 568, 583
1572987430353, 504282, 471, 569, 584
1572987430365, 504294, 470, 569, 585
1572987430378, 504307, 470, 570, 585
1572987430392, 504321, 470, 570, 586
1572987430405, 504334, 467, 568, 586
1572987430418, 504346, 465, 566, 587
1572987430430, 504359, 462, 567, 590
1572987430444, 504373, 460, 570, 593
1572987430458, 504386, 460, 574, 599
1572987430470, 504398, 459, 576, 605
1572987430482, 504412, 455, 575, 608
1572987430495, 504425, 450, 573, 610
1572987430509, 504438, 444, 573, 613
1572987430521, 504451, 441, 579, 623
1572987430534, 504464, 439, 584, 637
1572987430548, 504477, 438, 591, 646
1572987430561, 504491, 440, 597, 649
1572987430575, 504503, 444, 601, 649
1572987430587, 504516, 447, 597, 643
1572987430600, 504529, 450, 590, 634
1572987430613, 504543, 448, 587, 626
1572987430629, 504555, 447, 589, 623
1572987430639, 504568, 449, 591, 625
1572987430653, 504582, 455, 592, 622
1572987430666, 504595, 462, 594, 614
1572987430678, 504607, 459, 602, 599
1572987430692, 504621, 454, 604, 571
1572987430704, 504634, 453, 600, 552
1572987430717, 504647, 456, 608, 541
1572987430731, 504659, 452, 621, 527
1572987430744, 504673, 450, 631, 514
1572987430757, 504686, 449, 631, 506
1572987430770, 504699, 450, 621, 498
1572987430784, 504712, 460, 610, 495
1572987430796, 504725, 465, 602, 492
1572987430809, 504738, 466, 609, 494
1572987430823, 504752, 472, 616, 497
1572987430835, 504764, 481, 609, 482
1572987430849, 504777, 482, 605, 469
1572987430861, 504791, 492, 593, 470
1572987430875, 504804, 502, 585, 470
1572987430887, 504816, 504, 588, 468
1572987430900, 504829, 509, 594, 473
1572987430913, 504843, 510, 591, 462
1572987430926, 504856, 514, 582, 453
1572987430940, 504868, 510, 585, 447
1572987430952, 504882, 504, 601, 449
1572987430967, 504895, 496, 624, 454
1572987430979, 504908, 489, 629, 458
1572987430992, 504921, 489, 617, 460
1572987431005, 504934, 485, 608, 465
1572987431018, 504947, 483, 604, 475
1572987431031, 504961, 484, 607, 494
1572987431045, 504973, 479, 622, 506
1572987431057, 504986, 464, 640, 510
1572987431071, 504999, 464, 640, 520
1572987431084, 505013, 468, 632, 535
1572987431097, 505026, 469, 626, 551
1572987431109, 505038, 472, 619, 565
1572987431122, 505052, 472, 619, 570
1572987431137, 505065, 469, 616, 571
1572987431148, 505078, 463, 628, 573
1572987431162, 505091, 451, 634, 581
1572987431174, 505104, 466, 607, 589
1572987431189, 505117, 476, 584, 597
1572987431201, 505131, 486, 558, 604
1572987431214, 505143, 491, 538, 618
1572987431227, 505156, 501, 515, 611
1572987431241, 505169, 473, 516, 615
1572987431254, 505183, 492, 489, 628
1572987431266, 505195, 486, 466, 610
1572987431279, 505208, 479, 453, 608
1572987431293, 505222, 475, 444, 597
1572987431305, 505235, 478, 440, 613
1572987431319, 505247, 463, 437, 602
1572987431332, 505261, 465, 434, 603
1572987431344, 505274, 465, 431, 596
1572987431358, 505287, 456, 448, 592
1572987431370, 505299, 446, 449, 591
1572987431383, 505313, 460, 428, 589
1572987431397, 505326, 458, 414, 582
1572987431410, 505339, 454, 408, 579
1572987431424, 505352, 445, 406, 576
1572987431436, 505365, 445, 406, 584
1572987431449, 505378, 450, 402, 578
1572987431463, 505392, 448, 408, 576
1572987431475, 505404, 446, 404, 575
1572987431488, 505417, 446, 399, 570
1572987431502, 505431, 446, 398, 566
1572987431515, 505444, 452, 399, 568
1572987431528, 505456, 458, 403, 571
1572987431540, 505469, 464, 409, 577
1572987431554, 505483, 472, 410, 579
1572987431567, 505496, 478, 411, 581
1572987431580, 505508, 480, 411, 584
1572987431593, 505522, 485, 415, 584
1572987431605, 505535, 490, 421, 581
1572987431621, 505548, 499, 432, 581
1572987431633, 505561, 508, 445, 585
1572987431645, 505574, 515, 452, 594
1572987431658, 505587, 523, 445, 606
1572987431671, 505601, 535, 431, 617
1572987431685, 505613, 545, 436, 626
1572987431697, 505626, 551, 451, 623
1572987431714, 505639, 556, 466, 613
1572987431724, 505653, 557, 480, 604
1572987431737, 505665, 562, 485, 604
1572987431749, 505678, 566, 481, 611
1572987431762, 505692, 584, 482, 619
1572987431776, 505705, 606, 491, 625
1572987431789, 505717, 624, 533, 634
1572987431802, 505731, 632, 586, 627
1572987431814, 505744, 626, 647, 609
1572987431828, 505757, 602, 710, 585
1572987431842, 505769, 575, 727, 547
1572987431855, 505783, 567, 696, 528
1572987431867, 505796, 581, 681, 555
1572987431880, 505809, 585, 713, 591
1572987431893, 505822, 586, 754, 610
1572987431906, 505835, 580, 780, 600
1572987431919, 505848, 570, 785, 588
1572987431932, 505862, 568, 782, 587
1572987431946, 505875, 551, 793, 581
1572987431959, 505887, 535, 794, 568
1572987431972, 505901, 527, 784, 561
1572987431986, 505914, 526, 766, 559
1572987431998, 505927, 528, 739, 559
1572987432011, 505939, 531, 711, 556
1572987432024, 505953, 531, 685, 547
1572987432036, 505966, 530, 666, 539
1572987432049, 505979, 535, 647, 532
1572987432063, 505992, 534, 639, 524
1572987432077, 506005, 529, 631, 517
1572987432088, 506018, 524, 624, 511
1572987432102, 506032, 520, 619, 506
1572987432116, 506044, 514, 624, 502
1572987432128, 506057, 501, 647, 504
1572987432141, 506071, 493, 649, 506
1572987432156, 506084, 499, 632, 513
1572987432168, 506096, 513, 615, 521
1572987432180, 506109, 527, 606, 525
