Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987538795, 612721, 534, 485, 605
1572987538806, 612733, 532, 488, 604
1572987538820, 612747, 531, 489, 604
1572987538833, 612760, 532, 488, 604
1572987538845, 612773, 533, 487, 605
1572987538860, 612786, 533, 486, 606
1572987538872, 612799, 533, 486, 606
1572987538885, 612812, 533, 487, 605
1572987538898, 612826, 532, 489, 605
1572987538911, 612838, 531, 491, 604
1572987538924, 612851, 531, 491, 604
1572987538937, 612865, 532, 491, 605
1572987538951, 612878, 531, 491, 605
1572987538963, 612890, 531, 491, 606
1572987538977, 612903, 531, 492, 606
1572987538990, 612917, 530, 492, 605
1572987539003, 612930, 530, 492, 604
1572987539015, 612942, 529, 492, 602
1572987539028, 612956, 529, 490, 600
1572987539043, 612969, 530, 487, 600
1572987539054, 612982, 527, 489, 604
1572987539068, 612995, 521, 498, 610
1572987539081, 613008, 512, 530, 616
1572987539096, 613021, 501, 618, 640
1572987539106, 613035, 482, 709, 682
1572987539119, 613047, 551, 683, 780
1572987539132, 613060, 694, 583, 958
1572987539146, 613073, 788, 542, 1009
1572987539159, 613087, 829, 543, 1015
1572987539173, 613100, 831, 552, 913
1572987539186, 613112, 803, 568, 788
1572987539199, 613126, 781, 580, 701
1572987539211, 613139, 779, 577, 644
1572987539225, 613152, 791, 560, 606
1572987539237, 613165, 820, 536, 586
1572987539250, 613178, 836, 507, 563
1572987539264, 613191, 839, 460, 523
1572987539278, 613204, 829, 411, 497
1572987539290, 613217, 813, 358, 481
1572987539302, 613230, 816, 230, 402
1572987539316, 613243, 843, 24, 259
1572987539329, 613257, 845, 4, 146
1572987539342, 613269, 844, 4, 141
1572987539355, 613282, 909, 3, 237
1572987539368, 613296, 958, 34, 289
1572987539381, 613308, 985, 261, 338
1572987539395, 613321, 959, 511, 360
1572987539407, 613335, 827, 706, 381
1572987539419, 613348, 781, 854, 462
1572987539433, 613360, 699, 969, 640
1572987539446, 613373, 586, 979, 836
1572987539460, 613387, 524, 961, 950
1572987539472, 613400, 525, 963, 964
1572987539486, 613412, 476, 957, 897
1572987539498, 613426, 439, 851, 603
1572987539511, 613439, 536, 719, 499
1572987539525, 613452, 616, 569, 410
1572987539538, 613465, 678, 434, 319
1572987539550, 613478, 579, 243, 231
1572987539564, 613491, 653, 235, 227
1572987539577, 613505, 754, 21, 152
1572987539590, 613517, 801, 5, 162
1572987539603, 613530, 827, 4, 227
1572987539617, 613543, 885, 4, 315
1572987539629, 613556, 889, 137, 383
1572987539643, 613569, 867, 342, 401
1572987539654, 613582, 814, 754, 392
1572987539668, 613596, 599, 980, 460
1572987539681, 613608, 508, 993, 733
1572987539694, 613621, 530, 1001, 986
1572987539708, 613635, 480, 1008, 1010
1572987539721, 613648, 429, 1012, 896
1572987539734, 613661, 409, 852, 655
1572987539747, 613673, 490, 774, 614
1572987539760, 613687, 584, 630, 473
1572987539772, 613700, 637, 466, 357
1572987539786, 613713, 647, 219, 225
1572987539799, 613726, 637, 51, 60
1572987539812, 613739, 631, 5, 27
1572987539826, 613752, 740, 3, 82
1572987539837, 613765, 785, 3, 241
1572987539851, 613778, 817, 134, 378
1572987539864, 613791, 798, 300, 516
1572987539878, 613805, 820, 480, 526
1572987539890, 613817, 722, 827, 494
1572987539903, 613830, 573, 991, 695
1572987539916, 613843, 513, 996, 944
1572987539929, 613857, 510, 997, 995
1572987539943, 613869, 483, 1003, 1001
1572987539956, 613882, 431, 922, 747
1572987539969, 613896, 434, 828, 615
1572987539982, 613909, 512, 711, 538
1572987539994, 613921, 568, 610, 458
1572987540007, 613935, 586, 502, 383
1572987540021, 613948, 636, 296, 243
1572987540034, 613961, 703, 25, 34
1572987540047, 613974, 667, 4, 5
1572987540060, 613987, 658, 4, 55
1572987540073, 614000, 721, 129, 233
1572987540085, 614012, 754, 271, 392
1572987540098, 614026, 752, 389, 506
1572987540112, 614039, 790, 602, 580
1572987540125, 614052, 685, 957, 706
1572987540137, 614065, 529, 968, 922
1572987540151, 614078, 586, 999, 997
1572987540164, 614091, 641, 944, 1004
1572987540178, 614105, 525, 926, 876
1572987540189, 614117, 427, 874, 656
1572987540203, 614130, 476, 755, 584
1572987540216, 614144, 524, 667, 507
1572987540230, 614157, 551, 577, 411
1572987540242, 614169, 554, 483, 358
1572987540255, 614182, 541, 341, 294
1572987540268, 614196, 628, 49, 104
1572987540282, 614209, 660, 5, 7
1572987540295, 614221, 617, 4, 59
1572987540307, 614235, 682, 138, 221
1572987540320, 614248, 729, 259, 371
1572987540334, 614260, 800, 288, 479
1572987540347, 614274, 840, 384, 536
1572987540360, 614287, 840, 590, 526
1572987540373, 614300, 749, 905, 608
1572987540386, 614313, 675, 982, 828
1572987540399, 614326, 759, 976, 966
1572987540412, 614339, 781, 847, 994
