Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987185431, 259366, 564, 582, 554
1572987185445, 259380, 564, 582, 552
1572987185457, 259393, 564, 582, 552
1572987185470, 259406, 565, 581, 552
1572987185483, 259419, 566, 580, 551
1572987185496, 259432, 566, 580, 551
1572987185508, 259445, 566, 581, 550
1572987185522, 259459, 565, 583, 549
1572987185535, 259471, 564, 583, 549
1572987185549, 259484, 563, 583, 548
1572987185562, 259497, 564, 583, 548
1572987185574, 259511, 563, 583, 549
1572987185588, 259523, 563, 586, 549
1572987185600, 259536, 562, 588, 548
1572987185614, 259550, 561, 587, 547
1572987185627, 259563, 562, 585, 546
1572987185640, 259575, 564, 582, 545
1572987185653, 259589, 566, 580, 545
1572987185665, 259602, 567, 579, 543
1572987185679, 259615, 567, 580, 543
1572987185693, 259628, 567, 580, 542
1572987185705, 259641, 566, 582, 542
1572987185718, 259654, 564, 582, 540
1572987185730, 259667, 564, 582, 540
1572987185745, 259680, 564, 583, 540
1572987185758, 259693, 566, 581, 540
1572987185769, 259706, 567, 579, 538
1572987185783, 259720, 567, 579, 537
1572987185796, 259732, 568, 580, 537
1572987185810, 259745, 568, 582, 537
1572987185823, 259759, 567, 582, 537
1572987185835, 259772, 568, 585, 536
1572987185848, 259784, 566, 587, 533
1572987185862, 259798, 565, 586, 530
1572987185874, 259811, 567, 581, 530
1572987185887, 259824, 572, 576, 532
1572987185900, 259836, 578, 573, 536
1572987185914, 259850, 582, 573, 538
1572987185927, 259863, 583, 576, 534
1572987185939, 259876, 583, 575, 527
1572987185954, 259889, 581, 574, 518
1572987185965, 259902, 577, 570, 512
1572987185979, 259915, 577, 571, 512
1572987185992, 259929, 581, 577, 519
1572987186005, 259941, 586, 581, 525
1572987186019, 259954, 588, 577, 523
1572987186031, 259968, 586, 579, 521
1572987186044, 259981, 578, 582, 514
1572987186058, 259993, 574, 588, 511
1572987186071, 260006, 575, 585, 511
1572987186084, 260020, 586, 573, 518
1572987186097, 260033, 594, 565, 522
1572987186110, 260045, 595, 562, 523
1572987186124, 260059, 593, 560, 521
1572987186136, 260072, 586, 561, 518
1572987186148, 260085, 581, 564, 516
1572987186163, 260098, 580, 567, 516
1572987186176, 260111, 581, 570, 520
1572987186188, 260124, 583, 564, 524
1572987186201, 260137, 581, 568, 529
1572987186215, 260150, 576, 575, 534
1572987186227, 260163, 576, 585, 549
1572987186240, 260176, 572, 595, 562
1572987186254, 260190, 578, 596, 573
1572987186267, 260202, 575, 602, 581
1572987186280, 260215, 566, 600, 586
1572987186293, 260229, 561, 593, 590
1572987186306, 260242, 556, 584, 595
1572987186319, 260254, 556, 575, 607
1572987186331, 260268, 564, 566, 613
1572987186346, 260281, 570, 560, 620
1572987186358, 260294, 580, 557, 625
1572987186370, 260307, 590, 558, 623
1572987186384, 260320, 599, 555, 619
1572987186397, 260333, 610, 552, 614
1572987186410, 260346, 616, 552, 613
1572987186423, 260360, 625, 557, 621
1572987186435, 260372, 640, 570, 640
1572987186449, 260385, 658, 580, 657
1572987186463, 260399, 677, 592, 667
1572987186476, 260412, 691, 601, 669
1572987186489, 260424, 702, 606, 664
1572987186501, 260438, 706, 610, 655
1572987186514, 260451, 704, 612, 639
1572987186528, 260464, 705, 612, 619
1572987186541, 260476, 709, 615, 609
1572987186554, 260490, 716, 623, 608
1572987186567, 260503, 720, 636, 612
1572987186581, 260516, 722, 644, 620
1572987186593, 260529, 732, 650, 637
1572987186606, 260542, 748, 655, 649
1572987186619, 260555, 754, 659, 648
1572987186633, 260569, 750, 665, 638
1572987186645, 260581, 740, 665, 622
1572987186658, 260594, 725, 658, 599
1572987186671, 260608, 701, 646, 576
1572987186685, 260621, 681, 628, 560
1572987186698, 260633, 657, 614, 552
1572987186711, 260646, 645, 602, 558
1572987186724, 260660, 643, 591, 564
1572987186737, 260673, 640, 574, 573
1572987186750, 260685, 637, 571, 585
1572987186762, 260699, 624, 584, 598
1572987186775, 260712, 617, 592, 603
1572987186789, 260725, 616, 585, 601
1572987186802, 260738, 619, 568, 592
1572987186814, 260751, 621, 552, 578
1572987186827, 260764, 616, 554, 566
1572987186842, 260777, 599, 553, 549
1572987186854, 260790, 582, 550, 536
1572987186867, 260803, 565, 544, 522
1572987186880, 260816, 551, 530, 513
1572987186894, 260830, 532, 518, 509
1572987186906, 260842, 520, 511, 516
1572987186919, 260855, 522, 504, 531
1572987186932, 260869, 533, 499, 549
1572987186946, 260882, 537, 494, 564
1572987186958, 260894, 528, 494, 562
1572987186971, 260908, 511, 497, 551
1572987186985, 260921, 492, 501, 539
1572987186998, 260934, 482, 501, 532
1572987187011, 260946, 474, 495, 529
1572987187024, 260960, 465, 490, 531
1572987187037, 260973, 459, 485, 538
1572987187051, 260986, 456, 483, 538
1572987187064, 260999, 451, 482, 531
1572987187077, 261012, 447, 479, 524
1572987187089, 261025, 440, 476, 520
1572987187102, 261039, 427, 482, 519
1572987187115, 261051, 424, 484, 520
1572987187128, 261064, 424, 487, 522
1572987187141, 261078, 419, 493, 520
1572987187154, 261091, 417, 499, 520
1572987187168, 261103, 405, 502, 519
1572987187180, 261116, 397, 506, 516
1572987187193, 261130, 399, 506, 512
1572987187207, 261143, 396, 502, 508
1572987187221, 261155, 409, 503, 519
1572987187233, 261169, 409, 507, 519
1572987187246, 261182, 405, 504, 515
1572987187259, 261195, 401, 506, 512
1572987187273, 261208, 404, 511, 516
1572987187285, 261221, 409, 516, 518
1572987187298, 261234, 409, 515, 524
1572987187312, 261248, 411, 516, 533
1572987187323, 261260, 415, 517, 540
1572987187337, 261273, 418, 520, 544
1572987187351, 261286, 417, 527, 543
1572987187364, 261300, 416, 535, 543
1572987187377, 261312, 414, 541, 541
1572987187390, 261325, 408, 543, 539
1572987187402, 261339, 408, 546, 538
1572987187415, 261352, 406, 548, 533
1572987187430, 261364, 408, 544, 526
1572987187442, 261378, 410, 541, 523
1572987187455, 261391, 410, 542, 528
1572987187468, 261404, 410, 543, 533
1572987187481, 261417, 408, 546, 533
1572987187494, 261430, 408, 549, 531
1572987187507, 261443, 412, 550, 529
1572987187521, 261456, 418, 547, 529
1572987187533, 261470, 416, 540, 532
1572987187547, 261482, 411, 537, 530
1572987187560, 261495, 409, 536, 525
1572987187573, 261509, 408, 535, 516
1572987187586, 261522, 406, 538, 508
1572987187601, 261534, 407, 545, 507
1572987187611, 261548, 411, 552, 512
1572987187624, 261561, 412, 559, 520
1572987187637, 261574, 410, 567, 523
1572987187651, 261586, 408, 572, 522
1572987187664, 261600, 407, 574, 520
1572987187677, 261613, 403, 572, 509
1572987187690, 261626, 395, 567, 505
1572987187703, 261639, 386, 562, 504
1572987187717, 261652, 381, 560, 506
1572987187730, 261665, 383, 559, 510
1572987187743, 261679, 390, 558, 513
1572987187756, 261691, 402, 554, 518
1572987187767, 261704, 418, 551, 528
1572987187781, 261718, 428, 553, 532
1572987187794, 261731, 424, 559, 520
1572987187807, 261743, 410, 568, 499
1572987187821, 261756, 395, 574, 477
1572987187834, 261770, 384, 575, 464
1572987187847, 261783, 378, 569, 466
1572987187860, 261795, 377, 563, 476
1572987187873, 261809, 383, 555, 489
1572987187885, 261822, 390, 551, 499
1572987187900, 261835, 399, 545, 503
1572987187913, 261848, 401, 542, 501
1572987187924, 261861, 405, 540, 500
1572987187938, 261874, 409, 537, 498
1572987187952, 261888, 406, 543, 495
1572987187964, 261900, 397, 555, 492
1572987187977, 261913, 391, 563, 491
1572987187990, 261926, 395, 563, 491
1572987188005, 261940, 402, 557, 492
1572987188017, 261952, 412, 543, 493
1572987188029, 261965, 411, 535, 494
1572987188042, 261979, 409, 532, 493
1572987188056, 261992, 404, 540, 494
1572987188068, 262004, 397, 552, 490
1572987188082, 262018, 390, 561, 488
1572987188094, 262031, 393, 559, 487
1572987188108, 262044, 399, 549, 485
1572987188122, 262056, 407, 533, 486
1572987188135, 262070, 415, 520, 491
1572987188147, 262083, 419, 513, 495
1572987188161, 262096, 418, 515, 491
1572987188174, 262109, 413, 528, 486
1572987188186, 262122, 406, 538, 480
1572987188199, 262135, 406, 538, 478
1572987188212, 262149, 410, 533, 477
1572987188225, 262161, 412, 528, 474
1572987188238, 262174, 413, 527, 473
1572987188252, 262188, 412, 532, 472
1572987188265, 262201, 412, 537, 473
1572987188277, 262213, 412, 544, 478
1572987188290, 262226, 414, 548, 485
1572987188304, 262240, 415, 551, 490
1572987188316, 262253, 413, 553, 489
