Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987309541, 383474, 551, 586, 468
1572987309553, 383488, 550, 587, 468
1572987309567, 383501, 550, 587, 467
1572987309580, 383514, 551, 586, 467
1572987309593, 383526, 551, 585, 466
1572987309607, 383540, 552, 585, 467
1572987309619, 383553, 552, 585, 468
1572987309632, 383566, 551, 586, 468
1572987309645, 383579, 550, 588, 468
1572987309658, 383592, 550, 588, 469
1572987309672, 383605, 550, 587, 469
1572987309685, 383619, 551, 586, 469
1572987309698, 383631, 551, 586, 468
1572987309710, 383644, 550, 587, 467
1572987309724, 383657, 549, 588, 467
1572987309737, 383671, 550, 587, 469
1572987309749, 383683, 550, 586, 469
1572987309762, 383696, 551, 586, 470
1572987309776, 383710, 550, 587, 469
1572987309789, 383723, 549, 588, 469
1572987309801, 383736, 550, 588, 469
1572987309815, 383749, 550, 587, 469
1572987309827, 383762, 550, 587, 469
1572987309841, 383775, 550, 588, 468
1572987309854, 383789, 549, 589, 467
1572987309867, 383801, 549, 590, 467
1572987309880, 383814, 549, 589, 468
1572987309893, 383827, 549, 589, 468
1572987309907, 383841, 549, 588, 468
1572987309920, 383853, 550, 587, 470
1572987309933, 383866, 550, 587, 470
1572987309946, 383880, 550, 587, 470
1572987309959, 383893, 550, 588, 469
1572987309971, 383905, 550, 589, 470
1572987309985, 383919, 550, 590, 469
1572987309997, 383932, 549, 590, 469
1572987310011, 383945, 549, 589, 469
1572987310025, 383958, 549, 587, 470
1572987310037, 383971, 550, 586, 471
1572987310050, 383984, 551, 586, 470
1572987310063, 383997, 550, 588, 468
1572987310076, 384010, 550, 589, 468
1572987310090, 384023, 550, 589, 469
1572987310103, 384036, 550, 589, 470
1572987310116, 384050, 551, 588, 470
1572987310128, 384062, 550, 588, 470
1572987310142, 384075, 550, 588, 469
1572987310154, 384089, 550, 587, 469
1572987310167, 384102, 551, 586, 470
1572987310180, 384114, 551, 586, 469
1572987310193, 384128, 551, 587, 468
1572987310207, 384141, 550, 589, 467
1572987310221, 384154, 549, 590, 468
1572987310233, 384166, 549, 589, 469
1572987310245, 384180, 550, 587, 470
1572987310259, 384193, 551, 588, 471
1572987310272, 384206, 549, 588, 469
1572987310285, 384219, 550, 588, 468
1572987310297, 384232, 550, 586, 468
1572987310312, 384245, 551, 585, 469
1572987310324, 384259, 551, 585, 468
1572987310337, 384271, 550, 586, 467
1572987310351, 384284, 550, 587, 467
1572987310363, 384297, 549, 588, 467
1572987310376, 384311, 550, 589, 469
1572987310391, 384323, 550, 589, 470
1572987310403, 384336, 550, 589, 470
1572987310416, 384350, 550, 590, 469
1572987310429, 384363, 550, 587, 469
1572987310442, 384375, 551, 586, 467
1572987310454, 384389, 549, 587, 466
1572987310467, 384402, 548, 588, 466
1572987310481, 384415, 548, 588, 467
1572987310494, 384428, 549, 588, 468
1572987310507, 384441, 549, 588, 469
1572987310520, 384454, 550, 587, 470
1572987310533, 384467, 550, 586, 469
1572987310546, 384480, 551, 586, 468
1572987310560, 384493, 550, 586, 468
1572987310572, 384506, 550, 587, 468
1572987310586, 384520, 550, 588, 468
1572987310599, 384532, 550, 587, 468
1572987310612, 384545, 550, 587, 468
1572987310625, 384559, 550, 586, 468
1572987310640, 384572, 550, 587, 468
1572987310651, 384585, 550, 589, 469
1572987310664, 384598, 549, 589, 471
1572987310676, 384611, 549, 589, 472
1572987310689, 384624, 550, 588, 473
1572987310704, 384637, 550, 587, 473
1572987310716, 384650, 550, 586, 472
1572987310729, 384663, 549, 587, 470
1572987310742, 384676, 549, 588, 468
1572987310755, 384690, 548, 588, 468
1572987310769, 384702, 548, 588, 469
1572987310781, 384715, 549, 588, 469
1572987310794, 384729, 548, 588, 469
1572987310807, 384742, 549, 587, 470
1572987310820, 384754, 550, 586, 470
1572987310833, 384768, 550, 586, 469
1572987310847, 384781, 549, 588, 468
1572987310860, 384794, 549, 589, 467
1572987310873, 384806, 549, 588, 468
1572987310886, 384820, 549, 587, 469
1572987310899, 384833, 550, 586, 469
1572987310912, 384846, 550, 587, 467
1572987310926, 384859, 548, 588, 466
1572987310938, 384872, 548, 589, 466
1572987310950, 384885, 549, 589, 467
1572987310964, 384899, 550, 589, 467
1572987310978, 384911, 550, 589, 468
1572987310991, 384924, 550, 588, 467
1572987311003, 384937, 548, 588, 466
1572987311016, 384951, 547, 587, 466
1572987311029, 384963, 545, 588, 466
1572987311043, 384976, 545, 587, 466
1572987311056, 384990, 546, 587, 467
1572987311068, 385003, 547, 587, 467
1572987311083, 385015, 548, 587, 467
1572987311095, 385029, 549, 587, 467
1572987311107, 385042, 550, 586, 468
1572987311121, 385055, 552, 585, 468
1572987311134, 385068, 553, 586, 467
1572987311147, 385081, 551, 587, 464
1572987311159, 385094, 550, 588, 464
1572987311172, 385107, 549, 589, 465
1572987311185, 385120, 549, 590, 465
1572987311200, 385133, 549, 591, 466
1572987311212, 385146, 550, 591, 467
1572987311225, 385160, 551, 590, 468
1572987311240, 385172, 550, 588, 467
1572987311251, 385185, 550, 588, 466
1572987311265, 385199, 551, 587, 466
1572987311277, 385212, 550, 587, 466
1572987311291, 385224, 550, 587, 466
1572987311303, 385238, 550, 589, 466
1572987311317, 385251, 548, 591, 466
1572987311330, 385264, 546, 592, 464
1572987311342, 385276, 547, 591, 464
1572987311356, 385290, 547, 589, 462
1572987311369, 385303, 548, 587, 463
1572987311383, 385316, 548, 585, 463
1572987311395, 385329, 549, 586, 465
1572987311408, 385342, 549, 585, 465
1572987311421, 385355, 549, 583, 465
1572987311435, 385369, 548, 581, 464
1572987311448, 385381, 547, 581, 464
1572987311460, 385394, 545, 582, 462
1572987311473, 385408, 545, 581, 460
1572987311486, 385421, 545, 580, 459
1572987311499, 385433, 546, 579, 461
1572987311513, 385446, 547, 579, 463
1572987311525, 385460, 547, 581, 465
1572987311539, 385473, 547, 582, 468
1572987311552, 385486, 547, 582, 471
1572987311565, 385499, 547, 579, 470
1572987311577, 385512, 547, 577, 464
1572987311591, 385525, 547, 573, 457
1572987311604, 385539, 548, 572, 456
1572987311618, 385551, 547, 576, 454
1572987311630, 385564, 544, 582, 453
1572987311643, 385577, 544, 587, 452
1572987311656, 385591, 545, 589, 452
1572987311670, 385603, 546, 590, 454
1572987311683, 385616, 546, 590, 457
1572987311695, 385630, 546, 589, 460
1572987311709, 385643, 547, 587, 462
1572987311722, 385655, 549, 583, 462
1572987311735, 385669, 548, 581, 461
1572987311748, 385682, 548, 579, 458
1572987311761, 385695, 548, 577, 454
1572987311774, 385708, 549, 575, 453
1572987311787, 385721, 550, 574, 452
1572987311800, 385734, 550, 574, 451
1572987311812, 385747, 549, 574, 450
1572987311828, 385760, 549, 576, 451
1572987311839, 385773, 548, 578, 452
1572987311852, 385786, 549, 578, 454
1572987311865, 385800, 549, 579, 457
1572987311878, 385812, 549, 579, 459
1572987311891, 385825, 550, 580, 460
1572987311905, 385839, 549, 582, 461
1572987311917, 385852, 549, 583, 461
1572987311930, 385864, 551, 582, 462
1572987311944, 385878, 552, 580, 461
1572987311956, 385891, 552, 579, 460
1572987311969, 385904, 553, 579, 458
1572987311983, 385916, 551, 580, 457
1572987311996, 385930, 550, 581, 457
1572987312010, 385943, 549, 581, 457
1572987312022, 385956, 549, 580, 459
