Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987006105, 80044, 412, 497, 459
1572987006117, 80057, 412, 498, 460
1572987006131, 80069, 411, 499, 459
1572987006144, 80082, 410, 501, 457
1572987006157, 80096, 409, 501, 455
1572987006170, 80109, 410, 500, 454
1572987006183, 80121, 411, 499, 455
1572987006196, 80135, 411, 500, 454
1572987006209, 80148, 411, 500, 454
1572987006222, 80160, 410, 501, 454
1572987006235, 80174, 411, 501, 454
1572987006249, 80187, 411, 501, 454
1572987006261, 80200, 411, 501, 453
1572987006274, 80212, 410, 501, 453
1572987006287, 80226, 409, 501, 454
1572987006300, 80239, 408, 502, 454
1572987006313, 80251, 408, 502, 455
1572987006327, 80265, 409, 501, 455
1572987006339, 80278, 409, 500, 456
1572987006353, 80291, 408, 499, 456
1572987006365, 80304, 406, 500, 456
1572987006378, 80317, 405, 501, 457
1572987006391, 80330, 405, 502, 458
1572987006405, 80343, 406, 503, 458
1572987006417, 80356, 408, 503, 457
1572987006431, 80369, 411, 501, 454
1572987006444, 80382, 414, 499, 453
1572987006456, 80395, 418, 497, 453
1572987006469, 80408, 420, 494, 451
1572987006482, 80421, 421, 493, 450
1572987006496, 80435, 420, 493, 448
1572987006510, 80447, 420, 494, 446
1572987006521, 80460, 420, 497, 447
1572987006535, 80474, 421, 499, 450
1572987006548, 80486, 423, 501, 451
1572987006561, 80499, 422, 503, 447
1572987006574, 80513, 417, 503, 441
1572987006587, 80526, 416, 502, 440
1572987006600, 80538, 416, 500, 440
1572987006614, 80551, 409, 503, 442
1572987006626, 80565, 408, 510, 450
1572987006638, 80577, 403, 514, 454
1572987006651, 80590, 397, 515, 453
1572987006665, 80604, 394, 514, 454
1572987006677, 80617, 394, 512, 455
1572987006691, 80629, 397, 510, 457
1572987006704, 80643, 400, 505, 457
1572987006717, 80656, 407, 502, 457
1572987006730, 80668, 412, 500, 455
1572987006742, 80681, 417, 499, 451
1572987006756, 80695, 420, 499, 448
1572987006770, 80707, 424, 499, 445
1572987006781, 80720, 427, 497, 442
1572987006794, 80734, 430, 495, 440
1572987006808, 80747, 434, 494, 438
1572987006822, 80759, 436, 492, 437
1572987006834, 80773, 439, 492, 437
1572987006847, 80786, 439, 492, 437
1572987006860, 80798, 438, 495, 439
1572987006873, 80812, 437, 499, 441
1572987006886, 80825, 436, 502, 443
1572987006899, 80838, 441, 502, 444
1572987006912, 80850, 448, 498, 442
1572987006926, 80864, 457, 490, 431
1572987006939, 80877, 470, 489, 418
1572987006951, 80889, 484, 490, 404
1572987006965, 80903, 507, 486, 386
1572987006977, 80916, 535, 473, 365
1572987006991, 80929, 567, 464, 341
1572987007003, 80942, 604, 466, 324
1572987007016, 80955, 644, 486, 316
1572987007029, 80968, 678, 533, 326
1572987007042, 80982, 694, 588, 342
1572987007055, 80994, 715, 609, 340
1572987007068, 81007, 751, 627, 339
1572987007081, 81020, 787, 657, 345
1572987007094, 81033, 802, 733, 359
1572987007107, 81046, 803, 818, 403
1572987007120, 81059, 787, 869, 459
1572987007133, 81073, 764, 907, 503
1572987007147, 81085, 696, 959, 528
1572987007159, 81098, 636, 962, 540
1572987007172, 81112, 605, 911, 555
1572987007187, 81124, 581, 854, 562
1572987007199, 81137, 526, 851, 526
1572987007212, 81150, 489, 833, 457
1572987007224, 81164, 477, 819, 411
1572987007237, 81176, 465, 818, 429
1572987007250, 81189, 469, 815, 474
1572987007264, 81203, 455, 809, 509
1572987007278, 81215, 453, 801, 540
1572987007289, 81228, 448, 770, 538
1572987007302, 81242, 450, 738, 524
1572987007315, 81255, 452, 706, 517
1572987007328, 81267, 457, 677, 505
1572987007342, 81281, 461, 657, 502
1572987007355, 81294, 464, 640, 506
1572987007367, 81306, 464, 619, 498
1572987007381, 81319, 463, 601, 481
1572987007394, 81333, 458, 590, 465
1572987007407, 81346, 461, 588, 463
1572987007420, 81358, 462, 592, 473
1572987007433, 81372, 463, 594, 482
1572987007445, 81385, 464, 597, 489
1572987007458, 81397, 461, 601, 494
1572987007472, 81411, 462, 598, 495
1572987007485, 81424, 456, 594, 488
1572987007498, 81436, 455, 580, 466
1572987007511, 81449, 453, 567, 446
1572987007524, 81463, 455, 563, 450
1572987007536, 81476, 457, 565, 466
1572987007550, 81488, 457, 568, 480
1572987007562, 81502, 455, 574, 488
1572987007576, 81515, 449, 577, 483
1572987007589, 81527, 446, 576, 469
1572987007603, 81541, 440, 576, 453
1572987007616, 81554, 436, 578, 453
1572987007629, 81567, 438, 575, 456
1572987007642, 81580, 438, 572, 462
1572987007654, 81593, 439, 572, 466
1572987007667, 81606, 438, 573, 471
1572987007681, 81619, 438, 572, 473
1572987007693, 81632, 432, 571, 467
1572987007706, 81645, 428, 571, 455
1572987007719, 81658, 426, 572, 448
1572987007733, 81671, 427, 574, 451
1572987007745, 81684, 429, 573, 459
1572987007759, 81697, 434, 572, 468
1572987007771, 81711, 435, 574, 473
1572987007784, 81723, 435, 574, 471
1572987007797, 81736, 435, 574, 466
1572987007811, 81750, 435, 570, 459
1572987007824, 81762, 434, 569, 453
1572987007838, 81775, 433, 574, 458
1572987007850, 81788, 436, 572, 465
1572987007863, 81802, 440, 568, 470
1572987007875, 81814, 442, 567, 468
1572987007889, 81827, 441, 565, 462
1572987007902, 81841, 440, 562, 454
1572987007914, 81853, 439, 561, 453
1572987007927, 81866, 438, 564, 456
1572987007940, 81880, 439, 563, 458
1572987007954, 81893, 439, 562, 457
1572987007966, 81905, 439, 560, 455
1572987007979, 81918, 440, 557, 452
1572987007994, 81932, 441, 555, 452
1572987008006, 81944, 440, 556, 455
1572987008018, 81957, 442, 556, 457
1572987008031, 81971, 443, 554, 456
1572987008045, 81984, 443, 550, 453
1572987008057, 81996, 445, 550, 452
1572987008071, 82010, 444, 550, 449
1572987008084, 82023, 441, 559, 444
1572987008096, 82035, 433, 570, 445
1572987008109, 82049, 432, 577, 454
1572987008123, 82062, 435, 577, 461
1572987008137, 82075, 436, 577, 463
1572987008148, 82087, 439, 575, 463
1572987008162, 82101, 441, 572, 458
1572987008175, 82114, 442, 567, 453
1572987008188, 82126, 444, 563, 450
1572987008200, 82140, 442, 566, 450
1572987008214, 82153, 440, 569, 454
1572987008227, 82165, 439, 571, 458
1572987008240, 82179, 438, 574, 460
1572987008254, 82192, 438, 573, 460
1572987008266, 82205, 440, 572, 460
1572987008280, 82217, 440, 571, 459
1572987008293, 82231, 441, 571, 459
1572987008305, 82244, 441, 569, 456
1572987008319, 82257, 442, 568, 456
1572987008331, 82270, 442, 569, 458
1572987008345, 82283, 443, 571, 461
