Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987230174, 304109, 408, 450, 544
1572987230188, 304122, 408, 448, 543
1572987230200, 304136, 408, 447, 543
1572987230213, 304148, 408, 447, 542
1572987230226, 304161, 408, 446, 542
1572987230239, 304175, 408, 446, 541
1572987230254, 304188, 408, 448, 542
1572987230266, 304200, 409, 448, 544
1572987230278, 304214, 409, 448, 544
1572987230292, 304227, 410, 446, 545
1572987230303, 304240, 410, 447, 546
1572987230318, 304252, 410, 447, 545
1572987230330, 304266, 410, 447, 545
1572987230344, 304279, 410, 447, 546
1572987230357, 304292, 410, 446, 545
1572987230371, 304305, 410, 447, 545
1572987230382, 304318, 410, 448, 544
1572987230395, 304331, 410, 449, 544
1572987230409, 304345, 410, 448, 544
1572987230422, 304357, 411, 447, 544
1572987230436, 304370, 410, 447, 544
1572987230448, 304384, 410, 446, 545
1572987230461, 304397, 410, 447, 545
1572987230475, 304409, 410, 447, 545
1572987230487, 304422, 409, 447, 543
1572987230501, 304436, 408, 449, 541
1572987230514, 304449, 408, 449, 540
1572987230526, 304461, 407, 449, 539
1572987230539, 304475, 407, 449, 540
1572987230552, 304488, 407, 448, 540
1572987230566, 304501, 406, 448, 540
1572987230579, 304514, 406, 448, 541
1572987230593, 304527, 406, 448, 540
1572987230605, 304540, 405, 448, 540
1572987230618, 304553, 405, 447, 540
1572987230631, 304567, 405, 448, 540
1572987230644, 304579, 404, 450, 539
1572987230657, 304592, 404, 450, 539
1572987230670, 304606, 404, 449, 538
1572987230683, 304619, 403, 450, 538
1572987230696, 304631, 403, 450, 538
1572987230709, 304645, 402, 450, 538
1572987230722, 304658, 404, 449, 539
1572987230735, 304671, 404, 448, 539
1572987230749, 304684, 406, 447, 539
1572987230761, 304697, 407, 446, 540
1572987230774, 304710, 406, 444, 542
1572987230788, 304723, 404, 443, 542
1572987230801, 304736, 401, 445, 541
1572987230814, 304749, 400, 446, 541
1572987230827, 304762, 399, 446, 541
1572987230840, 304776, 401, 445, 541
1572987230853, 304788, 402, 443, 541
1572987230866, 304801, 401, 440, 540
1572987230879, 304815, 401, 435, 538
1572987230893, 304828, 396, 430, 537
1572987230906, 304840, 390, 431, 537
1572987230918, 304854, 385, 433, 534
1572987230931, 304867, 383, 431, 533
1572987230945, 304880, 387, 425, 534
1572987230957, 304892, 395, 418, 537
1572987230971, 304906, 406, 415, 542
1572987230984, 304919, 415, 414, 546
1572987230996, 304932, 422, 413, 550
1572987231010, 304945, 424, 412, 551
1572987231024, 304958, 426, 415, 551
1572987231037, 304971, 426, 421, 551
1572987231049, 304985, 427, 425, 552
1572987231063, 304997, 427, 428, 555
1572987231075, 305010, 424, 438, 557
1572987231088, 305024, 422, 451, 560
1572987231101, 305037, 422, 461, 563
1572987231114, 305049, 419, 477, 564
1572987231127, 305062, 416, 493, 561
1572987231141, 305076, 422, 504, 559
1572987231154, 305089, 432, 507, 556
1572987231166, 305101, 447, 499, 553
1572987231179, 305115, 460, 485, 550
1572987231192, 305128, 473, 468, 548
1572987231206, 305141, 482, 455, 549
1572987231219, 305154, 488, 442, 550
1572987231232, 305167, 489, 430, 552
1572987231245, 305180, 485, 423, 553
1572987231258, 305193, 482, 422, 556
1572987231271, 305206, 482, 421, 561
1572987231284, 305219, 483, 417, 567
1572987231299, 305232, 485, 410, 569
1572987231310, 305246, 486, 405, 572
1572987231324, 305258, 486, 404, 575
1572987231336, 305271, 488, 406, 580
1572987231349, 305285, 488, 406, 586
1572987231362, 305298, 489, 407, 593
1572987231375, 305311, 491, 407, 597
1572987231389, 305324, 491, 410, 600
1572987231402, 305337, 488, 415, 601
1572987231415, 305350, 481, 425, 595
1572987231427, 305363, 473, 435, 584
1572987231441, 305376, 466, 448, 576
1572987231453, 305389, 460, 465, 577
1572987231467, 305402, 459, 472, 579
1572987231481, 305416, 468, 477, 580
1572987231492, 305428, 469, 475, 572
1572987231506, 305441, 472, 473, 569
1572987231520, 305455, 478, 475, 574
1572987231532, 305468, 484, 469, 575
1572987231546, 305480, 491, 460, 579
1572987231559, 305494, 499, 456, 586
1572987231571, 305507, 505, 453, 590
1572987231585, 305520, 507, 453, 592
1572987231597, 305532, 511, 455, 593
1572987231611, 305546, 515, 458, 594
1572987231623, 305559, 519, 458, 595
1572987231636, 305572, 521, 458, 599
1572987231650, 305585, 525, 458, 611
1572987231664, 305598, 533, 456, 625
1572987231676, 305611, 544, 451, 639
1572987231689, 305625, 551, 443, 652
1572987231702, 305637, 556, 435, 657
1572987231716, 305650, 557, 427, 663
1572987231728, 305664, 560, 414, 671
1572987231742, 305677, 562, 401, 681
1572987231755, 305689, 560, 392, 687
1572987231768, 305702, 549, 389, 679
1572987231780, 305716, 556, 387, 683
1572987231794, 305729, 579, 376, 699
1572987231807, 305741, 601, 377, 728
1572987231819, 305755, 616, 386, 756
1572987231832, 305768, 625, 394, 771
1572987231845, 305781, 631, 399, 772
1572987231858, 305794, 637, 412, 767
1572987231872, 305807, 635, 428, 767
1572987231885, 305820, 629, 435, 751
1572987231898, 305833, 622, 435, 747
1572987231911, 305846, 618, 430, 739
1572987231924, 305859, 612, 432, 729
1572987231938, 305872, 602, 437, 714
1572987231951, 305886, 596, 446, 700
1572987231964, 305898, 590, 455, 690
1572987231977, 305911, 589, 467, 688
1572987231990, 305925, 592, 484, 691
1572987232003, 305938, 614, 498, 697
1572987232016, 305950, 648, 502, 701
1572987232029, 305964, 702, 503, 699
1572987232041, 305977, 761, 522, 688
1572987232055, 305990, 832, 564, 666
1572987232067, 306002, 903, 625, 652
1572987232081, 306016, 985, 724, 644
1572987232095, 306029, 988, 874, 578
1572987232107, 306042, 964, 948, 531
1572987232120, 306056, 979, 888, 513
1572987232133, 306068, 1011, 839, 473
1572987232146, 306081, 1018, 755, 357
1572987232159, 306095, 1014, 631, 234
1572987232172, 306108, 896, 596, 150
1572987232186, 306120, 626, 598, 76
1572987232198, 306134, 448, 557, 123
1572987232211, 306147, 417, 519, 250
1572987232224, 306160, 496, 473, 408
1572987232237, 306172, 575, 433, 525
1572987232250, 306186, 613, 441, 585
1572987232264, 306199, 668, 463, 624
1572987232277, 306212, 702, 489, 555
1572987232291, 306225, 692, 513, 456
1572987232303, 306238, 717, 535, 400
1572987232316, 306251, 695, 539, 351
1572987232329, 306265, 678, 579, 366
1572987232343, 306277, 668, 602, 397
1572987232355, 306290, 685, 591, 417
1572987232368, 306304, 694, 590, 427
1572987232382, 306317, 683, 590, 399
1572987232394, 306329, 689, 572, 382
1572987232407, 306342, 661, 582, 377
1572987232421, 306356, 699, 556, 396
1572987232434, 306369, 697, 547, 382
1572987232446, 306381, 690, 549, 369
1572987232460, 306395, 632, 587, 348
1572987232472, 306408, 668, 575, 365
1572987232486, 306421, 635, 550, 356
1572987232499, 306434, 692, 564, 380
1572987232512, 306447, 666, 547, 362
1572987232525, 306460, 644, 562, 369
1572987232539, 306473, 578, 564, 359
1572987232551, 306486, 595, 595, 473
1572987232563, 306499, 859, 559, 546
1572987232577, 306512, 737, 480, 393
1572987232590, 306526, 627, 513, 341
1572987232603, 306539, 609, 588, 342
1572987232616, 306551, 610, 597, 353
1572987232630, 306565, 626, 562, 358
1572987232642, 306578, 637, 537, 361
1572987232655, 306591, 653, 529, 375
1572987232668, 306604, 636, 527, 378
1572987232681, 306617, 627, 536, 394
1572987232695, 306630, 618, 555, 414
1572987232707, 306643, 620, 553, 425
1572987232722, 306656, 622, 543, 429
1572987232734, 306669, 617, 540, 428
1572987232748, 306682, 608, 542, 427
1572987232760, 306696, 599, 548, 430
1572987232773, 306708, 593, 551, 431
1572987232786, 306721, 591, 548, 432
1572987232799, 306735, 594, 544, 433
1572987232813, 306748, 591, 546, 431
1572987232825, 306760, 588, 547, 431
1572987232838, 306774, 584, 545, 434
1572987232853, 306787, 583, 545, 440
1572987232865, 306800, 584, 544, 445
1572987232877, 306812, 582, 547, 448
1572987232890, 306826, 577, 552, 448
1572987232903, 306839, 568, 559, 450
1572987232917, 306852, 562, 568, 453
1572987232931, 306865, 565, 563, 453
1572987232943, 306878, 570, 553, 451
1572987232956, 306891, 570, 551, 449
1572987232970, 306905, 568, 558, 445
1572987232982, 306917, 561, 567, 440
1572987232995, 306930, 554, 575, 437
1572987233009, 306944, 547, 581, 433
1572987233022, 306957, 543, 584, 434
1572987233034, 306969, 542, 585, 437
1572987233048, 306982, 539, 586, 440
1572987233060, 306996, 537, 576, 443
1572987233073, 307009, 528, 568, 453
1572987233086, 307021, 530, 569, 468
1572987233100, 307035, 529, 571, 477
1572987233113, 307048, 528, 576, 475
1572987233126, 307061, 524, 583, 468
1572987233139, 307074, 515, 592, 455
1572987233152, 307087, 505, 600, 441
1572987233166, 307100, 503, 598, 435
1572987233178, 307113, 507, 590, 436
1572987233190, 307126, 509, 578, 442
1572987233204, 307139, 512, 569, 449
1572987233218, 307152, 518, 564, 458
1572987233230, 307166, 519, 563, 459
1572987233244, 307179, 510, 569, 458
1572987233257, 307191, 500, 575, 456
1572987233270, 307205, 496, 576, 459
1572987233284, 307218, 500, 574, 468
1572987233295, 307231, 503, 573, 476
1572987233308, 307244, 501, 573, 478
1572987233322, 307257, 495, 573, 471
1572987233335, 307270, 489, 572, 463
1572987233347, 307283, 487, 572, 454
1572987233362, 307296, 483, 575, 449
1572987233374, 307309, 485, 576, 454
1572987233387, 307322, 489, 579, 464
1572987233401, 307336, 492, 582, 474
1572987233413, 307348, 489, 588, 474
1572987233426, 307361, 481, 594, 470
1572987233439, 307375, 479, 597, 469
1572987233453, 307388, 481, 596, 472
1572987233466, 307400, 483, 597, 476
1572987233478, 307414, 481, 604, 474
1572987233491, 307427, 477, 613, 468
1572987233504, 307440, 475, 617, 462
1572987233519, 307452, 474, 617, 459
1572987233531, 307466, 474, 616, 458
1572987233544, 307479, 475, 615, 462
1572987233556, 307492, 478, 615, 466
1572987233570, 307505, 480, 615, 470
1572987233584, 307518, 483, 616, 472
1572987233596, 307531, 483, 614, 472
1572987233609, 307545, 484, 612, 469
1572987233622, 307557, 484, 610, 466
1572987233635, 307570, 483, 609, 468
1572987233648, 307584, 484, 608, 471
1572987233661, 307597, 485, 607, 473
1572987233675, 307609, 487, 604, 477
1572987233688, 307622, 489, 600, 477
1572987233701, 307636, 490, 597, 476
1572987233714, 307649, 490, 596, 473
1572987233726, 307661, 490, 594, 471
1572987233740, 307675, 490, 595, 470
1572987233752, 307688, 490, 597, 469
1572987233765, 307701, 490, 599, 470
1572987233779, 307714, 491, 600, 470
1572987233792, 307727, 492, 600, 470
1572987233805, 307740, 494, 599, 471
1572987233817, 307753, 494, 601, 471
1572987233831, 307766, 495, 601, 471
1572987233844, 307779, 495, 604, 470
1572987233857, 307792, 494, 605, 471
1572987233870, 307806, 495, 606, 473
1572987233884, 307818, 495, 606, 474
1572987233897, 307831, 495, 604, 474
1572987233910, 307845, 496, 601, 474
1572987233923, 307858, 497, 600, 474
1572987233936, 307870, 497, 599, 473
