Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987580664, 654590, 548, 463, 570
1572987580677, 654604, 548, 463, 569
1572987580690, 654617, 548, 462, 568
1572987580703, 654630, 549, 463, 568
1572987580717, 654643, 549, 462, 568
1572987580729, 654656, 550, 460, 566
1572987580742, 654669, 550, 458, 564
1572987580756, 654683, 551, 457, 563
1572987580769, 654695, 552, 455, 562
1572987580782, 654708, 552, 456, 563
1572987580795, 654722, 552, 459, 566
1572987580808, 654735, 552, 462, 568
1572987580821, 654747, 552, 465, 569
1572987580835, 654760, 552, 466, 570
1572987580847, 654774, 553, 466, 572
1572987580859, 654787, 553, 466, 574
1572987580872, 654799, 553, 465, 573
1572987580887, 654813, 553, 462, 569
1572987580899, 654826, 552, 458, 564
1572987580912, 654839, 550, 455, 562
1572987580926, 654852, 544, 452, 560
1572987580939, 654865, 536, 453, 556
1572987580951, 654878, 524, 456, 550
1572987580964, 654892, 516, 456, 543
1572987580977, 654904, 506, 457, 523
1572987580991, 654917, 493, 462, 502
1572987581003, 654930, 482, 466, 473
1572987581016, 654944, 472, 470, 450
1572987581029, 654957, 475, 486, 445
1572987581043, 654969, 487, 557, 485
1572987581057, 654983, 500, 679, 545
1572987581069, 654996, 542, 810, 637
1572987581082, 655009, 648, 921, 803
1572987581095, 655022, 831, 995, 989
1572987581108, 655035, 989, 910, 1010
1572987581122, 655048, 1010, 828, 1013
1572987581134, 655062, 1013, 886, 918
1572987581147, 655074, 1013, 903, 763
1572987581160, 655087, 1014, 836, 697
1572987581174, 655100, 1014, 673, 584
1572987581188, 655114, 1014, 733, 629
1572987581200, 655127, 1014, 597, 566
1572987581214, 655139, 984, 559, 554
1572987581226, 655153, 896, 594, 587
1572987581240, 655166, 858, 595, 538
1572987581251, 655179, 835, 543, 459
1572987581265, 655192, 791, 492, 426
1572987581278, 655205, 743, 474, 470
1572987581292, 655218, 698, 462, 518
1572987581305, 655232, 650, 430, 553
1572987581317, 655244, 629, 461, 558
1572987581331, 655257, 639, 559, 530
1572987581344, 655270, 655, 654, 488
1572987581357, 655284, 707, 717, 466
1572987581370, 655296, 714, 732, 498
1572987581383, 655309, 783, 632, 480
1572987581396, 655323, 860, 498, 383
1572987581409, 655336, 887, 191, 192
1572987581423, 655349, 664, 11, 74
1572987581435, 655362, 879, 4, 221
1572987581448, 655375, 840, 25, 552
1572987581461, 655388, 792, 199, 771
1572987581474, 655400, 752, 379, 683
1572987581487, 655414, 649, 577, 433
1572987581500, 655427, 492, 809, 359
1572987581514, 655440, 354, 887, 380
1572987581527, 655453, 390, 687, 464
1572987581540, 655466, 455, 446, 490
1572987581553, 655479, 463, 299, 403
1572987581566, 655493, 448, 268, 323
1572987581579, 655505, 459, 249, 316
1572987581591, 655518, 479, 261, 360
1572987581605, 655532, 485, 302, 427
1572987581618, 655545, 479, 343, 485
1572987581631, 655557, 467, 354, 498
1572987581644, 655570, 494, 333, 470
1572987581657, 655584, 512, 374, 472
1572987581670, 655597, 515, 409, 488
1572987581684, 655609, 538, 423, 475
1572987581696, 655623, 526, 449, 487
1572987581709, 655636, 528, 474, 494
1572987581722, 655649, 546, 494, 502
1572987581736, 655662, 562, 531, 522
1572987581748, 655675, 570, 561, 543
1572987581762, 655688, 559, 582, 568
1572987581775, 655702, 552, 579, 597
1572987581788, 655714, 553, 565, 613
1572987581800, 655727, 548, 545, 604
1572987581813, 655740, 563, 535, 577
1572987581826, 655754, 573, 553, 577
1572987581839, 655766, 544, 548, 599
1572987581853, 655779, 505, 555, 597
1572987581866, 655793, 496, 542, 608
1572987581879, 655806, 516, 500, 605
1572987581891, 655818, 535, 472, 587
1572987581905, 655832, 525, 465, 576
1572987581919, 655845, 488, 493, 585
1572987581931, 655858, 439, 519, 601
1572987581944, 655870, 420, 537, 630
1572987581958, 655884, 449, 531, 666
1572987581970, 655897, 483, 517, 687
1572987581984, 655910, 490, 513, 674
1572987581997, 655923, 487, 522, 627
1572987582010, 655936, 465, 546, 612
1572987582024, 655949, 475, 562, 606
1572987582035, 655963, 507, 548, 608
1572987582049, 655975, 542, 534, 612
1572987582061, 655988, 569, 529, 613
1572987582074, 656002, 586, 508, 603
1572987582089, 656015, 598, 507, 609
1572987582101, 656027, 612, 513, 615
1572987582114, 656040, 628, 522, 620
1572987582127, 656054, 639, 515, 626
1572987582140, 656067, 653, 488, 638
1572987582152, 656079, 663, 453, 635
1572987582166, 656093, 660, 452, 628
1572987582179, 656106, 654, 492, 619
1572987582192, 656119, 663, 538, 616
1572987582206, 656132, 670, 562, 621
1572987582219, 656145, 671, 546, 641
1572987582232, 656158, 679, 508, 659
1572987582245, 656172, 675, 475, 664
1572987582258, 656184, 662, 460, 647
1572987582270, 656197, 646, 459, 622
1572987582284, 656210, 629, 479, 603
1572987582297, 656224, 615, 499, 580
1572987582310, 656237, 606, 502, 557
1572987582324, 656249, 602, 504, 546
1572987582337, 656263, 599, 519, 547
1572987582350, 656276, 592, 536, 557
1572987582362, 656289, 587, 549, 566
1572987582375, 656302, 586, 551, 570
1572987582388, 656315, 591, 539, 564
1572987582400, 656328, 591, 532, 555
1572987582414, 656342, 586, 545, 558
1572987582428, 656354, 582, 539, 541
1572987582441, 656367, 585, 547, 554
1572987582453, 656380, 586, 555, 560
1572987582466, 656394, 584, 542, 566
1572987582479, 656406, 597, 515, 568
1572987582493, 656419, 594, 520, 563
1572987582505, 656433, 586, 520, 553
1572987582519, 656446, 583, 532, 554
1572987582532, 656458, 578, 540, 546
1572987582545, 656472, 571, 545, 543
1572987582559, 656485, 572, 541, 542
1572987582571, 656498, 575, 537, 545
1572987582584, 656510, 577, 533, 547
1572987582598, 656524, 579, 529, 548
1572987582611, 656537, 581, 527, 548
1572987582625, 656550, 581, 529, 548
1572987582637, 656563, 582, 533, 549
1572987582649, 656576, 584, 535, 551
1572987582663, 656589, 585, 536, 555
1572987582676, 656603, 585, 537, 558
1572987582689, 656615, 587, 536, 559
1572987582701, 656628, 587, 535, 559
1572987582715, 656642, 586, 534, 557
1572987582728, 656655, 586, 531, 555
1572987582740, 656667, 586, 529, 554
1572987582754, 656680, 586, 527, 553
1572987582767, 656694, 585, 527, 552
1572987582780, 656707, 585, 528, 552
1572987582793, 656719, 583, 530, 551
1572987582806, 656733, 584, 532, 554
1572987582819, 656746, 583, 531, 554
1572987582832, 656759, 586, 527, 554
1572987582846, 656772, 588, 524, 553
1572987582858, 656785, 589, 522, 551
1572987582872, 656798, 590, 522, 550
1572987582885, 656812, 592, 522, 551
1572987582898, 656824, 593, 524, 552
1572987582911, 656837, 594, 524, 552
1572987582924, 656850, 595, 523, 552
1572987582937, 656864, 595, 521, 550
1572987582949, 656876, 595, 520, 548
1572987582963, 656889, 595, 520, 546
1572987582976, 656903, 594, 521, 545
1572987582990, 656916, 593, 521, 543
1572987583002, 656928, 592, 521, 543
1572987583015, 656942, 592, 519, 544
1572987583028, 656955, 592, 518, 544
1572987583041, 656968, 592, 517, 544
1572987583055, 656980, 592, 517, 545
1572987583067, 656994, 591, 518, 544
1572987583079, 657007, 589, 519, 542
1572987583094, 657020, 589, 520, 542
1572987583106, 657033, 588, 520, 542
1572987583120, 657046, 589, 519, 545
1572987583133, 657059, 590, 519, 547
1572987583146, 657073, 590, 518, 547
1572987583159, 657085, 589, 518, 546
