Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987499938, 573867, 529, 478, 605
1572987499951, 573880, 528, 479, 605
1572987499965, 573893, 528, 478, 604
1572987499978, 573905, 529, 477, 605
1572987499992, 573919, 529, 477, 606
1572987500005, 573932, 529, 478, 605
1572987500017, 573945, 528, 478, 605
1572987500031, 573958, 528, 479, 604
1572987500043, 573971, 527, 479, 603
1572987500056, 573984, 527, 479, 603
1572987500069, 573998, 528, 479, 604
1572987500082, 574010, 528, 478, 605
1572987500095, 574023, 529, 478, 606
1572987500109, 574036, 529, 477, 607
1572987500122, 574050, 529, 477, 606
1572987500135, 574062, 529, 477, 605
1572987500147, 574075, 529, 478, 605
1572987500160, 574089, 529, 479, 606
1572987500173, 574102, 529, 478, 606
1572987500188, 574114, 529, 478, 606
1572987500199, 574128, 529, 478, 606
1572987500213, 574141, 529, 478, 606
1572987500226, 574154, 529, 478, 605
1572987500239, 574167, 528, 478, 605
1572987500252, 574180, 528, 478, 605
1572987500266, 574193, 528, 479, 605
1572987500278, 574206, 528, 478, 604
1572987500291, 574220, 529, 478, 605
1572987500305, 574232, 529, 478, 605
1572987500318, 574245, 529, 477, 605
1572987500330, 574259, 528, 477, 604
1572987500343, 574272, 528, 478, 604
1572987500357, 574284, 527, 479, 604
1572987500370, 574298, 528, 478, 604
1572987500383, 574311, 528, 478, 606
1572987500396, 574324, 529, 477, 607
1572987500409, 574337, 529, 477, 607
1572987500422, 574350, 529, 477, 606
1572987500435, 574363, 529, 477, 606
1572987500448, 574376, 529, 478, 606
1572987500461, 574389, 529, 478, 606
1572987500475, 574402, 529, 478, 606
1572987500487, 574415, 529, 478, 606
1572987500501, 574429, 529, 478, 605
1572987500513, 574441, 529, 477, 605
1572987500527, 574454, 529, 477, 605
1572987500540, 574468, 529, 477, 605
1572987500553, 574481, 528, 477, 604
1572987500566, 574493, 528, 477, 603
1572987500579, 574507, 528, 478, 603
1572987500592, 574520, 528, 478, 603
1572987500604, 574533, 528, 477, 604
1572987500618, 574545, 528, 477, 605
1572987500631, 574559, 529, 476, 604
1572987500645, 574572, 529, 477, 605
1572987500658, 574585, 529, 477, 605
1572987500671, 574598, 528, 477, 604
1572987500683, 574611, 528, 478, 605
1572987500696, 574624, 528, 477, 605
1572987500709, 574638, 528, 477, 606
1572987500722, 574650, 528, 477, 606
1572987500735, 574663, 529, 477, 606
1572987500748, 574676, 528, 477, 606
1572987500761, 574690, 528, 477, 605
1572987500782, 574702, 528, 478, 605
1572987500787, 574715, 528, 478, 605
1572987500800, 574729, 528, 478, 605
1572987500814, 574742, 528, 478, 605
1572987500827, 574754, 528, 478, 605
1572987500839, 574768, 528, 478, 605
1572987500852, 574781, 528, 478, 606
1572987500866, 574794, 528, 479, 606
1572987500879, 574807, 527, 481, 606
1572987500892, 574820, 527, 482, 606
1572987500906, 574833, 527, 480, 606
1572987500918, 574846, 528, 479, 607
1572987500932, 574859, 528, 478, 608
1572987500944, 574872, 528, 478, 607
1572987500957, 574885, 528, 478, 607
1572987500971, 574899, 528, 478, 606
1572987500984, 574912, 529, 476, 606
1572987500996, 574924, 529, 476, 606
1572987501009, 574938, 529, 476, 606
1572987501023, 574951, 528, 476, 607
1572987501036, 574964, 527, 475, 606
1572987501048, 574977, 525, 478, 608
1572987501062, 574990, 521, 490, 613
1572987501074, 575003, 515, 508, 620
1572987501088, 575016, 511, 518, 621
1572987501101, 575029, 515, 513, 624
1572987501114, 575042, 521, 505, 628
1572987501128, 575055, 528, 494, 631
1572987501140, 575069, 530, 485, 628
1572987501153, 575081, 537, 474, 621
1572987501166, 575094, 540, 465, 612
1572987501180, 575108, 540, 459, 607
1572987501192, 575121, 541, 455, 602
1572987501206, 575133, 541, 453, 598
1572987501219, 575147, 542, 451, 593
1572987501232, 575160, 543, 448, 589
1572987501245, 575173, 544, 444, 585
1572987501257, 575185, 543, 444, 584
1572987501270, 575199, 541, 444, 584
1572987501283, 575212, 539, 444, 583
1572987501297, 575225, 537, 445, 581
1572987501310, 575238, 533, 448, 579
1572987501323, 575251, 529, 450, 580
1572987501337, 575264, 527, 451, 581
1572987501350, 575278, 526, 451, 583
1572987501362, 575290, 524, 453, 586
1572987501375, 575303, 523, 455, 588
1572987501389, 575316, 522, 458, 591
1572987501401, 575330, 520, 461, 594
1572987501414, 575342, 520, 465, 597
1572987501427, 575355, 519, 468, 600
1572987501440, 575369, 519, 471, 602
1572987501453, 575382, 519, 474, 603
1572987501467, 575394, 519, 477, 606
1572987501480, 575408, 520, 479, 608
1572987501493, 575421, 521, 480, 610
1572987501505, 575434, 523, 480, 612
1572987501520, 575447, 525, 480, 613
1572987501532, 575460, 526, 479, 614
1572987501545, 575473, 527, 478, 614
1572987501558, 575486, 527, 476, 612
1572987501571, 575499, 526, 475, 611
1572987501585, 575512, 525, 477, 610
1572987501597, 575525, 525, 477, 609
1572987501610, 575539, 525, 477, 609
1572987501624, 575551, 525, 476, 609
1572987501636, 575564, 525, 474, 607
1572987501649, 575578, 525, 474, 606
1572987501664, 575591, 525, 474, 606
1572987501675, 575603, 525, 474, 604
1572987501689, 575617, 524, 474, 604
1572987501702, 575630, 524, 474, 604
1572987501715, 575643, 525, 472, 603
1572987501728, 575655, 525, 471, 602
1572987501741, 575669, 525, 471, 602
1572987501755, 575682, 525, 470, 601
1572987501767, 575695, 525, 470, 602
1572987501780, 575709, 525, 472, 604
1572987501794, 575721, 524, 473, 607
1572987501806, 575734, 525, 472, 608
1572987501819, 575748, 526, 470, 608
1572987501833, 575761, 527, 468, 607
1572987501845, 575773, 528, 467, 606
1572987501859, 575787, 528, 464, 605
1572987501872, 575800, 525, 462, 605
1572987501885, 575813, 518, 467, 612
1572987501897, 575825, 510, 473, 622
1572987501910, 575839, 498, 487, 628
1572987501925, 575852, 479, 521, 650
1572987501937, 575865, 460, 580, 686
1572987501950, 575878, 449, 611, 732
1572987501963, 575891, 454, 607, 784
1572987501977, 575904, 487, 581, 831
1572987501989, 575918, 536, 556, 863
1572987502003, 575930, 582, 537, 861
1572987502015, 575943, 628, 526, 813
1572987502028, 575956, 666, 513, 757
1572987502041, 575970, 689, 499, 705
1572987502055, 575982, 698, 487, 645
1572987502068, 575995, 695, 469, 589
1572987502080, 576009, 687, 450, 559
1572987502094, 576022, 682, 436, 532
1572987502107, 576034, 673, 421, 504
1572987502119, 576048, 674, 398, 497
1572987502133, 576061, 688, 364, 511
1572987502147, 576074, 710, 329, 537
1572987502159, 576087, 724, 297, 570
1572987502172, 576100, 731, 281, 592
1572987502185, 576113, 726, 280, 595
1572987502199, 576126, 720, 299, 587
1572987502211, 576139, 711, 339, 578
1572987502225, 576152, 704, 382, 573
1572987502238, 576165, 704, 414, 575
1572987502251, 576179, 708, 443, 581
1572987502264, 576191, 708, 467, 587
1572987502276, 576204, 710, 487, 599
1572987502290, 576218, 718, 503, 597
1572987502304, 576231, 733, 518, 581
1572987502316, 576243, 749, 539, 554
1572987502329, 576257, 759, 594, 533
1572987502342, 576270, 737, 696, 489
1572987502356, 576283, 694, 756, 443
1572987502368, 576295, 670, 743, 421
1572987502381, 576309, 675, 687, 432
1572987502395, 576322, 693, 640, 447
1572987502408, 576335, 707, 616, 434
1572987502420, 576348, 730, 606, 404
1572987502434, 576361, 749, 583, 347
1572987502448, 576374, 733, 553, 295
1572987502459, 576388, 699, 517, 235
1572987502473, 576400, 659, 477, 219
1572987502486, 576413, 631, 478, 266
1572987502499, 576427, 619, 516, 324
1572987502512, 576440, 629, 533, 366
1572987502524, 576452, 660, 500, 372
1572987502537, 576465, 676, 467, 363
1572987502551, 576479, 682, 457, 350
1572987502563, 576492, 671, 458, 324
1572987502576, 576504, 663, 460, 310
1572987502589, 576518, 663, 450, 308
1572987502602, 576531, 663, 427, 299
1572987502616, 576544, 664, 406, 288
1572987502629, 576557, 660, 401, 286
1572987502642, 576570, 655, 416, 289
1572987502658, 576583, 642, 441, 287
1572987502668, 576596, 636, 456, 292
1572987502682, 576609, 626, 459, 289
1572987502694, 576622, 627, 471, 314
1572987502708, 576635, 630, 482, 329
1572987502721, 576649, 628, 492, 329
1572987502733, 576662, 618, 519, 333
1572987502746, 576674, 602, 555, 336
1572987502759, 576688, 582, 585, 336
1572987502773, 576701, 576, 598, 358
1572987502786, 576714, 578, 613, 402
1572987502799, 576727, 583, 630, 412
1572987502811, 576740, 588, 626, 428
1572987502825, 576753, 604, 610, 447
1572987502839, 576766, 623, 584, 459
1572987502851, 576779, 643, 592, 482
1572987502864, 576792, 657, 617, 545
1572987502877, 576805, 654, 643, 620
1572987502890, 576819, 638, 652, 661
1572987502903, 576831, 613, 646, 648
1572987502916, 576844, 595, 619, 602
1572987502929, 576858, 593, 610, 582
1572987502943, 576871, 596, 601, 591
1572987502956, 576883, 608, 594, 618
1572987502968, 576897, 619, 585, 645
1572987502982, 576910, 623, 570, 657
1572987502994, 576923, 629, 551, 670
1572987503008, 576935, 635, 532, 672
1572987503021, 576949, 643, 521, 679
1572987503034, 576962, 652, 514, 680
1572987503047, 576975, 657, 538, 676
1572987503060, 576988, 659, 524, 666
1572987503073, 577001, 663, 499, 658
1572987503087, 577014, 672, 468, 652
1572987503099, 577028, 697, 429, 666
1572987503113, 577040, 698, 444, 658
1572987503125, 577053, 693, 449, 648
1572987503140, 577067, 689, 462, 642
1572987503151, 577080, 681, 478, 636
1572987503164, 577092, 668, 500, 634
1572987503178, 577105, 660, 516, 632
1572987503191, 577119, 661, 519, 634
1572987503204, 577132, 669, 505, 634
1572987503217, 577144, 674, 486, 630
1572987503229, 577158, 672, 467, 621
1572987503244, 577171, 667, 472, 618
1572987503255, 577184, 663, 500, 615
1572987503269, 577197, 657, 529, 614
1572987503283, 577210, 653, 548, 618
1572987503296, 577223, 649, 549, 619
1572987503308, 577236, 645, 537, 612
1572987503321, 577249, 645, 527, 600
1572987503334, 577262, 649, 515, 585
1572987503348, 577275, 653, 509, 577
1572987503361, 577289, 661, 510, 579
1572987503374, 577301, 656, 531, 580
1572987503387, 577314, 643, 560, 585
1572987503401, 577328, 628, 581, 589
1572987503412, 577341, 615, 591, 587
1572987503426, 577353, 605, 584, 576
1572987503439, 577367, 601, 571, 564
1572987503452, 577380, 595, 569, 554
1572987503465, 577393, 585, 567, 541
1572987503477, 577405, 572, 570, 535
1572987503491, 577419, 557, 577, 527
1572987503505, 577432, 547, 579, 525
1572987503517, 577445, 543, 570, 527
1572987503531, 577458, 533, 576, 539
1572987503543, 577471, 524, 586, 548
1572987503558, 577484, 520, 586, 560
1572987503569, 577498, 523, 581, 568
1572987503583, 577511, 529, 569, 572
1572987503596, 577523, 540, 550, 576
1572987503609, 577537, 555, 527, 583
1572987503622, 577550, 568, 507, 592
1572987503635, 577563, 578, 495, 603
1572987503648, 577575, 581, 491, 613
1572987503660, 577589, 581, 490, 616
1572987503674, 577602, 579, 490, 616
1572987503687, 577615, 579, 488, 617
1572987503700, 577628, 580, 485, 619
1572987503713, 577641, 584, 477, 618
1572987503726, 577654, 585, 471, 617
