Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987375077, 449010, 499, 568, 588
1572987375091, 449024, 499, 568, 589
1572987375104, 449036, 499, 568, 588
1572987375117, 449049, 499, 568, 588
1572987375129, 449062, 499, 568, 588
1572987375142, 449076, 499, 567, 588
1572987375155, 449088, 499, 567, 587
1572987375168, 449101, 499, 568, 587
1572987375182, 449115, 498, 568, 587
1572987375194, 449128, 498, 569, 587
1572987375208, 449140, 499, 568, 588
1572987375222, 449154, 499, 568, 589
1572987375234, 449167, 499, 568, 589
1572987375247, 449180, 499, 568, 589
1572987375259, 449192, 499, 568, 588
1572987375274, 449206, 498, 569, 588
1572987375286, 449219, 498, 569, 588
1572987375299, 449232, 498, 569, 588
1572987375312, 449245, 498, 568, 589
1572987375326, 449258, 498, 569, 588
1572987375338, 449271, 498, 569, 587
1572987375351, 449285, 497, 569, 586
1572987375365, 449297, 498, 569, 586
1572987375378, 449310, 497, 568, 585
1572987375391, 449324, 496, 569, 585
1572987375404, 449337, 492, 571, 584
1572987375417, 449349, 489, 572, 584
1572987375429, 449362, 488, 572, 586
1572987375444, 449376, 487, 573, 590
1572987375455, 449389, 479, 577, 595
1572987375468, 449401, 473, 580, 603
1572987375482, 449415, 468, 583, 608
1572987375495, 449428, 467, 591, 613
1572987375508, 449441, 464, 598, 619
1572987375521, 449454, 464, 602, 626
1572987375534, 449467, 461, 605, 637
1572987375547, 449480, 461, 605, 647
1572987375560, 449494, 466, 604, 657
1572987375574, 449506, 476, 604, 667
1572987375586, 449519, 487, 598, 670
1572987375599, 449532, 497, 590, 668
1572987375613, 449546, 504, 584, 663
1572987375625, 449559, 510, 583, 661
1572987375638, 449571, 515, 579, 654
1572987375652, 449585, 519, 573, 647
1572987375665, 449598, 521, 565, 642
1572987375678, 449611, 523, 557, 637
1572987375691, 449624, 522, 551, 629
1572987375705, 449637, 520, 545, 621
1572987375717, 449650, 515, 539, 612
1572987375730, 449664, 511, 537, 607
1572987375743, 449676, 507, 539, 603
1572987375757, 449689, 502, 537, 599
1572987375769, 449702, 498, 531, 594
1572987375782, 449716, 493, 525, 590
1572987375795, 449728, 488, 526, 590
1572987375809, 449741, 484, 527, 594
1572987375821, 449755, 483, 524, 597
1572987375835, 449768, 481, 520, 599
1572987375848, 449780, 478, 519, 602
1572987375860, 449794, 475, 516, 603
1572987375874, 449807, 475, 511, 601
1572987375887, 449820, 475, 507, 600
1572987375901, 449832, 473, 504, 599
1572987375913, 449846, 471, 501, 597
1572987375926, 449859, 469, 499, 597
1572987375938, 449872, 475, 495, 600
1572987375952, 449885, 482, 492, 602
1572987375965, 449898, 486, 492, 599
1572987375979, 449911, 486, 493, 591
1572987375991, 449925, 486, 496, 585
1572987376006, 449937, 488, 499, 580
1572987376018, 449950, 492, 502, 575
1572987376031, 449964, 493, 508, 568
1572987376043, 449977, 492, 512, 555
1572987376056, 449989, 495, 513, 541
1572987376069, 450002, 487, 519, 534
1572987376083, 450016, 489, 517, 528
1572987376096, 450029, 491, 511, 522
1572987376109, 450041, 494, 505, 517
1572987376122, 450055, 495, 504, 513
1572987376135, 450068, 494, 507, 512
1572987376148, 450081, 493, 510, 511
1572987376160, 450094, 488, 516, 501
1572987376174, 450107, 484, 529, 495
1572987376187, 450120, 474, 549, 489
1572987376200, 450134, 468, 556, 483
1572987376213, 450146, 463, 551, 478
1572987376227, 450159, 463, 543, 481
1572987376240, 450172, 464, 541, 489
1572987376253, 450186, 466, 546, 503
1572987376266, 450198, 472, 550, 516
1572987376279, 450211, 479, 550, 524
1572987376291, 450225, 490, 548, 529
1572987376305, 450238, 498, 551, 528
1572987376318, 450250, 497, 571, 516
1572987376331, 450264, 488, 599, 504
1572987376344, 450277, 485, 614, 499
1572987376357, 450290, 486, 610, 500
1572987376369, 450302, 498, 610, 513
1572987376383, 450316, 505, 627, 531
1572987376397, 450329, 506, 652, 542
1572987376410, 450342, 504, 672, 546
1572987376422, 450356, 496, 676, 540
1572987376435, 450368, 490, 673, 527
1572987376449, 450381, 488, 667, 521
1572987376461, 450395, 487, 660, 520
1572987376475, 450408, 489, 655, 522
1572987376487, 450420, 497, 645, 532
1572987376501, 450434, 506, 633, 545
1572987376514, 450447, 508, 621, 552
1572987376526, 450460, 508, 627, 557
1572987376540, 450472, 511, 621, 558
1572987376555, 450486, 516, 623, 561
1572987376567, 450499, 519, 623, 565
1572987376579, 450512, 521, 615, 564
1572987376592, 450525, 524, 604, 562
1572987376605, 450538, 530, 599, 564
1572987376618, 450551, 533, 597, 564
1572987376632, 450565, 535, 598, 566
1572987376644, 450577, 538, 595, 567
1572987376657, 450590, 542, 591, 573
1572987376670, 450604, 537, 587, 571
1572987376684, 450617, 533, 595, 562
1572987376697, 450629, 526, 612, 553
1572987376710, 450642, 522, 622, 546
1572987376723, 450656, 531, 620, 547
1572987376736, 450669, 539, 623, 553
1572987376749, 450681, 543, 629, 561
1572987376762, 450695, 549, 629, 563
1572987376775, 450708, 556, 624, 564
1572987376788, 450721, 561, 619, 561
1572987376801, 450734, 565, 618, 556
1572987376814, 450747, 569, 618, 553
1572987376826, 450760, 576, 611, 554
1572987376841, 450774, 585, 601, 559
1572987376853, 450786, 596, 587, 566
1572987376866, 450799, 605, 574, 572
1572987376880, 450812, 607, 572, 575
1572987376893, 450826, 604, 580, 574
1572987376906, 450838, 596, 595, 572
1572987376918, 450851, 594, 600, 572
1572987376932, 450865, 603, 592, 578
1572987376945, 450878, 612, 575, 583
1572987376957, 450890, 616, 569, 590
1572987376971, 450904, 608, 579, 595
1572987376985, 450917, 601, 593, 598
1572987376997, 450930, 599, 599, 602
1572987377010, 450942, 603, 599, 606
1572987377023, 450956, 610, 592, 610
1572987377037, 450969, 618, 581, 619
1572987377049, 450982, 621, 573, 629
1572987377062, 450995, 622, 572, 639
1572987377076, 451008, 620, 571, 643
1572987377089, 451021, 620, 565, 645
1572987377101, 451035, 613, 570, 647
1572987377114, 451047, 604, 580, 643
1572987377128, 451060, 601, 577, 634
1572987377140, 451074, 606, 562, 627
1572987377153, 451087, 611, 548, 626
1572987377166, 451100, 614, 536, 631
1572987377179, 451112, 612, 536, 640
1572987377192, 451126, 607, 538, 643
1572987377206, 451139, 606, 534, 642
1572987377218, 451152, 604, 531, 639
1572987377232, 451165, 600, 537, 639
1572987377244, 451178, 591, 548, 638
1572987377258, 451191, 588, 549, 634
1572987377271, 451205, 590, 539, 631
1572987377284, 451217, 591, 526, 631
1572987377298, 451230, 586, 523, 633
1572987377311, 451244, 580, 520, 633
1572987377323, 451257, 582, 513, 630
1572987377337, 451269, 580, 514, 630
1572987377349, 451282, 574, 516, 631
1572987377362, 451296, 570, 511, 627
1572987377376, 451309, 568, 503, 619
1572987377388, 451321, 566, 491, 614
1572987377402, 451335, 561, 484, 612
1572987377415, 451348, 557, 476, 610
1572987377427, 451361, 550, 474, 606
1572987377441, 451374, 543, 477, 602
1572987377455, 451387, 536, 484, 599
1572987377467, 451400, 529, 493, 595
1572987377480, 451414, 522, 503, 590
1572987377493, 451426, 515, 508, 580
1572987377507, 451439, 509, 507, 569
1572987377519, 451452, 501, 504, 563
1572987377533, 451466, 499, 501, 563
1572987377546, 451478, 502, 502, 562
1572987377558, 451491, 504, 503, 557
1572987377571, 451505, 497, 502, 549
1572987377584, 451518, 490, 501, 537
1572987377598, 451530, 494, 491, 529
1572987377615, 451544, 495, 487, 522
1572987377624, 451557, 501, 488, 527
1572987377637, 451570, 509, 495, 535
1572987377651, 451582, 511, 513, 537
1572987377663, 451596, 511, 524, 534
1572987377676, 451609, 511, 539, 529
1572987377689, 451622, 494, 556, 508
1572987377704, 451635, 476, 560, 484
1572987377716, 451648, 472, 558, 476
1572987377728, 451661, 476, 550, 482
1572987377742, 451675, 480, 557, 496
1572987377755, 451687, 486, 560, 507
1572987377768, 451700, 489, 565, 502
1572987377780, 451714, 478, 589, 498
1572987377794, 451727, 465, 602, 490
1572987377808, 451739, 456, 606, 486
1572987377819, 451752, 453, 602, 486
1572987377834, 451766, 459, 592, 491
1572987377846, 451779, 469, 582, 498
1572987377859, 451791, 473, 588, 510
1572987377872, 451805, 471, 599, 517
1572987377885, 451818, 470, 605, 518
1572987377898, 451831, 467, 607, 515
1572987377910, 451844, 466, 607, 510
1572987377924, 451857, 466, 603, 501
1572987377937, 451870, 466, 607, 497
1572987377950, 451884, 460, 620, 501
1572987377963, 451896, 455, 626, 506
1572987377977, 451909, 454, 622, 509
1572987377990, 451922, 456, 615, 509
1572987378002, 451936, 460, 610, 512
1572987378015, 451949, 465, 616, 522
1572987378029, 451961, 471, 628, 533
1572987378043, 451975, 474, 635, 540
1572987378055, 451988, 471, 637, 541
1572987378068, 452001, 470, 635, 540
1572987378081, 452014, 472, 633, 537
1572987378094, 452027, 473, 634, 537
1572987378106, 452040, 471, 636, 540
1572987378119, 452054, 468, 625, 543
1572987378133, 452066, 463, 619, 542
1572987378146, 452079, 461, 616, 545
1572987378159, 452092, 464, 616, 557
1572987378172, 452106, 474, 607, 576
1572987378185, 452118, 473, 608, 594
1572987378199, 452131, 468, 608, 601
1572987378212, 452145, 461, 606, 595
1572987378224, 452158, 456, 610, 587
1572987378239, 452170, 454, 604, 578
1572987378251, 452184, 455, 603, 578
1572987378264, 452197, 464, 595, 589
1572987378277, 452210, 465, 578, 595
1572987378290, 452222, 462, 572, 589
1572987378303, 452236, 458, 570, 585
1572987378316, 452249, 453, 575, 582
1572987378329, 452262, 453, 572, 585
1572987378342, 452275, 463, 563, 594
1572987378355, 452288, 471, 552, 597
1572987378369, 452301, 471, 542, 597
1572987378381, 452315, 465, 534, 591
1572987378394, 452327, 460, 533, 579
1572987378408, 452340, 454, 536, 571
1572987378420, 452354, 450, 538, 571
1572987378433, 452367, 454, 540, 578
1572987378446, 452379, 462, 540, 587
1572987378459, 452392, 469, 537, 593
1572987378473, 452406, 477, 531, 598
1572987378486, 452419, 479, 530, 599
1572987378499, 452431, 475, 533, 594
1572987378512, 452445, 470, 540, 588
1572987378525, 452458, 466, 546, 586
1572987378538, 452471, 465, 551, 585
1572987378551, 452484, 466, 555, 586
1572987378565, 452497, 469, 559, 591
1572987378578, 452510, 473, 563, 599
1572987378591, 452524, 477, 566, 606
1572987378604, 452536, 480, 570, 611
1572987378617, 452549, 482, 573, 614
1572987378629, 452562, 481, 574, 614
1572987378643, 452576, 480, 571, 609
1572987378655, 452588, 480, 567, 603
1572987378668, 452601, 481, 562, 600
1572987378682, 452615, 483, 558, 596
1572987378695, 452628, 485, 554, 593
1572987378707, 452640, 487, 551, 591
1572987378721, 452654, 489, 550, 589
1572987378734, 452667, 491, 552, 591
1572987378747, 452680, 492, 556, 594
1572987378760, 452692, 493, 558, 598
1572987378774, 452706, 495, 559, 599
1572987378787, 452719, 497, 558, 598
1572987378800, 452732, 499, 561, 597
1572987378813, 452745, 496, 572, 597
1572987378826, 452758, 493, 582, 599
1572987378839, 452771, 496, 579, 597
1572987378852, 452785, 495, 580, 594
1572987378864, 452798, 495, 583, 596
1572987378878, 452810, 497, 583, 598
1572987378891, 452824, 498, 581, 598
1572987378904, 452837, 500, 580, 597
1572987378917, 452850, 501, 578, 594
1572987378930, 452862, 499, 579, 591
1572987378943, 452876, 498, 580, 589
1572987378956, 452889, 498, 581, 590
1572987378969, 452902, 499, 581, 590
1572987378983, 452915, 500, 578, 588
1572987378995, 452928, 500, 577, 587
1572987379008, 452941, 500, 577, 587
1572987379021, 452955, 500, 576, 588
1572987379035, 452967, 502, 573, 589
1572987379047, 452980, 503, 571, 590
1572987379061, 452994, 503, 568, 590
1572987379074, 453007, 504, 564, 590
1572987379087, 453019, 506, 560, 591
1572987379100, 453032, 508, 555, 591
1572987379112, 453046, 509, 553, 591
1572987379127, 453059, 510, 552, 592
1572987379139, 453071, 509, 554, 592
1572987379152, 453085, 508, 558, 592
1572987379165, 453098, 507, 561, 592
1572987379178, 453111, 507, 563, 592
1572987379191, 453124, 507, 563, 593
