Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987421692, 495622, 442, 567, 567
1572987421705, 495635, 442, 567, 566
1572987421719, 495648, 442, 567, 567
1572987421732, 495662, 442, 567, 567
1572987421744, 495674, 442, 566, 569
1572987421758, 495687, 443, 566, 569
1572987421770, 495700, 443, 566, 569
1572987421784, 495714, 442, 566, 569
1572987421797, 495726, 442, 567, 569
1572987421811, 495739, 442, 567, 570
1572987421823, 495753, 443, 567, 570
1572987421836, 495766, 443, 567, 571
1572987421850, 495778, 442, 566, 570
1572987421862, 495792, 442, 566, 570
1572987421876, 495805, 442, 565, 570
1572987421889, 495818, 441, 563, 571
1572987421902, 495832, 438, 562, 571
1572987421915, 495844, 436, 562, 574
1572987421927, 495857, 434, 564, 578
1572987421940, 495870, 433, 565, 583
1572987421954, 495884, 430, 566, 590
1572987421968, 495896, 421, 567, 596
1572987421980, 495909, 416, 568, 603
1572987421993, 495923, 408, 569, 608
1572987422006, 495936, 403, 568, 616
1572987422019, 495948, 400, 563, 624
1572987422032, 495962, 390, 557, 632
1572987422045, 495975, 388, 556, 637
1572987422060, 495988, 397, 563, 645
1572987422072, 496001, 412, 581, 657
1572987422084, 496014, 422, 598, 653
1572987422098, 496027, 430, 607, 633
1572987422111, 496040, 433, 610, 603
1572987422123, 496053, 431, 612, 560
1572987422137, 496066, 427, 615, 522
1572987422150, 496079, 428, 614, 493
1572987422164, 496093, 437, 612, 485
1572987422176, 496105, 444, 625, 492
1572987422190, 496118, 450, 640, 503
1572987422204, 496132, 459, 641, 501
1572987422216, 496145, 460, 635, 486
1572987422228, 496157, 459, 618, 466
1572987422242, 496171, 459, 594, 443
1572987422253, 496184, 461, 574, 427
1572987422267, 496197, 470, 570, 425
1572987422280, 496209, 479, 590, 436
1572987422293, 496223, 485, 601, 439
1572987422307, 496236, 496, 598, 439
1572987422319, 496249, 502, 598, 444
1572987422332, 496262, 509, 605, 459
1572987422345, 496275, 505, 617, 461
1572987422359, 496288, 505, 632, 465
1572987422373, 496302, 504, 643, 470
1572987422386, 496314, 508, 657, 490
1572987422399, 496327, 507, 670, 510
1572987422411, 496340, 501, 677, 526
1572987422423, 496354, 497, 675, 540
1572987422437, 496366, 499, 676, 559
1572987422451, 496379, 499, 683, 577
1572987422462, 496393, 497, 686, 592
1572987422476, 496406, 494, 686, 602
1572987422489, 496418, 492, 681, 614
1572987422503, 496432, 487, 674, 622
1572987422516, 496445, 491, 648, 625
1572987422529, 496458, 500, 613, 627
1572987422542, 496471, 505, 576, 625
1572987422556, 496484, 514, 533, 625
1572987422568, 496497, 513, 503, 630
1572987422581, 496510, 508, 488, 627
1572987422594, 496523, 497, 477, 617
