Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987517715, 591642, 538, 509, 605
1572987517728, 591654, 538, 510, 606
1572987517740, 591668, 538, 510, 606
1572987517752, 591681, 538, 510, 607
1572987517766, 591694, 537, 510, 606
1572987517780, 591707, 537, 510, 606
1572987517792, 591720, 536, 511, 606
1572987517806, 591733, 536, 511, 606
1572987517818, 591747, 537, 511, 606
1572987517831, 591759, 536, 512, 606
1572987517844, 591772, 537, 512, 606
1572987517858, 591785, 537, 511, 605
1572987517870, 591799, 537, 510, 605
1572987517884, 591811, 537, 510, 605
1572987517897, 591824, 537, 510, 605
1572987517910, 591838, 537, 509, 605
1572987517923, 591851, 538, 509, 605
1572987517936, 591863, 537, 509, 605
1572987517951, 591877, 537, 509, 605
1572987517961, 591890, 536, 509, 605
1572987517976, 591903, 536, 509, 606
1572987517988, 591916, 536, 509, 606
1572987518001, 591929, 536, 509, 607
1572987518014, 591942, 537, 509, 607
1572987518027, 591955, 537, 512, 609
1572987518042, 591968, 537, 521, 611
1572987518054, 591981, 535, 536, 619
1572987518066, 591994, 532, 559, 633
1572987518080, 592008, 533, 580, 654
1572987518093, 592020, 535, 600, 684
1572987518106, 592033, 558, 602, 714
1572987518119, 592047, 573, 613, 744
1572987518132, 592060, 600, 627, 792
1572987518146, 592072, 628, 641, 844
1572987518158, 592086, 659, 632, 872
1572987518170, 592099, 690, 614, 902
1572987518184, 592112, 717, 587, 886
1572987518197, 592125, 714, 590, 795
1572987518210, 592138, 701, 592, 697
1572987518223, 592151, 696, 572, 627
1572987518237, 592164, 699, 558, 574
1572987518250, 592178, 702, 532, 541
1572987518263, 592190, 706, 521, 529
1572987518275, 592203, 713, 501, 519
1572987518290, 592217, 712, 449, 495
1572987518302, 592230, 710, 366, 443
1572987518315, 592242, 686, 294, 401
1572987518328, 592256, 684, 206, 359
1572987518341, 592269, 704, 46, 269
1572987518356, 592282, 725, 5, 186
1572987518368, 592294, 782, 3, 222
1572987518380, 592308, 840, 4, 299
1572987518393, 592321, 892, 103, 373
1572987518407, 592333, 927, 285, 424
1572987518419, 592347, 913, 485, 457
