Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1572987171105, 245041, 500, 585, 572
1572987171117, 245053, 500, 585, 571
1572987171130, 245066, 500, 586, 571
1572987171144, 245080, 499, 588, 571
1572987171158, 245093, 499, 590, 571
1572987171170, 245105, 497, 593, 573
1572987171183, 245118, 498, 591, 573
1572987171195, 245132, 498, 588, 572
1572987171210, 245145, 499, 584, 571
1572987171221, 245157, 500, 580, 569
1572987171234, 245171, 501, 576, 568
1572987171248, 245184, 501, 575, 570
1572987171260, 245197, 501, 578, 573
1572987171274, 245210, 499, 583, 577
1572987171287, 245223, 498, 585, 578
1572987171300, 245236, 497, 587, 579
1572987171314, 245250, 496, 589, 577
1572987171327, 245263, 496, 589, 577
1572987171339, 245275, 496, 590, 576
1572987171352, 245288, 495, 589, 576
1572987171365, 245302, 495, 588, 575
1572987171378, 245315, 496, 586, 574
1572987171391, 245327, 497, 584, 573
1572987171404, 245341, 497, 584, 572
1572987171417, 245354, 497, 585, 572
1572987171430, 245367, 498, 585, 573
1572987171444, 245380, 498, 585, 572
1572987171458, 245393, 499, 586, 572
1572987171470, 245406, 498, 588, 570
1572987171483, 245420, 497, 589, 567
1572987171496, 245432, 497, 589, 565
1572987171510, 245445, 498, 586, 562
1572987171523, 245458, 501, 584, 561
1572987171535, 245472, 502, 583, 559
1572987171548, 245484, 504, 584, 558
1572987171561, 245497, 506, 583, 556
1572987171575, 245511, 509, 581, 552
1572987171587, 245524, 513, 579, 551
1572987171601, 245536, 517, 577, 547
1572987171614, 245550, 521, 576, 544
1572987171626, 245563, 526, 577, 541
1572987171639, 245576, 531, 580, 538
1572987171653, 245588, 539, 582, 536
1572987171666, 245602, 556, 570, 531
1572987171678, 245615, 563, 567, 533
1572987171691, 245628, 578, 567, 539
1572987171705, 245641, 584, 563, 538
1572987171718, 245654, 590, 579, 562
1572987171731, 245667, 600, 578, 571
1572987171745, 245681, 601, 581, 581
1572987171758, 245693, 609, 575, 588
1572987171771, 245706, 605, 571, 587
1572987171783, 245720, 598, 572, 582
1572987171796, 245733, 586, 580, 576
1572987171811, 245745, 578, 579, 568
1572987171822, 245758, 571, 575, 562
1572987171835, 245772, 569, 567, 555
1572987171848, 245785, 569, 560, 552
1572987171861, 245797, 569, 558, 551
1572987171875, 245811, 572, 557, 547
1572987171888, 245824, 575, 557, 544
1572987171901, 245837, 587, 553, 546
1572987171914, 245850, 586, 551, 542
1572987171928, 245863, 586, 552, 540
1572987171940, 245876, 595, 553, 540
1572987171953, 245890, 596, 555, 542
1572987171966, 245902, 598, 554, 544
1572987171979, 245915, 600, 555, 559
1572987171993, 245928, 609, 550, 573
1572987172006, 245942, 612, 546, 593
1572987172019, 245954, 616, 544, 606
1572987172032, 245967, 610, 547, 610
1572987172045, 245981, 603, 551, 608
1572987172058, 245994, 598, 551, 605
1572987172071, 246007, 593, 551, 597
1572987172085, 246020, 591, 546, 605
1572987172097, 246033, 595, 541, 615
1572987172109, 246046, 594, 547, 632
1572987172123, 246060, 591, 555, 639
1572987172137, 246072, 586, 562, 640
1572987172149, 246085, 583, 556, 629
1572987172163, 246098, 586, 553, 624
1572987172175, 246112, 587, 555, 621
1572987172189, 246124, 595, 558, 620
1572987172201, 246137, 603, 561, 621
1572987172214, 246151, 603, 570, 623
1572987172227, 246164, 607, 578, 624
1572987172240, 246176, 617, 573, 620
1572987172253, 246190, 630, 573, 619
1572987172266, 246203, 640, 573, 605
1572987172280, 246216, 645, 574, 596
1572987172293, 246228, 659, 571, 599
1572987172306, 246242, 683, 562, 623
1572987172318, 246255, 709, 561, 650
1572987172331, 246268, 721, 575, 668
1572987172345, 246281, 726, 599, 669
1572987172358, 246294, 727, 616, 654
1572987172372, 246307, 725, 621, 629
1572987172385, 246321, 726, 621, 611
1572987172398, 246333, 735, 623, 608
1572987172411, 246346, 745, 630, 607
1572987172423, 246360, 754, 641, 609
1572987172436, 246373, 758, 655, 606
1572987172450, 246385, 764, 667, 606
1572987172463, 246398, 762, 672, 594
1572987172476, 246412, 757, 671, 578
1572987172488, 246425, 747, 662, 561
1572987172502, 246437, 735, 651, 550
1572987172516, 246451, 722, 638, 540
1572987172527, 246464, 714, 616, 531
1572987172541, 246477, 702, 597, 525
1572987172554, 246490, 684, 586, 521
1572987172567, 246503, 654, 599, 528
1572987172580, 246516, 631, 613, 537
1572987172593, 246530, 616, 610, 543
1572987172607, 246542, 610, 597, 550
1572987172620, 246555, 616, 578, 557
1572987172633, 246568, 622, 557, 556
1572987172646, 246582, 620, 535, 547
